2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
19521582+0230243,3C 403,298.06586,2.50677,42.2633,-12.31416,11.405,0.077,0.059001104,0.061375744,0.000500347,267.4483337,2.180290302,98,0,4,6045.4,134.1589729,0,0,6986.605992,6.57734E+41,0.046416667,0.013972222,0,0.023319522,0.010449763,0.006474718,298.0644479,2.50588576,298.0602687,2.510043996,j
19592833+4044022,Cygnus A,299.86807,40.73394,76.18983,5.7556,10.42,0.062,0.056075733,0.0586577,0.000500347,255.1115358,2.17608705,98,0,2,1598190,40671.4196,0,0,1847011.584,1.5821E+44,0.017194444,0.00925,0,0.01440009,0.012434139,0.0063573,299.8680312,40.73327936,299.8625325,40.73327306,j
19595975+6508547,2MASX J19595975+6508547,299.99924,65.14852,98.00333,17.66997,11.481,0.045,0.04699941,0.049118263,0.000500347,212.168356,2.16126895,98,0,1,249.6,7.5,0,0,288.4601276,1.70904E+40,0.005305556,0.005305556,1,0.000116361,0.000116361,0.001589704,300,65.14590978,299.9900851,65.15007696,p
20161460-3041314,PKS 2013-308,304.06082,-30.69212,11.63877,-30.63183,11.407,0.077,0.088251482,0.09259385,0.000500347,412.3066576,2.227970344,98,3,6,853.6,15.54220062,1334.3,32.59110308,1137.403132,2.54483E+41,0.08375,0.045416667,0,0.034166796,0.006092202,0.020314334,304.0614476,-30.69327744,304.0614476,-30.69327744,j
20184779-5242334,2MASX J20184779-5242334,304.69922,-52.7093,345.82773,-34.28838,11.399,0.08,0.050665297,0.051713275,0.000500347,223.7952923,2.165310107,98,1,0,0,0,307.5,11.2,262.1235577,1.72787E+40,0.018638889,0.018638889,0,0.009061664,0.009061664,0,304.7089915,-52.70266554,304.6990226,-52.69867938,j
20202637-0044287,2MASX J20202637-0044287,305.1098,-0.74128,42.80861,-20.05162,11.672,0.077,0.058914377,0.061290098,0.000500347,267.0589142,2.180157983,98,0,1,424.8,15.6,0,0,490.936948,4.60834E+40,0.008638889,0.008638889,0,0.003927429,0.003927429,0.001366624,305.1126611,-0.733353395,305.1084944,-0.737520405,p
20225911-2056561,2MASX J20225911-2056561,305.74631,-20.94892,22.87514,-29.09616,11.124,0.066,0.054000954,0.055763658,0.000500347,242.0250829,2.171602456,0,0,2,426.1,10.55509356,0,0,492.4393445,3.79645E+40,0.021194444,0.014777778,0,0.009563921,0.001386541,0,305.7402468,-20.94576861,305.7446613,-20.94155826,j
20345233+6009132,NGC 6946,308.71805,60.15368,95.71873,11.67289,5.424,0.018,0.000133426,0.001522162,0.000425295,5.876881316,0.978522404,6,0,4,1400,36.98430004,0,0,397.7883651,7.35474E+37,0.106555556,0.03525,0,0.03597874,0.001022018,0.002187161,308.7307777,60.15263607,308.7312458,60.16513395,g
20430830-5059054,2MASX J20430830-5059054,310.78461,-50.98485,347.88837,-38.07362,11.454,0.067,0.065428915,0.067476736,0.000500347,295.3020294,2.189694674,98,1,0,0,0,336.1,12.4,286.5031796,3.28826E+40,0.023111111,0.023111111,0,0.00084272,0.00084272,0,310.7864594,-50.9854075,310.7816059,-50.9853564,j
20434570-2633011,ESO 528- G 036,310.94046,-26.55027,18.31674,-35.35004,10.451,0.042,0.040768402,0.041784401,0.000500347,179.5322293,2.149806862,-5,0,4,2600.5,47.47241304,0,0,3005.370841,1.27493E+41,0.073555556,0.027555556,0,0.035842245,0.001878361,0,310.9286308,-26.54980522,310.9286697,-26.54563736,j
20455226-5106267,ESO 234- G 068,311.46771,-51.10747,347.7037,-38.49608,10.423,0.056,0.04849712,0.049479584,0.000500347,213.7847871,2.161832085,-2,2,0,0,0,620.9,15.70795977,529.2764779,3.18376E+40,0.061972222,0.036861111,0,0.030489197,0.005690585,0,311.4791406,-51.11858905,311.484268,-51.09534325,j
20470782+5735369,4C +57.35,311.78256,57.59362,94.58812,8.87616,10.322,0.048,0.038176596,0.03993307,0.000500347,171.3460425,2.146903782,98,0,1,667.2,23.9,0,0,771.0761104,2.97954E+40,0.012583333,0.012583333,0,0.000423773,0.000423773,0,311.7822922,57.59585599,311.7822922,57.59585599,j
20490663-3923195,PKS 2045-395,312.27762,-39.38873,2.74108,-38.84435,10.747,0.051,0.040705025,0.041507564,0.000500347,178.306772,2.149373,0,1,2,345.4,12.31015841,496.2,18.5,422.9779165,1.76994E+40,0.021722222,0.019638889,0,0.01725368,0.000813285,0,312.2738843,-39.38812899,312.2737294,-39.38337664,j
20520232-5704076,IC 5063,313.00974,-57.06877,339.99124,-38.73565,8.831,0.021,0.011754856,0.011102964,0.000408617,46.62658933,1.715974238,-3,2,0,0,0,2173.5,60.10432597,1852.766025,5.30142E+39,0.028027778,0.028027778,0,0.01075495,0.000609209,0,313.017381,-57.06851988,313.0060406,-57.06492345,p
20520957-5247457,ESO 187-IG 025 NED05,313.03989,-52.79598,345.44,-39.325,10.95,0.053,0.046358963,0.047209056,0.000500347,203.6404753,2.158290918,-5,2,0,0,0,474.9,13.01883251,404.8210652,2.20951E+40,0.027055556,0.027055556,0,0.017394526,0.001041208,0,313.0258557,-52.79442606,313.0309087,-52.79438284,j
20530614-1620078,IC 1335,313.27557,-16.33549,30.93979,-34.10003,10.906,0.06,0.042703083,0.043988096,0.000500347,189.3040544,2.15325742,-5,0,6,382.8,7.722693831,0,0,442.3979842,2.08659E+40,0.104611111,0.028388889,0,0.096581926,0.001251376,0,313.2766535,-16.3379067,313.272175,-16.31709897,j
20583752-5756359,PKS 2054-581,314.65656,-57.94333,338.67566,-39.44616,11.455,0.059,0.052419852,0.05352023,0.000500347,231.9156174,2.168119539,98,2,0,0,0,882.7,25.79554225,752.4437865,5.32646E+40,0.016305556,0.016305556,0,0.034956296,0.000533796,0,314.652897,-57.94763348,314.653241,-57.94395011,j
21013771-2801543,NGC 6998,315.4071,-28.03176,17.7632,-39.56374,10.845,0.058,0.039444146,0.040399792,0.000500347,173.4077916,2.147636018,-5,0,9,5821.2,92.25583992,0,0,6727.50038,2.66253E+41,0.19775,0.035333333,0,0.087835782,0.022294367,0.010911115,315.4100021,-28.01957438,315.4099336,-28.03207424,j
21014441-1318475,IC 1347,315.43503,-13.31322,35.30384,-34.84105,10.617,0.052,0.029427168,0.030256119,0.000500347,128.9024554,2.131666031,-5,0,4,1340.3,28.46260705,0,0,1548.970789,3.38743E+40,0.070972222,0.033305556,0,0.061456109,0.039435873,0.024959194,315.4390961,-13.30789149,315.4390961,-13.30789149,j
21030023-3058431,ESO 464- G 017,315.75107,-30.97865,14.0813,-40.47165,10.551,0.043,0.03895714,0.039843344,0.000500347,170.9498337,2.146762985,-3,2,3,471.9,10.88944443,605.9,13.81918956,545.3699288,2.09765E+40,0.055527778,0.022361111,0,0.037241928,0.017528716,0.007084429,315.7519956,-30.97710786,315.7484316,-30.97712907,j
21072021-2529150,NGC 7017 NED01,316.8342,-25.48756,21.38352,-40.17784,10.478,0.036,0.034684163,0.035499375,0.000500347,151.8274121,2.139935485,2,0,3,4956.4,104.1326078,0,0,5728.060002,1.73785E+41,0.088916667,0.035361111,0,0.047943358,0.017936432,0.048266597,316.8352595,-25.45208626,316.8491041,-25.4520115,j
21072565-2525430,NGC 7018 NED02,316.85687,-25.42866,21.46491,-40.18235,10.168,0.027,0.038416764,0.039380068,0.000500347,168.9048966,2.146035865,-2,0,4,5800.9,131.0191589,0,0,6704.039881,2.51724E+41,0.044444444,0.013916667,0,0.033384106,0.007688705,0.00344402,316.8352595,-25.45208626,316.8491335,-25.45617943,j
21140128+8204483,2MASX J21140128+8204483,318.50482,82.08009,115.9785,22.34435,11.579,0.043,0.084001855,0.088788751,0.000500347,394.3422157,2.222217302,98,0,3,474.9,11.22898036,0,0,548.8369976,1.1233E+41,0.061055556,0.030305556,0,0.029690374,0.001125322,0,318.4800817,82.08099771,318.5706395,82.08023285,j
21181913+6048075,3C 430,319.57962,60.80207,99.67657,7.95881,11.504,0.077,0.055545363,0.058206457,0.000500347,253.0677355,2.175388428,98,0,1,7802.6,241.2,0,0,9017.383781,7.60078E+41,0.020638889,0.020638889,0,0.002000254,0.002000254,0,319.5776394,60.80188056,319.5687225,60.8058592,j
21202854+0246340,MRK 0514,320.11887,2.77621,54.78663,-31.07105,11.103,0.055,0.04699941,0.048815437,0.000500347,210.8142331,2.160796871,-5,0,5,315.1,7.498666548,0,0,364.1577973,2.13007E+40,0.087083333,0.034972222,0,0.046876435,0.000543602,0.002445427,320.1293198,2.787399248,320.1168033,2.770730669,j
21212224-4635542,ESO 287-IG 010,320.34265,-46.59835,353.02737,-44.70225,11.203,0.061,0.075896208,0.078882273,0.000500347,347.9707005,2.20716327,-1,1,0,0,0,349.4,10.6,297.8405563,4.7465E+40,0,0,1,0.002072401,0.002072401,0,320.3468856,-46.60136205,320.3468856,-46.60136205,p
21285092+0115300,CGCG 375-043 NED02,322.21228,1.25832,54.69386,-33.65457,11.226,0.053,0.049607893,0.051549485,0.000500347,223.0602159,2.165055265,-2,0,3,447.8,9.606768447,0,0,517.5178091,3.38902E+40,0.0425,0.020277778,0,0.033257434,0.001359444,0,322.2117925,1.237596299,322.20762,1.241763941,j
21293744-2111443,IC 1386,322.40601,-21.19565,28.86701,-43.88294,9.854,0.033,0.035214533,0.036145222,0.000500347,154.6630639,2.14095193,-5,0,6,392.6,10.27813213,0,0,453.7237424,1.42846E+40,0.149972222,0.035277778,0,0.136760944,0.000282585,0,322.3998782,-21.19712937,322.3954531,-21.19292212,j
21313299-3837046,NGC 7075,322.88742,-38.6179,4.32255,-47.03957,9.658,0.025,0.018169325,0.017764151,0.000542042,74.96812505,2.227884951,-3,1,3,979.2,27.99089138,1145.8,40.9,1131.65127,8.37086E+39,0.042722222,0.021055556,0,0.027621914,0.000772533,0,322.8838696,-38.61595774,322.8877808,-38.61603025,j
21341775-5338101,2MASX J21341775-5338101,323.57385,-53.63624,342.68326,-45.34813,11.257,0.075,0.076519976,0.079449041,0.000500347,350.6080955,2.208027509,98,2,0,0,0,1163.9,33.16157415,992.1483212,1.60518E+41,0.027527778,0.015194444,0,0.013140961,0.01147895,0.00441116,323.5519765,-53.60469881,323.5416773,-53.6046607,u
21360902-6040550,FAIRALL 0109,324.03763,-60.68198,333.29956,-43.19652,11.543,0.075,0.061112575,0.062735959,0.000500347,273.6388966,2.182390641,98,1,0,0,0,627,24,534.4763274,5.2673E+40,0.010916667,0.010916667,0,0.000250905,0.000250905,0,324.0415527,-60.68276023,324.0289066,-60.67937449,j
21410389-1641382,GIN 658,325.2662,-16.69392,36.07949,-44.90116,10.651,0.051,0.051732707,0.053528883,0.000500347,231.9545509,2.168132984,5,0,4,245.4,6.360817558,0,0,283.6062312,2.00829E+40,0.094083333,0.035305556,0,0.054807662,0.001204459,0,325.2615649,-16.68801633,325.2790517,-16.70041513,j
21451552-1959406,2MASX J21451552-1959406,326.31461,-19.99468,32.1256,-46.98207,11.365,0.062,0.058700895,0.060869302,0.000500347,265.1462816,2.179507759,98,0,5,401.7,7.932212806,0,0,464.2405179,4.29555E+40,0.083388889,0.020555556,0,0.070305432,0.023368725,0.008975878,326.3149387,-19.98786957,326.3061579,-19.9794526,j
21462626+3332411,4C +33.52,326.60934,33.54472,84.34719,-15.12736,11.519,0.071,0.08720075,0.092378184,0.000500347,411.2862067,2.227644705,98,0,6,591.9,10.12324059,0,0,684.0526825,1.52294E+41,0.118555556,0.032361111,0,0.053441004,0.000177034,0,326.5899302,33.54446001,326.5997476,33.55294196,j
21492796-6429194,2MASX J21492796-6429194,327.36664,-64.48872,327.70535,-42.86108,11.476,0.074,0.055438622,0.056640875,0.000500347,245.9863718,2.172962788,98,2,0,0,0,943.9,32.82575209,804.6127678,6.40786E+40,0.026,0.026,0,0.046344998,0.003345412,0,327.3671951,-64.48653488,327.3526875,-64.48967864,j
21512991-5520124,PKS 2148-555,327.87466,-55.33686,339.16937,-47.14434,10.767,0.061,0.038783686,0.039279555,0.000500347,168.4613999,2.145878076,-5,4,0,0,0,2389.5,54.09454686,2036.891841,7.60805E+40,0.090111111,0.036638889,0,0.072668839,0.002347203,0.017335471,327.8662988,-55.34363766,327.8778327,-55.32908912,j
21515500-1537358,2MASX J21515500-1537358,327.97922,-15.62664,38.93212,-46.89872,11.636,0.048,0.061199302,0.063611465,0.000500347,277.6293744,2.183741427,98,0,6,572.9,10.64236816,0,0,662.0945798,6.71669E+40,0.095361111,0.03375,0,0.061108392,0.002378532,0,327.9913467,-15.62916388,327.9826938,-15.62499661,j
21570170-0750224,2MASX J21570170-0750224,329.25714,-7.83958,49.6893,-44.47924,11.463,0.073,0.062033216,0.064630231,0.000500347,282.278622,2.185312153,98,0,1,433.1,14.7,0,0,500.5291718,5.24916E+40,0.017861111,0.017861111,0,0.003172712,0.003172712,0,329.2576885,-7.839763386,329.2576885,-7.839763386,j
21570253+6626098,4C +66.24,329.26047,66.43603,106.71359,9.22457,10.335,0.059,0.058434042,0.061274765,0.000500347,266.989205,2.180134294,98,0,2,1009,28.14551474,0,0,1166.09082,1.09402E+41,0.022916667,0.016555556,0,0.024606871,0.000880225,0,329.2982268,66.4304845,329.2755545,66.44246611,j
21570595-6941236,ESO 075- G 041,329.27487,-69.68994,321.31647,-40.64714,10.298,0.047,0.02827303,0.028162555,0.000500347,119.7967417,2.128355421,-5,3,0,0,0,43820.7,1271.819244,37354.26922,7.05561E+41,0.093416667,0.076777778,0,0.012462273,0.002922737,0,329.3160609,-69.69063209,329.3432161,-69.6931264,j
22002408-5610413,PKS 2156-564,330.10043,-56.17819,337.27731,-47.94757,11.295,0.07,0.075776124,0.078610049,0.000500347,346.7046114,2.206748039,98,2,0,0,0,956.5,25.19781737,815.3534404,1.28994E+41,0.035444444,0.022611111,0,0.009668641,0.002604083,0,330.1097981,-56.18054939,330.0988088,-56.17687293,j
22011708-3746241,AM 2158-380 NED02,330.32111,-37.77333,5.31503,-52.9063,11.023,0.053,0.033436628,0.034035176,0.000500347,145.408303,2.13762935,-2,4,2,1589.6,44.82956614,2800.3,65.20690148,2387.071865,6.64275E+40,0.151194444,0.132777778,0,0.10554774,0.004598699,0.005989391,330.3189381,-37.77437063,330.3084958,-37.7786937,j
22041766+0440021,CGCG 403-019,331.07358,4.66722,64.70104,-38.63127,11.217,0.049,0.026998809,0.028078245,0.000500347,119.4306223,2.128221996,-5,0,3,780.6,19.14784583,0,0,902.1313126,1.69358E+40,0.04425,0.026222222,0,0.02145506,0.000977496,0,331.0676968,4.670321318,331.0677023,4.666154371,j
22111201+3855384,IC 5180,332.80008,38.92728,91.8545,-14.08761,9.696,0.033,0.020177925,0.021065667,0.000650982,89.13423521,2.754471474,-5,0,7,329.6,8.215838363,0,0,380.9152967,3.98311E+39,0.175,0.035194444,0,0.083622297,0.00801209,0.003028534,332.7779739,38.88670786,332.7664799,38.91149649,j
22122068-2518283,PKS 2209-255,333.08624,-25.30791,26.65354,-54.4199,10.986,0.057,0.062556915,0.06491009,0.000500347,283.5568828,2.185743433,-4,0,2,314.1,10.25914226,0,0,363.0021077,3.84144E+40,0.022361111,0.012916667,0,0.021001614,0.001208687,0,333.083231,-25.31301678,333.0831565,-25.30468153,j
22144500+1350476,NGC 7236,333.68747,13.84653,75.13812,-34.11025,10.251,0.06,0.026164895,0.027337344,0.000500347,116.2151205,2.127049125,-4,0,5,3270,66.05248069,0,0,1854.535123,6.71767E+40,0.101416667,0.035333333,0,0.067384789,0.021532411,0.021573673,333.6910071,13.84111307,333.6911285,13.85778806,j
22234962-0206137,2MASX J22234962-0206137,335.95673,-2.10381,61.86592,-46.71419,11.053,0.019,0.055878929,0.058173664,0.000500347,252.9192554,2.175337648,-9,0,10,5783.9,89.33912917,0,0,6684.393158,5.62769E+41,0.136277778,0.035361111,0,0.077789938,0.005097344,0.067443137,335.9583052,-2.103819397,335.9583054,-2.095481477,j
22275446-3034321,PKS 2225-308,336.97696,-30.57555,17.99344,-58.51451,10.976,0.065,0.058057113,0.060022119,0.000500347,261.2988475,2.178198065,-1,2,2,887.5,21.97839849,1459.2,33.70771425,1243.87218,1.11778E+41,0.020277778,0.015444444,0,0.028505389,0.000423269,0.001813163,336.96288,-30.56119991,336.9580411,-30.56117912,j
22312062+3921298,UGC 12064,337.83585,39.35825,95.45087,-15.92342,9.914,0.035,0.017131935,0.017462328,0.000583738,73.68729693,2.463249882,-3,0,12,2890.8,46.11843449,0,0,3340.867536,2.38753E+40,0.278722222,0.035333333,0,0.20017958,0.00863477,0,337.7940905,39.22883552,337.7735255,39.02835485,j
22314322-0824318,PKS 2229-08,337.93002,-8.40885,55.86731,-52.04551,11.22,0.06,0.082894416,0.087206124,0.000500347,386.8953278,2.219819705,-5,0,4,755.6,13.91222484,0,0,873.2390722,1.72038E+41,0.071972222,0.022916667,0,0.041489135,0.002331005,0,337.9294527,-8.412197932,337.9210242,-8.412236917,j
22351101-5223239,PKS 2232-526,338.79596,-52.39006,338.70047,-54.21064,11.593,0.066,0.055014994,0.056404099,0.000500347,244.9166922,2.172595697,98,1,0,0,0,644,19.4,548.967711,4.33399E+40,0,0,1,0.000866168,0.000866168,0,338.8051415,-52.39352013,338.7896342,-52.38612331,p
22370410+3424573,NGC 7331,339.26709,34.41592,93.7221,-20.7238,6.081,0.016,0.002721896,0.003247583,0.000366921,14.06262826,0.904878452,4,0,2,328.2,8.149233093,0,0,379.2973313,9.87227E+37,0.054055556,0.029722222,0,0.014102365,0.008393087,0,339.2678706,34.40740281,339.2629953,34.41581354,g
22380121+4107363,2MASX J22380121+4107363,339.50519,41.12675,97.53358,-15.07315,11.567,0.059,0.057416667,0.060215056,0.000500347,262.1746802,2.178496406,98,0,5,689.1,12.53116116,0,0,796.3857129,7.20459E+40,0.080472222,0.020972222,0,0.048373746,0.001720425,0.019106649,339.5187394,41.12826104,339.5077073,41.12404811,j
22381350-0702052,MCG -01-57-017,339.55634,-7.03477,59.22427,-52.5681,11.498,0.069,0.009646517,0.009244607,0.000450312,38.76742958,1.888392609,5,0,3,231,7.626925986,0,0,266.9643008,5.2807E+38,0.0265,0.014055556,0,0.032704907,0.001925141,0.012111135,339.5507659,-7.049713135,339.5465674,-7.049708566,u
22382946+3519400,UGC 12127,339.62277,35.32798,94.49641,-20.09901,9.724,0.037,0.02758922,0.028984776,0.000500347,123.3696259,2.129656215,-5,0,1,360.5,12.1,0,0,416.6261058,8.34579E+39,0.008722222,0.008722222,0,0.001522188,0.001522188,0.00252503,339.6200203,35.33117895,339.6200203,35.33117895,j
22391136-1720284,PKS 2236-17,339.79739,-17.34119,43.75011,-57.98278,11.601,0.068,0.074365141,0.077770205,0.000500347,342.8013372,2.205466477,98,0,2,1891.9,44.84027208,0,0,2186.44918,3.38165E+41,0.038694444,0.020944444,0,0.014718788,0.012439554,0,339.7991965,-17.35003241,339.7948405,-17.34169271,j
22423823-4254324,ESO 290- G 004,340.65927,-42.90901,353.29346,-59.54723,10.649,0.057,0.031555317,0.032008634,0.000500347,136.5458697,2.134433501,-1,2,0,0,0,304.5,9.617692031,259.5662547,6.36956E+39,0.041555556,0.022527778,0,0.020132788,0.011815517,0.002530855,340.6550097,-42.91156437,340.6550097,-42.91156437,j
22425137-1657082,2MASX J22425137-1657082,340.71399,-16.95232,45.10686,-58.62325,11.147,0.058,0.067163457,0.070001758,0.000500347,306.8952408,2.19357459,-5,0,2,253.1,7.940403012,0,0,292.5050413,3.62592E+40,0.025805556,0.020444444,0,0.024045473,0.004150139,0,340.7056677,-16.94889766,340.7100081,-16.94471626,j
22455898-1737320,PKS 2243-179,341.49582,-17.62566,44.50651,-59.58014,11.428,0.069,0.06839765,0.071318779,0.000500347,312.9572542,2.195595458,98,0,1,395.8,13.8,0,0,457.4219492,5.89646E+40,0.005305556,0.005305556,0,0.000442443,0.000442443,0,341.4953497,-17.62425843,341.4953497,-17.62425843,p
22492263-3728185,ESO 346- G 003,342.34439,-37.47178,3.25209,-62.36457,10.095,0.047,0.028669973,0.029128061,0.000500347,123.9926925,2.129882821,-2,1,1,340.2,10.8,472.7,14.4,402.9457096,8.15348E+39,0.016222222,0.016222222,0,0.00074808,0.000452513,0,342.3464967,-37.47082609,342.3387968,-37.47084758,j
22512450+3813414,4C +37.66,342.85205,38.22811,98.40283,-18.86017,11.594,0.05,0.058700895,0.06157196,0.000500347,268.3406558,2.180593413,98,0,2,987.5,22.77476674,0,0,1141.243494,1.08157E+41,0.038,0.022222222,0,0.023475864,0.011376704,0,342.8516611,38.21687389,342.8463571,38.21677328,j
22515859+1718147,2MASX J22515859+1718147,342.9942,17.30405,86.42131,-36.95835,11.292,0.066,0.085079272,0.089940144,0.000500347,399.7691892,2.223959838,98,0,2,714.7,20.9267771,0,0,825.971367,1.73735E+41,0.045194444,0.029416667,0,0.041961575,0.014495165,0.003076731,342.9788529,17.28104522,342.983148,17.29356864,j
22571068-3627449,IC 1459,344.29453,-36.46248,4.65836,-64.10973,6.923,0.016,0.005713981,0.005619331,0.000458651,24.23895637,1.802940189,-5,2,1,1279.7,45.2,1109.5,30.70586263,1478.935999,1.14362E+39,0.033666667,0.033666667,0,0.001308158,0.000431129,0,344.2920478,-36.46334994,344.2921959,-36.4581527,j
23085823+2322004,UGC 12390,347.24271,23.36684,94.41361,-33.76838,10.9,0.056,0.035127806,0.036695123,0.000500347,157.0794984,2.141817,-5,0,2,407.2,13.64441278,0,0,470.5968108,1.52824E+40,0.024555556,0.012305556,0,0.01893393,0.002415832,0,347.2420121,23.36061457,347.2419645,23.3689483,j
23104223+0734033,NGC 7503,347.67603,7.56763,84.21858,-47.58912,10.191,0.041,0.044237485,0.046028267,0.000500347,198.377412,2.156447026,-5,0,4,1729.7,35.47520261,0,0,1998.996325,1.03538E+41,0.089388889,0.029055556,0,0.046581387,0.016475738,0.007246501,347.6763248,7.595703835,347.6763343,7.583203517,j
23135863-4243393,ESO 291- G 009,348.49432,-42.72756,348.34262,-64.81477,11.176,0.077,0.056395956,0.058039967,0.000500347,252.313971,2.175130608,-2,1,0,0,0,472.1,14.2,402.434249,3.37196E+40,0,0,1,0.00066004,0.00066004,0,348.4856477,-42.73167309,348.4940744,-42.72738601,p
23161076-4235053,NGC 7552,349.04486,-42.58483,348.14471,-65.23586,7.62,0.016,0.005337051,0.005335097,0.00047533,21.40535938,1.746656173,2,1,0,0,0,370.9,11.3,316.1678944,1.90663E+38,0,0,1,0.000566211,0.000566211,0,349.0371685,-42.58375306,349.0413185,-42.58378867,p
23174961+3423504,B2 2315+34,349.45679,34.39742,101.803,-24.60444,10.877,0.056,0.059638215,0.062549478,0.000500347,272.7895329,2.182102816,-4,0,2,397.5,12.35839795,0,0,459.3866215,4.49923E+40,0.021222222,0.012277778,0,0.023586099,0.000332031,0,349.4546072,34.39801709,349.4545302,34.40218487,j
23175633-4213335,LCRS B231511.1-422958,349.48486,-42.22595,348.48428,-65.69897,11.433,0.066,0.055999013,0.057626561,0.000500347,250.4430473,2.174490287,-9,3,0,0,0,524.3,14.87649152,446.9313213,3.68946E+40,0.073444444,0.035138889,0,0.062570197,0.002537887,0,349.4924186,-42.23030691,349.4966154,-42.2215243,j
23182362-4222140,NGC 7582,349.59842,-42.37057,348.07797,-65.6961,7.408,0.017,0.00525366,0.005252576,0.00047533,21.8486274,1.777845817,2,1,0,0,0,395.3,12,336.9672922,2.1171E+38,0,0,1,0.00059162,0.00059162,0,349.5905721,-42.36713089,349.5946793,-42.37154636,g
23190591-4206486,MCG -07-47-031,349.7746,-42.11348,348.44943,-65.94096,10.822,0.06,0.054317841,0.055844967,0.000500347,242.3920594,2.171728582,-5,2,0,0,0,1722.9,45.64000438,1468.659114,1.1357E+41,0.073694444,0.058666667,0,0.030676637,0.005556117,0,349.8023178,-42.10366205,349.7981994,-42.10365465,j
23204252+0813014,NGC 7626,350.17722,8.217,87.85905,-48.37883,8.112,0.022,0.011357913,0.011187552,0.00047533,47.76695458,1.733699577,-5,0,8,842.4,14.59109317,0,0,973.5529307,2.92361E+39,0.189527778,0.035305556,0,0.106041363,0.001906535,0,350.1852362,8.216875413,350.19366,8.216912074,j
23232031+2035237,CGCG 454-057,350.83472,20.5899,96.58028,-37.73251,10.46,0.047,0.038023156,0.039676125,0.000500347,170.2115613,2.146500559,-5,0,5,836.4,16.57829907,0,0,966.618793,3.68585E+40,0.10475,0.030055556,0,0.045653075,0.000779298,0,350.8292921,20.59201471,350.8248404,20.59198553,j
23272195+1524375,2MASX J23272195+1524375,351.84149,15.4104,94.8053,-42.82303,11.077,0.054,0.045968692,0.047930188,0.000500347,206.8589407,2.159416244,-4,0,3,227.7,6.287288764,0,0,263.1505251,1.48203E+40,0.075111111,0.062222222,0,0.042554885,3.0617E-05,0,351.8271123,15.41658724,351.8400821,15.41243037,j
23275670+0846443,NGC 7674,351.98627,8.779,90.62678,-48.78495,9.951,0.035,0.028923483,0.0301198,0.000500347,128.3087172,2.131450618,4,0,1,220.9,6.6,0,0,255.2918357,5.53164E+39,0.005305556,0.005305556,1,0.00031562,0.00031562,0,351.9873518,8.779190533,351.9831357,8.779190384,p
23360718-3230326,PKS 2333-327,354.03,-32.509,10.1429,-72.82886,11.364,0.06,0.052122979,0.05368736,0.000500347,232.6676933,2.168379204,98,2,3,332.9,8.161494961,420,12.04159458,384.7290725,2.74114E+40,0.06825,0.031472222,0,0.03283485,0.004452151,0,354.0225312,-32.50816081,354.0276092,-32.49988479,j
23382938+2701526,NGC 7720 NED01,354.62241,27.03137,103.50146,-33.07298,9.434,0.033,0.030527934,0.031952819,0.000500347,136.3021415,2.134345414,-3,0,10,8046.3,125.1708433,0,0,9299.02534,2.27377E+41,0.191361111,0.035361111,0,0.101603232,0.007347415,0.006205878,354.6202219,27.0096687,354.6201196,27.01800275,j
23400080+2708014,NGC 7728,355.00342,27.13372,103.92399,-33.08795,9.528,0.025,0.031348506,0.032800623,0.000500347,140.006334,2.135683019,-5,0,6,516.6,13.193938,0,0,597.0292545,1.54026E+40,0.087777778,0.035138889,0,0.083682858,0.000659809,0,355.0446227,27.15914271,355.0026954,27.13384066,j
23412980-2919149,MCG -05-55-032,355.37415,-29.32081,20.73442,-74.45345,10.626,0.053,0.052269748,0.053896335,0.000500347,233.6083069,2.168703838,-5,0,6,353.6,9.414350748,0,0,408.6518475,2.93518E+40,0.108861111,0.035083333,0,0.060689943,0.000501229,0,355.3500933,-29.31527342,355.3597555,-29.29864672,j
23470479+5142179,2MASX J23470479+5142179,356.77008,51.70497,112.89137,-9.9076,11.025,0.049,0.044000654,0.046061185,0.000500347,198.5240168,2.15649845,98,0,3,412.4,10.30388276,0,0,476.6063968,2.47224E+40,0.045,0.035333333,0,0.051557341,0.000539055,0.000706471,356.804527,51.69981606,356.7978061,51.69997659,j
23554421+3012439,CGCG 498-038,358.93427,30.21226,108.87043,-31.13392,11.216,0.058,0.030821472,0.032269056,0.000500347,137.6833121,2.134844447,-2,0,1,244.4,7.3,0,0,282.4505416,7.04708E+39,0.005138889,0.005138889,1,0.000270552,0.000270552,0,358.9343699,30.21183838,358.9343247,30.21600688,p
23570068-3445331,ESO 349- G 010,359.25293,-34.75919,356.37637,-76.07766,10.045,0.052,0.049444446,0.050808849,0.000500347,219.7383483,2.16390253,-5,1,1,1284.7,43.3,3018,90.6,2572.64682,1.63492E+41,0.017333333,0.017333333,0,0.000604974,0.000397026,0,359.2544341,-34.76006074,359.2544341,-34.76006074,j
