2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
17050269+6849389,NGC 6303,256.26135,68.82752,99.80517,34.68928,10.415,0.052,0.040501549,0.042149018,0.000500347,181.1469835,2.150378162,-2,0,1,251.9,8.3,0,0,291.1182137,1.25729E+40,0.029472222,0.029472222,0,0.001345122,0.001345122,0,256.2525839,68.83004365,256.2525839,68.83004365,j
17052935+2216075,2MASX J17052935+2216075,256.37225,22.26876,43.13393,32.69221,10.996,0.059,0.04958788,0.05125391,0.000500347,221.7341156,2.164595303,-5,0,2,421.4,12.91897829,0,0,487.0076033,3.15141E+40,0.025444444,0.020583333,0,0.021934498,0.002439097,0,256.3646959,22.26596499,256.3647176,22.2743021,j
17053973-1450498,2MASX J17053973-1450498,256.41556,-14.84714,6.81376,15.44174,11.423,0.085,0.042499608,0.043299837,0.000500347,186.2489004,2.152180331,98,0,1,232.2,7.7,0,0,268.3511283,1.22517E+40,0.010472222,0.010472222,0,0.002843971,0.002843971,0,256.418127,-14.84534862,256.4138163,-14.84535696,j
17090816+0923583,2MASX J17090816+0923583,257.28412,9.39945,29.78954,26.96967,10.786,0.053,0.035991741,0.036864483,0.000500347,157.8240993,2.142083359,-5,0,2,773.6,19.34140636,0,0,894.0414853,2.93095E+40,0.023611111,0.012083333,0,0.011226862,0.010657823,0.004464179,257.284023,9.40233134,257.2797985,9.40234432,j
17092831-2226505,2MASX J17092831-2226505,257.36795,-22.44737,0.93664,10.36392,10.332,0.054,0.030954899,0.031205044,0.000500347,133.0387125,2.133164951,-5,0,10,581.4,11.88780888,0,0,671.9179415,1.56522E+40,0.269638889,0.035277778,0,0.155721836,0.003876196,0,257.3804108,-22.52275552,257.3846302,-22.49353937,j
17105840+4624210,CGCG 252-023,257.74335,46.40585,72.23657,36.20863,10.757,0.064,0.03679897,0.038146075,0.000500347,163.4644329,2.144097903,2,0,5,458.3,9.33702308,0,0,529.65255,1.8627E+40,0.141611111,0.034527778,0,0.073761543,0.003354389,0.002092281,257.6649296,46.38885861,257.6892959,46.39244544,j
17115542-2309423,2MASX J17115542-2309423,257.9809,-23.16181,0.67387,9.49061,10.525,0.071,0.02685204,0.026972035,0.000500347,114.6309505,2.126470598,-5,0,2,361.7,10.80601684,0,0,418.0129333,7.22933E+39,0.057111111,0.028611111,0,0.046105351,0.012865311,0.002367305,257.9605141,-23.14055975,257.9648574,-23.15312016,j
17124278-2435477,2MASX J17124278-2435477,258.17828,-24.59663,359.59042,8.51789,9.735,0.061,0.024330283,0.024364355,0.000500347,103.3470233,2.12233651,-5,0,8,1290.2,28.96497885,0,0,1491.07074,2.09603E+40,0.14025,0.035361111,0,0.082527657,0.001155747,0.041930058,258.2040594,-24.559328,258.1946738,-24.54695914,j
17131541-2502266,2MASX J17131541-2502266,258.3143,-25.04076,359.29514,8.16131,9.992,0.068,0.028573239,0.028722748,0.000500347,122.2305492,2.129241758,98,0,2,7217.1,160.7507387,0,0,8340.727512,1.64009E+41,0.049444444,0.024972222,0,0.021346052,0.021053875,0.002042362,258.3165451,-25.04094428,258.3119448,-25.0408944,j
17154136-1206217,2MASX J17154136-1206217,258.92233,-12.10608,10.57558,14.9182,11.163,0.07,0.057900337,0.05961246,0.000500347,259.4399565,2.177564464,-5,0,5,977.6,17.30693503,0,0,1129.802167,1.00088E+41,0.071333333,0.018166667,0,0.038358891,0.000696009,0,258.9218088,-12.10210446,258.9175468,-12.10208813,j
