level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
751,752,AGC 211615,90.254,177.772,20.1467,236.539,74.5334,-9.9
752,753,NGC 937,9.5,178.177,20.6314,235.63,75.1012,308.0
753,754,AGC 211616,90.254,178.18,20.5939,235.762,75.0849,-9.9
754,755,NGC 940,92.075,178.193,20.9892,234.423,75.2827,-9.9
755,756,AGC 211617,90.254,178.205,20.67,235.547,75.1426,-9.9
757,758,AGC 211618,5.915,178.258,20.6864,235.583,75.1936,-9.9
758,759,AGC 210878,97.423,178.296,20.6589,235.744,75.2115,148.0
760,761,AGC 211619,90.254,178.366,20.6944,235.746,75.2864,-9.9
761,762,AGC 211620,90.254,178.369,20.4856,236.467,75.1873,-9.9
764,765,NGC 036,20.8,180.361,61.8958,132.98,54.2464,182.0
765,766,NGC 078,48.85,181.198,10.5956,267.116,70.1528,183.7
766,767,NGC 111,15.55,181.763,43.0658,149.529,71.6963,163.3
768,769,NGC 119,17.803,182.04,10.3789,269.549,70.3923,68.9
769,770,IC 3019,18.1,182.343,13.9925,264.074,73.6026,-9.9
770,771,NGC 143,17.9,182.4,42.5342,149.184,72.3962,178.6
771,772,IC 3025,16.475,182.596,10.1886,271.254,70.4923,26.0
774,775,IC 3032,19.8,182.782,14.2747,264.751,74.0779,28.9
776,777,NGC 179,19.6,183.217,1.29972,281.62,62.5647,167.5
784,785,IC 3101,17.7,184.332,11.9433,273.487,72.835,-9.9
794,795,NGC 267,16.545,184.938,12.7983,274.014,73.8642,123.6
800,801,NGC 291,33.491,185.076,75.3708,125.554,41.5986,240.3
803,804,UGC 399A,16.41,185.203,17.4869,265.095,78.0444,35.7
804,805,IC 3192,16.5,185.27,11.7547,276.595,73.055,23.8
820,821,NGC 352,19.067,186.021,11.2181,279.612,72.8394,-9.9
824,825,IC 3284,16.0,186.156,10.8392,280.479,72.5317,-9.9
828,829,IC 3292,16.5,186.201,18.195,267.067,79.1634,43.5
831,832,NGC 371,15.917,186.231,11.7042,279.673,73.367,143.9
837,838,NGC 377,19.309,186.301,14.7622,275.333,76.2081,123.6
846,847,M85,17.056,186.35,18.1914,267.712,79.2376,179.1
868,869,IC 3338,16.5,186.491,10.0539,282.35,71.9003,29.0
919,920,IC 3369,18.7,186.82,16.0244,274.929,77.5628,40.4
959,960,IC 3383,15.267,187.051,10.2978,283.813,72.3016,-9.9
1021,22,NGC 473,16.348,187.454,13.4294,281.617,75.3988,186.6
1054,55,NGC 483,16.9,187.669,9.01556,286.807,71.2344,87.3
1082,83,IC 3468,16.37,188.059,10.2514,287.014,72.5271,-9.9
1084,85,IC 798,19.4,188.139,15.4153,281.444,77.4923,32.4
1091,92,IC 3487,18.74,188.306,9.39722,288.444,71.7547,28.9
1092,93,IC 3490,18.98,188.308,10.9286,287.252,73.2437,-9.9
1096,97,IC 3501,16.5,188.465,13.3225,285.491,75.5957,35.6
1097,98,NGC 526,15.301,188.513,7.69944,290.16,70.1389,208.9
1098,99,NGC 528,17.25,188.525,11.3214,287.645,73.6765,101.6
1101,102,IC 3510,15.3,188.562,11.0714,287.976,73.442,47.0
1102,103,IC 3519,16.5,188.66,15.6028,283.382,77.8322,26.0
1103,104,NGC 546,18.1,188.873,-3.79306,295.227,58.8399,187.9
1104,105,NGC 550,16.321,188.877,12.2208,288.094,74.6319,115.3
1105,106,PGC 41959,15.6,188.905,12.3819,288.05,74.7948,38.7
1106,107,NGC 551,17.817,188.908,12.2639,288.165,74.6807,93.5
1107,108,M89,15.673,188.916,12.5564,287.932,74.9668,224.4
1108,109,PGC 42046,18.1,189.103,10.3847,290.283,72.8864,-9.9
1109,110,NGC 564,16.229,189.112,11.4392,289.561,73.9206,154.5
1110,111,IC 3578,16.74,189.164,11.1019,289.987,73.6011,36.7
1112,113,IC 3586,16.5,189.228,12.52,289.111,75.0006,28.0
1114,115,NGC 578,17.7,189.377,9.555,291.681,72.1218,106.7
1115,116,PGC 42205,17.6,189.528,10.0822,291.861,72.6669,-9.9
1116,117,IC 3612,14.7,189.77,14.7311,289.244,77.2732,-9.9
1117,118,IC 3631,42.8,189.95,12.9739,291.471,75.586,35.6
1118,119,NGC 596,16.8,189.983,10.1761,293.298,72.8323,125.6
1119,120,IC 3633,16.25,190.047,9.89611,293.647,72.5647,22.3
1120,121,IC 3635,15.619,190.056,12.8747,291.948,75.5068,-9.9
1121,122,PGC 42442,17.883,190.082,15.9353,289.4,78.5141,-9.9
1122,123,IC 3647,16.5,190.221,10.4753,293.942,73.1626,-9.9
1123,124,IC 3652,20.65,190.244,11.1844,293.66,73.8675,24.4
1124,125,NGC 608,19.88,190.305,10.1556,294.374,72.8573,109.6
1125,126,IC 3653,15.157,190.315,11.3872,293.805,74.0784,-9.9
1126,127,IC 804,40.7,190.317,-5.00917,298.179,57.7687,102.1
1127,128,IC 3658,16.5,190.336,14.7006,291.716,77.3519,26.7
1129,130,IC 3663,11.648,190.414,12.2475,293.696,74.9436,-9.9
1130,131,UGC 854,15.129,190.467,9.40278,295.217,72.131,31.3
1131,132,M59,15.686,190.509,11.6469,294.363,74.3621,197.7
1132,133,IC 809,15.85,190.536,11.7542,294.405,74.4718,23.8
1133,134,IC 810,15.757,190.538,12.5967,293.965,75.3065,37.0
