Name,Type,Distance [Mpc],,Ks,M_KsT,M_VT,(V-Ks)_0,(B-V)_0,log M_bulge [Msolar],M_BH (low - high) [Msolar],M_BH [Msolar * 10e6],sigma_e [km/s],Flags: M,Flags: C,Flags: M_BH,Source
NGC 7052,E3,70.4,9,8.57,−25.70,−22.86,2.841,0.86,11.61±0.10,3.96(2.40−6.72)×10e8,396,266±13,2,1,0,van der Marel+1998b
IC 1481,E1.5,89.9,9,10.62,−24.17,...,...,...,...,1.49(1.04−1.93)×10e7,14.9,...,3,0,0,Hur´e+2011
NGC 3842,E1,92.2,9,8.84,−25.99,−23.01,2.98,0.941,11.77±0.09,9.09(6.28−11.43)×10e9,9090,270±27,1,1,1,McConnell+2012
NGC 4889,E4,102,9,8.41,−26.64,−23.63,3.007,1.031,12.09±0.09,2.08(0.49−3.66)×1010,20800,347±5,1,1,1,McConnell+2012
NGC 6251,E1,108.4,9,9.03,−26.18,−23.18,2.998,...,11.88±0.09,6.14(4.09−8.18)×10e8,614,290±14,2,1,0,Ferrarese+1999
NGC 7768,E4,116,9,9.34,−26.00,−23.19,2.811,0.906,11.75±0.09,1.34(0.93−1.85)×10e9,1340,257±26,1,1,1,McConnell+2012
NGC 6086,E,138,9,9.97,−25.74,−22.84,2.884,0.965,11.69±0.09,3.74(2.59−5.50)×10e9,3740,318±2,1,1,1,McConnell+2011b
A1836 BCG,E,152.4,9,9.99,−25.95,−22.64,3.31,1.043,11.81±0.10,3.74(3.22−4.16)×10e9,3740,288±14,2,1,0,Dalla Bont´a+2009
Cygnus A,E,242.7,9,10.28,−26.77,−23.23,3.54,...,...,2.66(1.91−3.40)×10e9,2660,270±90,2,1,0,Tadhunter+2003
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 2, https://arxiv.org/pdf/1304.7762.pdf",,,,,,,,,,,,,,,,
