id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
3015 , 5BZQJ1938-4657 , QSO RLoud flat radio sp. , 294.60979 , -46.95708 , 0.805 ,  , 138 ,  , 21 , 0.13 , 7e-10
3016 , 5BZQJ1939-1525 , QSO RLoud flat radio sp. , 294.86108 , -15.42864 , 1.657 ,  , 609 ,  , 20.6 , 0.45 , 
3017 , 5BZQJ1939-1002 , QSO RLoud flat radio sp. , 294.98858 , -10.04486 , 3.787 ,  , 839 ,  , 16.9 , 0.4 , 
3018 , 5BZQJ1941-0211 , QSO RLoud flat radio sp. , 295.32892 , -2.19586 , 0.202 ,  , 54 ,  , 16.9 ,  , 
3019 , 5BZUJ1941-6211 , Blazar Uncertain type , 295.34071 , -62.18919 ,  ,  , 1831 ,  , 20 ,  , 6e-10
3020 , 5BZQJ1942-7015 , QSO RLoud flat radio sp. , 295.68921 , -70.26233 , 2.896 ,  , 80 ,  , 19 ,  , 
3021 , 5BZBJ1942+1033 , BL Lac , 295.69783 , 10.5575 ,  ,  , 99 ,  , 15.4 , 2.86 , 2.8e-9
3022 , 5BZGJ1945-5520 , BL Lac-galaxy dominated , 296.354 , -55.34694 , 0.015 ,  , 710 , 249 , 11.9 ,  , 
3023 , 5BZQJ1945-3048 , QSO RLoud flat radio sp. , 296.48979 , -30.81369 , 0.576 ,  , 128 ,  , 19.1 ,  , 
3024 , 5BZBJ1945-3111 , BL Lac , 296.49754 , -31.19425 ,  ,  , 168 ,  , 18 ,  , 7e-10
3025 , 5BZQJ1949+5041 , QSO RLoud flat radio sp. , 297.43275 , 50.69156 , 1.929 ,  , 216 ,  , 15.7 ,  , 
3026 , 5BZQJ1949-1957 , QSO RLoud flat radio sp. , 297.47258 , -19.95369 , 2.652 ,  , 1416 ,  , 17.9 , 0.26 , 
3027 , 5BZQJ1951+5727 , QSO RLoud flat radio sp. , 297.77908 , 57.45478 , 0.652 ,  , 457 ,  , 19.3 ,  , 
3028 , 5BZQJ1951+0134 , QSO RLoud flat radio sp. , 297.90008 , 1.57853 , 4.114 ,  , 100 ,  , 19.4 , 0.08 , 
3029 , 5BZQJ1951-0509 , QSO RLoud flat radio sp. , 297.94779 , -5.16222 , 1.083 ,  , 184 ,  , 19.5 , 0.06 , 
3030 , 5BZBJ1954-1123 , BL Lac , 298.6715 , -11.38961 , 0.683 ,  , 367 , 539 , 18.9 , 0.34 , 2.9e-9
3031 , 5BZQJ1955+1358 , QSO RLoud flat radio sp. , 298.79821 , 13.97119 , 0.743 ,  , 156 , 735 , 18.6 ,  , 1.9e-9
3032 , 5BZQJ1955+5131 , QSO RLoud flat radio sp. , 298.92808 , 51.53014 , 1.214 ,  , 1588 , 427 , 17.5 , 0.48 , 
3033 , 5BZQJ1956-3225 , QSO RLoud flat radio sp. , 299.24771 , -32.42944 , 1.242 ,  , 474 , 302 , 18.6 ,  , 
3034 , 5BZQJ1957-3845 , QSO RLoud flat radio sp. , 299.49925 , -38.75178 , 0.63 ,  , 1494 , 990 , 17.1 , 1.14 , 3.1e-9
3035 , 5BZGJ1958-3011 , BL Lac-galaxy dominated , 299.56212 , -30.18658 , 0.119 ,  , 129 ,  , 14 , 6.24 , 6e-10
3036 , 5BZQJ1959-4246 , QSO RLoud flat radio sp. , 299.80579 , -42.76883 , 2.178 ,  , 163 , 318 , 19.7 , 0.29 , 2.5e-9
3037 , 5BZBJ1959+6508 , BL Lac , 299.99942 , 65.14853 , 0.047 ,  , 250 ,  , 11.9 , 32.3 , 5.9e-9
3038 , 5BZQJ2000-1325 , QSO RLoud flat radio sp. , 300.17563 , -13.42597 , 0.222 ,  , 454 , 427 , 16.7 ,  , 
3039 , 5BZQJ2000-1748 , QSO RLoud flat radio sp. , 300.23788 , -17.81603 , 0.652 ,  , 550 , 1008 , 16.8 , 1.45 , 2.5e-9
3040 , 5BZBJ2001+4352 , BL Lac , 300.30362 , 43.88133 ,  ,  , 104 ,  , 15 , 1 , 1.18e-8
