id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
1 , 5BZQJ0000-3221 , QSO RLoud flat radio sp. , 0.08496 , -32.35028 , 1.275 ,  , 521 ,  , 18.2 , 0.05 , 
2 , 5BZQJ0001-1551 , QSO RLoud flat radio sp. , 0.27208 , -15.85194 , 2.044 ,  , 348 ,  , 18.1 ,  , 
3 , 5BZQJ0001+1914 , QSO RLoud flat radio sp. , 0.28592 , 19.24283 , 3.1 ,  , 265 ,  , 21.6 ,  , 
4 , 5BZBJ0001-0746 , BL Lac , 0.32504 , -7.77408 ,  ,  , 208 ,  , 17.9 , 0.35 , 5e-10
5 , 5BZBJ0001-0011 , BL Lac , 0.33954 , -0.19442 , 0.462 ,  ?  , 111 ,  , 19.6 ,  , 
6 , 5BZGJ0001-1031 , BL Lac-galaxy dominated , 0.48858 , -10.52147 , 0.252 ,  , 41 ,  , 17.8 ,  , 
7 , 5BZBJ0002-0024 , BL Lac , 0.73817 , -0.41308 , 0.523 ,  , 178 ,  , 19.7 ,  , 
8 , 5BZQJ0003+2129 , QSO RLoud flat radio sp. , 0.83058 , 21.49572 , 0.45 ,  , 83 ,  , 20.1 ,  , 
9 , 5BZBJ0004-1148 , BL Lac , 1.02033 , -11.81611 ,  ,  , 459 , 308 , 18.8 ,  , 
10 , 5BZQJ0004+4615 , QSO RLoud flat radio sp. , 1.06738 , 46.25506 , 1.81 ,  , 120 ,  , 20.4 ,  , 
11 , 5BZQJ0004-4736 , QSO RLoud flat radio sp. , 1.1485 , -47.60542 , 0.884 ,  , 909 ,  , 15.9 , 0.85 , 9e-10
12 , 5BZQJ0004+2019 , QSO RLoud flat radio sp. , 1.14896 , 20.3285 , 0.677 ,  , 55 ,  , 21.6 ,  , 
13 , 5BZQJ0005-1648 , QSO RLoud flat radio sp. , 1.32471 , -16.80131 , 0.78 ,  , 263 ,  , 18.4 , 0.44 , 
14 , 5BZQJ0005+0524 , QSO RLoud flat radio sp. , 1.33421 , 5.40303 , 1.9 ,  , 127 ,  , 16.2 , 0.26 , 
15 , 5BZQJ0005+3820 , QSO RLoud flat radio sp. , 1.48825 , 38.33756 , 0.229 ,  , 572 , 685 , 17.6 , 0.75 , 1e-9
16 , 5BZBJ0006-0623 , BL Lac , 1.55788 , -6.39311 , 0.347 ,  , 2051 , 1212 , 17.9 , 0.82 , 
17 , 5BZQJ0006-4245 , QSO RLoud flat radio sp. , 1.58221 , -42.75517 , 1.77 ,  ?  , 246 ,  , 18.5 ,  , 
18 , 5BZGJ0006+1051 , BL Lac-galaxy dominated , 1.58454 , 10.86436 , 0.168 ,  , 12 ,  , 15.6 , 1.72 , 
19 , 5BZQJ0006+2422 , QSO RLoud flat radio sp. , 1.70329 , 24.37681 , 1.684 ,  , 184 ,  , 18.8 ,  , 
20 , 5BZQJ0007-6113 , QSO RLoud flat radio sp. , 1.83575 , -61.21842 , 0.857 ,  , 87 ,  , 19.3 ,  , 
21 , 5BZBJ0007+4712 , BL Lac , 1.99988 , 47.20214 , 0.28 ,  ?  , 60 ,  , 18.2 , 0.53 , 2.1e-9
22 , 5BZQJ0008-2339 , QSO RLoud flat radio sp. , 2.00154 , -23.65497 , 1.412 ,  , 375 ,  , 15.8 , 0.3 , 
23 , 5BZBJ0008-2339 , BL Lac , 2.14742 , -23.65772 , 0.147 ,  , 36 ,  , 16.8 , 2.42 , 3e-10
24 , 5BZQJ0008-4619 , QSO RLoud flat radio sp. , 2.15642 , -46.328 , 1.85 ,  , 109 ,  , 16.6 ,  , 
25 , 5BZBJ0009+0628 , BL Lac , 2.26633 , 6.47261 ,  ,  , 247 ,  , 18.9 , 0.55 , 5e-10
26 , 5BZQJ0009+0625 , QSO RLoud flat radio sp. , 2.32104 , 6.43186 , 2.694 ,  , 180 ,  , 19 , 0.08 , 5e-10
27 , 5BZBJ0009+5030 , BL Lac , 2.34488 , 50.50794 ,  ,  , 12 ,  , 19.4 , 0.24 , 2.2e-9
28 , 5BZQJ0010+2047 , QSO RLoud flat radio sp. , 2.61979 , 20.79725 , 0.6 ,  , 159 ,  , 19.3 , 0.51 , 
29 , 5BZQJ0010+1058 , QSO RLoud flat radio sp. , 2.62917 , 10.97489 , 0.089 ,  , 98 , 1404 , 15.8 , 6.14 , 
30 , 5BZQJ0010+1724 , QSO RLoud flat radio sp. , 2.64163 , 17.40528 , 1.601 ,  , 918 ,  , 16.7 , 0.65 , 
31 , 5BZQJ0010-3027 , QSO RLoud flat radio sp. , 2.64883 , -30.46317 , 1.19 ,  , 315 ,  , 18.8 , 0.17 , 
32 , 5BZQJ0010-2945 , QSO RLoud flat radio sp. , 2.68825 , -29.75367 , 2.344 ,  , 404 ,  , 18.8 ,  , 
33 , 5BZQJ0011-2612 , QSO RLoud flat radio sp. , 2.75508 , -26.20889 , 1.096 ,  , 210 ,  , 18.8 ,  , 
34 , 5BZQJ0011-3620 , QSO RLoud flat radio sp. , 2.81133 , -36.34428 , 2.324 ,  , 66 ,  , 21.3 , 0.02 , 
35 , 5BZQJ0011+0057 , QSO RLoud flat radio sp. , 2.87667 , 0.96444 , 1.492 ,  , 167 ,  , 20.7 , 0.28 , 5e-10
36 , 5BZGJ0012-1628 , BL Lac-galaxy dominated , 3.14108 , -16.46869 , 0.151 ,  , 94 ,  , 15 , 0.9 , 
37 , 5BZQJ0012+3353 , QSO RLoud flat radio sp. , 3.19733 , 33.89406 , 1.682 ,  , 81 ,  , 20.4 ,  , 
38 , 5BZBJ0012-3954 , BL Lac , 3.2495 , -39.90717 ,  ,  , 494 , 257 , 18.9 ,  , 5e-10
39 , 5BZQJ0013-1513 , QSO RLoud flat radio sp. , 3.33625 , -15.22978 , 1.838 ,  , 117 ,  , 19.2 ,  , 
40 , 5BZQJ0013-0423 , QSO RLoud flat radio sp. , 3.47546 , -4.39781 , 1.075 ,  , 303 ,  , 19.7 , 0.3 , 
41 , 5BZGJ0013-1854 , BL Lac-galaxy dominated , 3.4835 , -18.90181 , 0.095 ,  , 29 ,  , 13.4 , 6.49 , 
42 , 5BZBJ0013+1910 , BL Lac , 3.48483 , 19.17833 , 0.477 ,  , 161 ,  , 17.7 ,  , 
43 , 5BZBJ0014-5022 , BL Lac , 3.54763 , -50.37636 ,  ,  , 13 ,  , 18.7 , 6.98 , 6e-10
44 , 5BZGJ0014+0854 , BL Lac-galaxy dominated , 3.58233 , 8.90039 , 0.162 ,  , 324 ,  , 17.2 , 0.67 , 
45 , 5BZQJ0014-3059 , QSO RLoud flat radio sp. , 3.65813 , -30.98867 , 2.785 ,  , 193 ,  , 19.3 , 0.12 , 
46 , 5BZBJ0014+5802 , BL Lac , 3.67554 , 58.03367 ,  ,  , 8 ,  , 19 , 1.28 , 
47 , 5BZQJ0015-1812 , QSO RLoud flat radio sp. , 3.76033 , -18.21408 , 0.743 ,  , 387 ,  , 19.6 , 0.48 , 
48 , 5BZBJ0015+3536 , BL Lac , 3.86654 , 35.611 ,  ,  , 11 ,  , 19.8 , 1.42 , 
49 , 5BZQJ0015+1700 , QSO RLoud flat radio sp. , 3.91658 , 17.01139 , 1.709 ,  , 135 ,  , 21 ,  , 5e-10
50 , 5BZQJ0016-0015 , QSO RLoud flat radio sp. , 4.04621 , -0.25344 , 1.577 ,  , 1086 ,  , 19.9 , 0.23 , 4e-10
51 , 5BZQJ0017+8135 , QSO RLoud flat radio sp. , 4.28525 , 81.58561 , 3.387 ,  , 693 ,  , 15.9 , 0.77 , 
52 , 5BZQJ0017-0512 , QSO RLoud flat radio sp. , 4.39921 , -5.21156 , 0.227 ,  , 174 ,  , 17.6 , 0.8 , 1.4e-9
53 , 5BZBJ0017+1451 , BL Lac , 4.40375 , 14.85053 , 0.303 ,  , 59 ,  , 17.8 ,  , 
54 , 5BZQJ0017-2748 , QSO RLoud flat radio sp. , 4.49583 , -27.80586 , 1.169 ,  , 344 ,  , 19.3 ,  , 
55 , 5BZBJ0018+2947 , BL Lac , 4.61579 , 29.79189 , 0.1 ,  ?  , 33 ,  , 18.4 , 5.89 , 2e-10
56 , 5BZBJ0019-8152 , BL Lac , 4.83575 , -81.88092 ,  ,  , 83 ,  , 16.1 , 0.51 , 9e-10
57 , 5BZBJ0019+2021 , BL Lac , 4.90767 , 20.36272 ,  ,  , 983 ,  , 20.3 , 0.17 , 7e-10
58 , 5BZQJ0019+2602 , QSO RLoud flat radio sp. , 4.91575 , 26.04789 , 0.284 ,  , 683 ,  , 15.8 , 1.92 , 
59 , 5BZQJ0019-3031 , QSO RLoud flat radio sp. , 4.92783 , -30.522 , 2.677 ,  , 507 ,  , 19.3 ,  , 
60 , 5BZQJ0019+7327 , QSO RLoud flat radio sp. , 4.94071 , 73.45842 , 1.781 ,  , 1136 , 486 , 18.2 , 0.11 , 
61 , 5BZBJ0021-2550 , BL Lac , 5.38558 , -25.847 ,  ,  , 69 ,  , 17.5 , 0.18 , 9e-10
62 , 5BZBJ0021-0900 , BL Lac , 5.42604 , -9.01231 , 0.648 ,  , 45 ,  , 19.3 ,  , 
63 , 5BZBJ0022-5140 , BL Lac , 5.50033 , -51.67339 ,  ,  , 20 ,  , 15.9 , 3.22 , 4e-10
64 , 5BZGJ0022+0006 , BL Lac-galaxy dominated , 5.50396 , 0.11611 , 0.306 ,  , 2 ,  , 18.6 , 1.01 , 
65 , 5BZQJ0022+4525 , QSO RLoud flat radio sp. , 5.52758 , 45.42614 , 1.897 ,  , 345 ,  , 20.7 , 0.59 , 
66 , 5BZBJ0022-1853 , BL Lac , 5.53863 , -18.893 ,  ,  , 23 ,  , 18.6 , 0.69 , 9e-10
67 , 5BZBJ0022+0608 , BL Lac , 5.63517 , 6.13456 ,  ,  , 340 ,  , 18.5 , 0.25 , 2.2e-9
68 , 5BZUJ0023+4456 , Blazar Uncertain type , 5.89767 , 44.94328 , 2.023 ,  ?  , 140 ,  , 21.7 ,  , 7e-10
69 , 5BZBJ0024+1602 , BL Lac , 6.00529 , 16.04278 ,  ,  , 57 ,  , 18.9 ,  , 
70 , 5BZQJ0024+2439 , QSO RLoud flat radio sp. , 6.11387 , 24.65739 , 1.444 ,  , 150 ,  , 21.7 ,  , 
71 , 5BZQJ0024+0349 , QSO RLoud flat radio sp. , 6.18837 , 3.81769 , 0.545 ,  , 22 ,  , 19.6 ,  , 5e-10
72 , 5BZQJ0024-0412 , QSO RLoud flat radio sp. , 6.1915 , -4.20047 , 1.946 ,  , 260 ,  , 20.5 ,  , 
73 , 5BZQJ0025-2227 , QSO RLoud flat radio sp. , 6.35104 , -22.46322 , 0.834 ,  , 202 ,  , 18.7 ,  , 
74 , 5BZBJ0026-4601 , BL Lac Candidate , 6.64842 , -46.01936 ,  ,  , 38 ,  , 17.5 , 8.01 , 
75 , 5BZQJ0026-1112 , QSO RLoud flat radio sp. , 6.71429 , -11.21458 , 1.118 ,  , 169 ,  , 19.1 ,  , 
76 , 5BZQJ0027+2241 , QSO RLoud flat radio sp. , 6.81404 , 22.69953 , 1.119 ,  , 301 ,  , 16.4 , 0.5 , 
77 , 5BZGJ0027+2607 , BL Lac-galaxy dominated , 6.8625 , 26.11853 , 0.36 ,  , 56 ,  , 18.3 , 0.85 , 
78 , 5BZBJ0028+2408 , BL Lac Candidate , 7.14254 , 24.13567 , 0.373 ,  , 70 ,  , 18.8 ,  , 
79 , 5BZUJ0028+0035 , Blazar Uncertain type , 7.166 , 0.59481 , 0.687 ,  , 89 ,  , 19.6 ,  , 
80 , 5BZBJ0028-7045 , BL Lac , 7.17308 , -70.75439 ,  ,  , 94 ,  , 16.7 ,  , 7e-10
81 , 5BZQJ0029+0509 , QSO RLoud flat radio sp. , 7.26492 , 5.15967 , 1.633 ,  , 440 ,  , 18.5 , 0.07 , 
82 , 5BZQJ0029+0554 , QSO RLoud flat radio sp. , 7.44121 , 5.91136 , 1.314 ,  , 294 ,  , 18.9 , 0.32 , 
83 , 5BZBJ0030-0000 , BL Lac , 7.53283 , -0.002 ,  ,  , 51 ,  , 19.5 ,  , 
84 , 5BZQJ0030-4224 , QSO RLoud flat radio sp. , 7.57287 , -42.41289 , 0.495 ,  , 425 ,  , 18.2 , 0.46 , 1e-9
85 , 5BZQJ0031-3922 , QSO RLoud flat radio sp. , 7.85137 , -39.38039 , 1.298 ,  , 137 ,  , 19.8 ,  , 
86 , 5BZQJ0031-4108 , QSO RLoud flat radio sp. , 7.86687 , -41.13769 , 0.896 ,  , 353 ,  , 18.2 , 0.29 , 
87 , 5BZQJ0032-2649 , QSO RLoud flat radio sp. , 8.13754 , -26.82172 , 1.47 ,  , 135 ,  , 18.4 , 0.15 , 
88 , 5BZBJ0032-2849 , BL Lac , 8.13779 , -28.82231 , 0.324 ,  , 160 ,  , 16.2 , 0.17 , 
89 , 5BZBJ0033-1921 , BL Lac , 8.39317 , -19.35914 ,  ,  , 19 ,  , 16.3 , 8.43 , 3.1e-9
90 , 5BZQJ0034+2754 , QSO RLoud flat radio sp. , 8.68121 , 27.90714 , 2.964 ,  , 828 ,  , 18.4 ,  , 
91 , 5BZBJ0035+1515 , BL Lac , 8.81129 , 15.25117 ,  ,  , 18 ,  , 16.8 , 3.02 , 1.1e-9
92 , 5BZBJ0035+5950 , BL Lac , 8.96925 , 59.83453 ,  ,  , 147 ,  , 17.2 , 5.41 , 2.4e-9
93 , 5BZQJ0036-0932 , QSO RLoud flat radio sp. , 9.02896 , -9.54156 , 1.182 ,  , 108 ,  , 18.8 ,  , 
94 , 5BZQJ0037-2145 , QSO RLoud flat radio sp. , 9.31179 , -21.75686 , 2.513 ,  , 161 ,  , 19.6 ,  , 
95 , 5BZBJ0037+2141 , BL Lac Candidate , 9.34808 , 21.69814 , 0.598 ,  , 18 ,  , 20.9 ,  , 
96 , 5BZBJ0037+1238 , BL Lac , 9.462 , 12.63889 ,  ,  , 75 ,  , 16 , 0.33 , 1.1e-9
97 , 5BZBJ0038+0013 , BL Lac , 9.53537 , 0.22683 , 0.74 ,  ?  , 96 ,  , 19.3 ,  , 4e-10
98 , 5BZQJ0038-2459 , QSO RLoud flat radio sp. , 9.56137 , -24.98394 , 0.498 ,  , 413 , 508 , 19.1 , 1.37 , 8e-10
99 , 5BZQJ0038-0329 , QSO RLoud flat radio sp. , 9.58663 , -3.49967 , 1.858 ,  , 225 ,  , 17.2 , 0.51 , 
100 , 5BZQJ0038+4137 , QSO RLoud flat radio sp. , 9.6035 , 41.61842 , 1.353 ,  , 692 ,  , 20.3 , 0.34 , 
101 , 5BZQJ0038+1856 , QSO RLoud flat radio sp. , 9.62033 , 18.93825 , 1.193 ,  , 72 ,  , 19.5 ,  , 
102 , 5BZQJ0039-0942 , QSO RLoud flat radio sp. , 9.77617 , -9.713 , 2.102 ,  , 154 ,  , 20.7 ,  , 
103 , 5BZQJ0039-1111 , QSO RLoud flat radio sp. , 9.88158 , -11.184 , 0.552 ,  , 309 ,  , 19 , 0.59 , 
104 , 5BZBJ0039+1411 , BL Lac Candidate , 9.91504 , 14.19931 , 1.738 ,  ?  , 266 ,  , 19.8 ,  , 
105 , 5BZUJ0040+4050 , Blazar Uncertain type , 10.05754 , 40.83464 ,  ,  , 47 ,  , 19.9 , 1.05 , 
106 , 5BZBJ0040-2719 , BL Lac , 10.06837 , -27.31989 , 0.172 ,  , 160 ,  , 18 , 2.82 , 
107 , 5BZGJ0040-2340 , BL Lac-galaxy dominated , 10.10375 , -23.66683 , 0.213 ,  ?  , 53 ,  , 17.3 , 0.09 , 
108 , 5BZBJ0040-3225 , BL Lac , 10.12771 , -32.42225 ,  ,  , 111 ,  , 19.5 ,  , 
109 , 5BZQJ0040-0146 , QSO RLoud flat radio sp. , 10.24004 , -1.77553 , 1.178 ,  , 573 ,  , 18.3 , 0.36 , 
110 , 5BZQJ0042-4030 , QSO RLoud flat radio sp. , 10.505 , -40.51089 , 2.478 ,  , 190 ,  , 19.3 ,  , 
111 , 5BZQJ0042+2320 , QSO RLoud flat radio sp. , 10.51896 , 23.33369 , 1.426 ,  , 1269 ,  , 20.6 ,  , 8e-10
112 , 5BZBJ0042+3641 , BL Lac , 10.53375 , 36.68694 ,  ,  , 12 ,  , 18.5 , 1.52 , 
113 , 5BZQJ0042+1509 , QSO RLoud flat radio sp. , 10.55658 , 15.15428 , 1.159 ,  , 156 ,  , 20.7 , 0.36 , 
114 , 5BZQJ0042+1009 , QSO RLoud flat radio sp. , 10.68483 , 10.16375 , 1.657 ,  , 232 ,  , 22.1 ,  , 
115 , 5BZUJ0043-2639 , Blazar Uncertain type , 10.84467 , -26.65167 , 0.451 ,  , 78 ,  , 17.3 , 0.37 , 
116 , 5BZQJ0043+0025 , QSO RLoud flat radio sp. , 10.88629 , 0.41667 , 1.128 ,  , 123 ,  , 19.2 ,  , 
117 , 5BZQJ0043+3426 , QSO RLoud flat radio sp. , 10.95371 , 34.44053 , 0.966 ,  , 93 ,  , 19.9 ,  , 1.9e-9
118 , 5BZQJ0044-3752 , QSO RLoud flat radio sp. , 11.07104 , -37.88311 , 0.483 ,  , 19 ,  , 19.3 ,  , 
119 , 5BZQJ0044-8422 , QSO RLoud flat radio sp. , 11.11067 , -84.37778 , 1.032 ,  , 530 ,  , 17.8 ,  , 7e-10
120 , 5BZBJ0045+2127 , BL Lac , 11.33033 , 21.46114 ,  ,  , 49 ,  , 16.8 , 1.85 , 1.5e-9
121 , 5BZQJ0045-2243 , QSO RLoud flat radio sp. , 11.41496 , -22.73197 , 1.538 ,  , 156 ,  , 16.7 , 0.52 , 
122 , 5BZBJ0045+1217 , BL Lac , 11.43054 , 12.28661 ,  ,  , 104 ,  , 17.4 , 0.56 , 1e-9
123 , 5BZQJ0046+3900 , QSO RLoud flat radio sp. , 11.69812 , 39.01317 , 0.958 ,  , 195 ,  , 20.9 ,  , 
124 , 5BZBJ0047+5657 , BL Lac , 11.75179 , 56.96178 ,  ,  , 190 ,  , 18.9 ,  , 2e-9
125 , 5BZBJ0047+2017 , BL Lac Candidate , 11.79079 , 20.29153 ,  ,  , 100 ,  , 16.9 , 3.18 , 
126 , 5BZQJ0047+2435 , QSO RLoud flat radio sp. , 11.93279 , 24.58775 , 0.62 ,  , 268 ,  , 19.6 ,  , 
127 , 5BZQJ0047-8256 , QSO RLoud flat radio sp. , 11.96412 , -82.94706 , 1.112 ,  , 204 ,  , 16.8 ,  , 
128 , 5BZBJ0047+3948 , BL Lac , 11.98008 , 39.816 , 0.252 ,  , 92 ,  , 17.3 , 0.22 , 
129 , 5BZQJ0048+2235 , QSO RLoud flat radio sp. , 12.01087 , 22.59008 , 1.161 ,  , 84 ,  , 18.6 , 0.05 , 1.5e-9
130 , 5BZGJ0048+3157 , BL Lac-galaxy dominated , 12.19642 , 31.957 , 0.015 ,  , 292 ,  , 13.1 , 0.12 , 
131 , 5BZUJ0049-4457 , Blazar Uncertain type , 12.31917 , -44.95306 , 0.121 ,  , 206 ,  , 15.8 , 2.31 , 
132 , 5BZQJ0049-3116 , QSO RLoud flat radio sp. , 12.34537 , -31.27425 , 2.721 ,  , 161 ,  , 17.7 ,  , 
133 , 5BZQJ0049-2509 , QSO RLoud flat radio sp. , 12.39054 , -25.15944 , 1.472 ,  , 95 ,  , 21.5 , 0.05 , 
134 , 5BZQJ0049+5128 , QSO RLoud flat radio sp. , 12.40813 , 51.47056 , 0.87 ,  , 144 , 585 , 20.8 , 0.37 , 
135 , 5BZBJ0049+0237 , BL Lac , 12.43008 , 2.61775 ,  ,  , 425 ,  , 18.5 , 0.29 , 7e-10
136 , 5BZQJ0049-5738 , QSO RLoud flat radio sp. , 12.49796 , -57.64075 , 1.797 ,  , 2111 ,  , 16.5 , 0.47 , 5e-10
137 , 5BZQJ0050-0452 , QSO RLoud flat radio sp. , 12.58971 , -4.87231 , 0.922 ,  , 254 ,  , 19.3 ,  , 5e-10
138 , 5BZBJ0050-0929 , BL Lac , 12.67208 , -9.48469 ,  ,  , 814 , 333 , 15.8 , 2.33 , 3.9e-9
139 , 5BZQJ0051-0650 , QSO RLoud flat radio sp. , 12.78417 , -6.83386 , 1.975 ,  , 905 , 1073 , 19.5 , 0.27 , 1.2e-9
140 , 5BZQJ0051-4226 , QSO RLoud flat radio sp. , 12.7895 , -42.44244 , 1.749 ,  , 676 ,  , 19.5 , 0.23 , 
141 , 5BZBJ0051-6242 , BL Lac , 12.81937 , -62.70122 ,  ,  , 43 ,  , 16.7 , 2.89 , 1.4e-9
142 , 5BZQJ0052+4402 , QSO RLoud flat radio sp. , 13.11592 , 44.0485 , 2.624 ,  , 146 ,  , 18 ,  , 
143 , 5BZQJ0052-2825 , QSO RLoud flat radio sp. , 13.21892 , -28.43167 , 1.643 ,  , 224 ,  , 19 , 0.25 , 
144 , 5BZBJ0054-2455 , BL Lac , 13.69475 , -24.92472 ,  ,  , 24 ,  , 16.9 , 1.83 , 4e-10
145 , 5BZGJ0056-0936 , BL Lac-galaxy dominated , 14.08358 , -9.6085 , 0.103 ,  , 199 ,  , 15.2 , 4.2 , 
146 , 5BZBJ0056-2117 , BL Lac , 14.13446 , -21.28553 ,  ,  , 90 ,  , 16.7 , 0.46 , 5e-10
147 , 5BZBJ0056+1625 , BL Lac Candidate , 14.23025 , 16.42042 , 0.206 ,  , 125 ,  , 20.9 ,  , 
148 , 5BZQJ0057-0024 , QSO RLoud flat radio sp. , 14.32075 , -0.40906 , 2.747 ,  , 134 ,  , 19.1 ,  , 
149 , 5BZBJ0057-2212 , BL Lac , 14.33021 , -22.21031 ,  ,  , 98 ,  , 20.6 , 0.06 , 
150 , 5BZBJ0058-3234 , BL Lac , 14.50925 , -32.57239 ,  ,  , 186 ,  , 18.8 , 0.09 , 9e-10
151 , 5BZQJ0058-0539 , QSO RLoud flat radio sp. , 14.52113 , -5.66453 , 1.246 ,  , 742 ,  , 18.6 ,  , 
152 , 5BZBJ0058+1723 , BL Lac , 14.56992 , 17.38708 ,  ,  , 9 ,  , 19.1 , 3.88 , 
153 , 5BZUJ0058+3311 , Blazar Uncertain type , 14.63358 , 33.18817 , 1.369 ,  , 161 ,  , 20.9 ,  , 8e-10
154 , 5BZQJ0058+0620 , QSO RLoud flat radio sp. , 14.64083 , 6.33511 , 0.592 ,  , 90 ,  , 20.9 , 0.31 , 
155 , 5BZUJ0058-5659 , Blazar Uncertain type , 14.69408 , -56.98653 ,  ,  , 485 , 663 , 17.4 , 1.38 , 6e-10
156 , 5BZBJ0058-5219 , BL Lac , 14.73271 , -52.32447 ,  ,  , 86 ,  , 20.2 ,  , 
157 , 5BZQJ0059+0006 , QSO RLoud flat radio sp. , 14.77296 , 0.11436 , 0.719 ,  , 2510 ,  , 17.5 , 0.47 , 
158 , 5BZGJ0059-0150 , BL Lac-galaxy dominated , 14.8205 , -1.83825 , 0.114 ,  , 18 ,  , 17.1 , 1.01 , 2e-10
159 , 5BZQJ0100-3337 , QSO RLoud flat radio sp. , 15.03871 , -33.62561 , 0.874 ,  , 70 ,  , 19.4 , 0.07 , 
160 , 5BZUJ0100+0745 , Blazar Uncertain type , 15.08667 , 7.76428 ,  ,  , 99 ,  , 21.3 ,  , 2e-9
161 , 5BZQJ0100+3345 , QSO RLoud flat radio sp. , 15.15954 , 33.75172 , 2.144 ,  , 84 ,  , 19.7 ,  , 
162 , 5BZBJ0100-0055 , BL Lac , 15.24242 , -0.92983 ,  ,  , 33 ,  , 18.7 ,  , 
163 , 5BZQJ0102-8012 , QSO RLoud flat radio sp. , 15.56175 , -80.21094 , 1.169 ,  , 113 ,  , 19.8 , 0.17 , 
164 , 5BZQJ0102-7546 , QSO RLoud flat radio sp. , 15.5775 , -75.78083 , 1.017 ,  , 184 ,  , 17.8 , 0.28 , 
165 , 5BZQJ0102+4214 , QSO RLoud flat radio sp. , 15.613 , 42.23869 , 0.874 ,  , 43 ,  , 18.7 ,  , 8e-10
166 , 5BZUJ0102+5824 , Blazar Uncertain type , 15.69067 , 58.40308 , 0.644 ,  ?  , 849 , 1376 , 19 , 0.79 , 2.8e-9
167 , 5BZQJ0102-2646 , QSO RLoud flat radio sp. , 15.73475 , -26.77669 , 1.597 ,  , 291 ,  , 17.5 , 0.51 , 
168 , 5BZGJ0103+1526 , BL Lac-galaxy dominated , 15.85838 , 15.44022 , 0.246 ,  , 225 ,  , 17.2 ,  , 
169 , 5BZGJ0103+4322 , BL Lac-galaxy dominated , 15.87021 , 43.38331 ,  ,  , 40 ,  , 19.2 ,  , 
170 , 5BZUJ0103-6439 , Blazar Uncertain type , 15.8905 , -64.65211 , 0.163 ,  , 153 ,  , 14.9 , 1.92 , 
171 , 5BZQJ0104-2416 , QSO RLoud flat radio sp. , 16.2425 , -24.27456 , 1.747 ,  , 235 , 617 , 19.9 ,  , 8e-10
172 , 5BZBJ0105+3928 , BL Lac , 16.28875 , 39.47092 , 0.44 ,  ?  , 91 ,  , 18.2 ,  , 6e-10
173 , 5BZUJ0106+3402 , Blazar Uncertain type , 16.50121 , 34.03417 , 0.579 ,  , 348 ,  , 24.1 ,  , 
174 , 5BZGJ0106+2539 , BL Lac-galaxy dominated , 16.54571 , 25.65847 , 0.199 ,  , 130 ,  , 17.4 ,  , 
175 , 5BZQJ0106-0155 , QSO RLoud flat radio sp. , 16.59579 , -1.92733 , 2.194 ,  , 603 ,  , 19.2 ,  , 
176 , 5BZQJ0106-2718 , QSO RLoud flat radio sp. , 16.60867 , -27.30328 , 2.486 ,  , 455 ,  , 18.6 ,  , 
177 , 5BZQJ0106-1034 , QSO RLoud flat radio sp. , 16.68396 , -10.56953 , 0.469 ,  , 276 ,  , 18.1 , 0.85 , 
178 , 5BZQJ0106-4034 , QSO RLoud flat radio sp. , 16.68796 , -40.57222 , 0.584 ,  , 662 , 625 , 18.9 , 0.54 , 
179 , 5BZQJ0107+2611 , QSO RLoud flat radio sp. , 16.9495 , 26.18572 , 0.522 ,  , 190 ,  , 21.3 ,  , 
180 , 5BZQJ0108-0037 , QSO RLoud flat radio sp. , 17.11183 , -0.62339 , 1.374 ,  , 933 ,  , 17.3 ,  , 
181 , 5BZQJ0108+0135 , QSO RLoud flat radio sp. , 17.16154 , 1.58342 , 2.099 ,  , 2621 , 1634 , 18.1 , 0.22 , 6.4e-9
182 , 5BZBJ0109+1816 , BL Lac , 17.28408 , 18.26875 ,  ,  , 90 ,  , 16.9 , 4.51 , 5e-10
183 , 5BZQJ0109+6133 , QSO RLoud flat radio sp. , 17.44308 , 61.55847 , 0.783 ,  , 305 , 664 , 19.4 , 0.33 , 5e-10
184 , 5BZGJ0110+4149 , BL Lac-galaxy dominated , 17.51996 , 41.83081 , 0.096 ,  , 85 ,  , 15.7 , 1.17 , 
185 , 5BZBJ0110-0047 , BL Lac , 17.55275 , -0.79633 , 0.548 ,  , 29 ,  , 19.8 ,  , 
186 , 5BZUJ0110+6805 , Blazar Uncertain type , 17.55362 , 68.09478 ,  ,  , 1715 ,  , 16.5 , 0.28 , 1.9e-9
187 , 5BZBJ0110-0415 , BL Lac , 17.62875 , -4.25861 ,  ,  , 164 ,  , 18.2 , 0.48 , 
188 , 5BZQJ0110-1648 , QSO RLoud flat radio sp. , 17.64796 , -16.80769 , 0.78 ,  , 106 ,  , 15.8 , 1.87 , 
189 , 5BZBJ0110-1255 , BL Lac , 17.70825 , -12.91764 , 0.234 ,  ?  , 17 ,  , 16.7 , 7.78 , 
190 , 5BZQJ0110-0741 , QSO RLoud flat radio sp. , 17.70842 , -7.69475 , 1.779 ,  , 846 ,  , 18.9 ,  , 
