SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
  44    9.74    0.00       1    9.99    0.00       1   10.14    0.00       1   10.25    0.00       1   10.39    0.00       1
  45    9.59    0.00       1    9.77    0.00       1    9.90    0.00       1   10.00    0.00       1   10.11    0.00       1
  46    9.90    0.00       1   10.15    0.00       1   10.29    0.00       1   10.40    0.00       1   10.52    0.00       1
  47   10.26    0.00       1   10.54    0.00       1   10.68    0.00       1   10.80    0.00       1   10.91    0.00       1
  48   10.19    0.17    1012   10.41    0.17    1012   10.53    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
  49    5.51    1.22    1002    5.25    0.68    1002    4.89    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
  50    9.87    0.00       1   10.16    0.00       1   10.34    0.00       1   10.46    0.00       1   10.59    0.00       1
  51    9.25    0.00       1    9.44    0.00       1    9.55    0.00       1    9.64    0.00       1    9.75    0.01       1
  52   10.50    0.00       1   10.81    0.00       1   10.97    0.00       1   11.08    0.00       1   11.21    0.00       1
  53    9.62    0.00       1    9.88    0.00       1   10.03    0.00       1   10.14    0.00       1   10.28    0.00       1
  54    9.73    0.17    1002    9.87    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  55    9.37    0.00       1    9.65    0.00       1    9.79    0.00       1    9.89    0.00       1   10.01    0.00       1
  56   10.22    0.00       1   10.57    0.00       1   10.69    0.00       1   10.78    0.00       1   10.89    0.00       1
  57    9.91    0.00       1   10.15    0.00       1   10.27    0.00       1   10.37    0.00       1   10.48    0.00       1
  58   10.32    0.00       1   10.57    0.00       1   10.71    0.00       1   10.82    0.00       1   10.93    0.00       1
  59    5.09    1.22    1002    4.79    0.68    1002    4.51    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
  60    9.93    0.00       1   10.13    0.00       1   10.26    0.00       1   10.36    0.00       1   10.45    0.00       1
  61    9.42    0.00       1    9.62    0.00       1    9.73    0.00       1    9.84    0.00       1    9.93    0.00       1
  62    9.83    0.00       1   10.12    0.00       1   10.22    0.00       1   10.37    0.00       1   10.49    0.00       1
  63    7.98    0.17    1012    8.02    0.17    1012    7.83    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
  64    6.99    1.22    1002    6.87    0.68    1002    7.07    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
  65    9.70    0.00       1    9.85    0.00       1    9.97    0.00       1   10.07    0.00       1   10.20    0.00       1
  66    9.55    0.00       1    9.73    0.00       1    9.83    0.00       1    9.92    0.00       1   10.02    0.00       1
  67    9.85    0.00       1   10.08    0.00       1   10.20    0.00       1   10.31    0.00       1   10.41    0.00       1
  68    9.94    0.00       1   10.20    0.00       1   10.32    0.00       1   10.42    0.00       1   10.53    0.00       1
  69    9.69    0.00       1    9.92    0.00       1   10.04    0.00       1   10.15    0.00       1   10.25    0.00       1
  70    9.67    0.00       1    9.97    0.00       1   10.19    0.00       1   10.35    0.00       1   10.48    0.00       1
  71    9.67    0.00       1    9.89    0.00       1   10.01    0.00       1   10.11    0.00       1   10.23    0.00       1
  72    9.59    0.00       1    9.84    0.00       1    9.96    0.00       1   10.06    0.00       1   10.18    0.00       1
  73    9.10    0.00       1    9.25    0.00       1    9.34    0.00       1    9.42    0.00       1    9.52    0.01       1
  74    9.57    0.00       1    9.77    0.00       1    9.90    0.00       1   10.00    0.00       1   10.11    0.00       1
  75    9.65    0.00       1    9.90    0.00       1   10.02    0.00       1   10.12    0.00       1   10.24    0.00       1
  76   10.03    0.00       1   10.30    0.00       1   10.44    0.00       1   10.55    0.00       1   10.66    0.00       1
  77    9.36    0.00       1    9.64    0.00       1    9.74    0.00       1    9.81    0.00       1    9.90    0.01       1
  78    9.11    0.00       1    9.27    0.00       1    9.38    0.00       1    9.48    0.00       1    9.59    0.01       1
  79    9.59    0.00       1    9.66    0.00       1    9.77    0.00       1    9.88    0.00       1   10.02    0.00       1
  80    9.18    0.00       1    9.35    0.00       1    9.45    0.00       1    9.54    0.00       1    9.65    0.00       1
  81    9.62    0.00       1    9.80    0.00       1    9.91    0.00       1   10.01    0.00       1   10.14    0.00       1
  82    9.51    0.00       1    9.84    0.00       1    9.95    0.00       1   10.07    0.00       1   10.18    0.00       1
  83    9.99    0.00       1   10.25    0.00       1   10.39    0.00       1   10.50    0.00       1   10.61    0.00       1
  84   10.29    0.00       1   10.55    0.00       1   10.70    0.00       1   10.82    0.00       1   10.96    0.00       1
  85    9.58    0.00       1    9.83    0.00       1    9.97    0.00       1   10.07    0.00       1   10.20    0.00       1
  86    9.15    0.00       1    9.30    0.00       1    9.40    0.00       1    9.49    0.00       1    9.60    0.01       1
  87    9.37    0.00       1    9.53    0.00       1    9.59    0.00       1    9.66    0.00       1    9.77    0.00       1
  88   10.02    0.17    1002   10.20    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  89    9.21    0.00       1    9.43    0.00       1    9.55    0.00       1    9.66    0.00       1    9.77    0.00       1
  90    9.60    0.00       1    9.82    0.00       1   10.01    0.00       1   10.09    0.00       1   10.20    0.00       1
  91   10.54    0.17    1012   10.79    0.17    1012   10.89    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
  92   10.25    0.17    1002   10.45    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  93    9.32    0.00       1    9.48    0.00       1    9.59    0.00       1    9.67    0.00       1    9.78    0.01       1
