SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
 407    7.51    0.17    1002    7.44    0.17    1002    7.32    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 408   10.03    0.17    1012   10.24    0.17    1012   10.37    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 409   10.62    0.17    1012   10.88    0.17    1012   11.01    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 410    9.09    0.01       2    9.22    0.02       2    9.30    0.02       2    9.40    0.02       2   -9.99   -9.99       0
 411    9.44    0.01       2    9.54    0.01       2    9.64    0.01       2    9.74    0.01       2   -9.99   -9.99       0
 412    8.69    0.05       2    8.75    0.06       2    8.79    0.02       2    8.89    0.03       2   -9.99   -9.99       0
 413    8.78    0.07       2    8.77    0.02       2    8.82    0.02       2    8.90    0.02       2   -9.99   -9.99       0
 414    8.81    0.02       2    8.94    0.01       2    8.95    0.02       2    9.02    0.02       2   -9.99   -9.99       0
 415    9.53    0.01       2    9.64    0.01       2    9.73    0.01       2    9.83    0.01       2   -9.99   -9.99       0
 416    9.01    0.03       2    8.95    0.01       2    8.95    0.02       2    9.00    0.02       2   -9.99   -9.99       0
 417    8.30    0.03       2    8.41    0.04       2    8.48    0.02       2    8.57    0.03       2   -9.99   -9.99       0
 418    8.90    0.02       2    9.01    0.02       2    9.09    0.02       2    9.18    0.02       2   -9.99   -9.99       0
 419    8.48    0.04       2    8.50    0.02       2    8.59    0.06       2    8.63    0.03       2   -9.99   -9.99       0
 420    8.71    0.02       2    8.80    0.03       2    8.87    0.02       2    8.95    0.02       2   -9.99   -9.99       0
 421    8.50    0.03       2    8.57    0.02       2    8.57    0.03       2    8.63    0.03       2   -9.99   -9.99       0
 422    8.88    0.01       2    8.98    0.02       2    9.05    0.02       2    9.14    0.02       2   -9.99   -9.99       0
 423    8.74    0.02       2    8.73    0.03       2    8.78    0.02       2    8.86    0.02       2   -9.99   -9.99       0
 424    9.26    0.02       2    9.38    0.02       2    9.47    0.01       2    9.55    0.02       2   -9.99   -9.99       0
 425    9.08    0.01       2    9.23    0.02       2    9.35    0.02       2    9.46    0.01       2   -9.99   -9.99       0
 426    9.25    0.02       2    9.43    0.01       2    9.55    0.02       2    9.66    0.02       2   -9.99   -9.99       0
 427    9.28    0.01       2    9.40    0.01       2    9.49    0.01       2    9.59    0.01       2   -9.99   -9.99       0
 428    8.48    0.06       2    8.55    0.05       2    8.59    0.02       2    8.68    0.03       2   -9.99   -9.99       0
 429    8.75    0.01       2    8.91    0.02       2    9.09    0.02       2    9.20    0.03       2   -9.99   -9.99       0
 430    8.84    0.01       2    9.10    0.02       2    9.23    0.02       2    9.35    0.02       2   -9.99   -9.99       0
 431    8.24    0.08       2    8.37    0.04       2    8.51    0.04       2    8.60    0.04       2   -9.99   -9.99       0
 432    8.50    0.02       2    8.60    0.01       2    8.68    0.02       2    8.78    0.04       2   -9.99   -9.99       0
 433    9.30    0.02       2    9.52    0.02       2    9.66    0.02       2    9.79    0.01       2   -9.99   -9.99       0
 434    9.01    0.02       2    9.18    0.02       2    9.31    0.02       2    9.43    0.02       2   -9.99   -9.99       0
 435    8.74    0.02       2    8.90    0.02       2    9.00    0.01       2    9.07    0.01       2   -9.99   -9.99       0
 436    9.21    0.01       2    9.29    0.02       2    9.40    0.02       2    9.51    0.02       2   -9.99   -9.99       0
 437    9.00    0.01       2    9.09    0.01       2    9.19    0.01       2    9.30    0.02       2   -9.99   -9.99       0
 438    8.60    0.06       2    8.67    0.03       2    8.71    0.02       2    8.80    0.11       2   -9.99   -9.99       0
 439    8.98    0.02       2    9.06    0.02       2    9.12    0.01       2    9.22    0.02       2   -9.99   -9.99       0
 440    9.36    0.02       2    9.50    0.02       2    9.60    0.01       2    9.69    0.01       2   -9.99   -9.99       0
 441    8.85    0.02       2    8.96    0.02       2    9.06    0.01       2    9.14    0.03       2   -9.99   -9.99       0
 442    9.20    0.01       2    9.31    0.01       2    9.39    0.02       2    9.50    0.02       2   -9.99   -9.99       0
 443    8.52    0.04       2    8.57    0.04       2    8.62    0.04       2    8.70    0.04       2   -9.99   -9.99       0
 444    8.67    0.02       2    8.73    0.04       2    8.76    0.04       2    8.79    0.03       2   -9.99   -9.99       0
 445    9.16    0.02       2    9.22    0.02       2    9.30    0.02       2    9.40    0.02       2   -9.99   -9.99       0
 446    8.54    0.05       2    8.58    0.03       2    8.66    0.03       2    8.72    0.02       2   -9.99   -9.99       0
 447    9.35    0.01       2    9.32    0.02       2    9.35    0.01       2    9.44    0.01       2   -9.99   -9.99       0
 448    9.07    0.01       2    9.13    0.02       2    9.20    0.02       2    9.29    0.02       2   -9.99   -9.99       0
 449    9.36    0.01       2    9.46    0.01       2    9.57    0.01       2    9.66    0.01       2   -9.99   -9.99       0
 450    9.47    0.01       2    9.63    0.01       2    9.73    0.02       2    9.83    0.02       2   -9.99   -9.99       0
 451    8.75    0.02       2    8.80    0.05       2    8.88    0.04       2    8.96    0.06       2   -9.99   -9.99       0
 452    8.78    0.02       2    8.85    0.03       2    8.91    0.01       2    8.98    0.02       2   -9.99   -9.99       0
 453    9.28    0.01       2    9.43    0.01       2    9.52    0.01       2    9.63    0.01       2   -9.99   -9.99       0
 454    8.68    0.04       2    8.77    0.01       2    8.84    0.04       2    8.91    0.04       2   -9.99   -9.99       0
 455    9.40    0.01       2    9.15    0.02       2    9.01    0.02       2    9.02    0.02       2   -9.99   -9.99       0
 456    9.81    0.00       1   10.03    0.00       1   10.12    0.00       1   10.21    0.00       1   10.29    0.00       1
 457    9.32    0.00       1    9.56    0.00       1    9.68    0.00       1    9.79    0.00       1    9.90    0.00       1
 458   10.25    0.00       1   10.51    0.00       1   10.64    0.00       1   10.73    0.00       1   10.86    0.00       1
 459    4.76    1.22    1002    4.43    0.68    1002    4.55    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 460   10.22    0.17    1012   10.45    0.17    1012   10.62    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 461    9.37    0.00       1    9.52    0.00       1    9.61    0.00       1    9.70    0.00       1    9.77    0.00       1
 462    9.59    0.00       1    9.82    0.00       1    9.97    0.00       1   10.09    0.00       1   10.20    0.00       1
 463    9.95    0.00       1   10.19    0.00       1   10.32    0.00       1   10.43    0.00       1   10.53    0.00       1
 464    9.93    0.00       1   10.16    0.00       1   10.29    0.00       1   10.40    0.00       1   10.51    0.00       1
 465    9.40    0.00       1    9.66    0.00       1    9.78    0.00       1    9.35    0.00       1    9.99    0.00       1
 466    9.54    0.00       1    9.74    0.00       1    9.86    0.00       1    9.96    0.00       1   10.06    0.00       1
 467   10.10    0.00       1   10.36    0.00       1   10.49    0.00       1   10.61    0.00       1   10.73    0.00       1
 468    9.80    0.00       1    9.69    0.00       1    9.70    0.00       1    9.74    0.00       1    9.82    0.01       1
 469    9.16    0.00       1    9.39    0.00       1    9.49    0.00       1    9.58    0.00       1    9.67    0.01       1
 470    9.95    0.00       1   10.20    0.00       1   10.33    0.00       1   10.43    0.00       1   10.57    0.00       1
 471   10.08    0.00       1   10.33    0.00       1   10.46    0.00       1   10.57    0.00       1   10.70    0.00       1
 472   10.42    0.00       1   10.71    0.00       1   10.84    0.00       1   10.96    0.00       1   11.08    0.00       1
 473    9.26    0.00       1    9.48    0.00       1    9.60    0.00       1    9.69    0.00       1    9.82    0.00       1
 474    9.69    0.00       1    9.93    0.00       1   10.07    0.00       1   10.16    0.00       1   10.27    0.00       1
 475    9.22    0.00       1    9.44    0.00       1    9.54    0.00       1    9.63    0.00       1    9.74    0.00       1
 476    9.89    0.00       1   10.13    0.00       1   10.27    0.00       1   10.40    0.00       1   10.50    0.00       1
 477    9.55    0.00       1    9.78    0.00       1    9.89    0.00       1   10.00    0.00       1   10.11    0.00       1
 478   10.09    0.00       1   10.26    0.00       1   10.38    0.00       1   10.47    0.00       1   10.57    0.00       1
 479   10.00    0.00       1   10.25    0.00       1   10.37    0.00       1   10.50    0.00       1   10.69    0.00       1
 480    9.39    0.00       1    9.55    0.00       1    9.68    0.00       1    9.77    0.00       1    9.89    0.00       1
 481    9.53    0.00       1    9.72    0.00       1    9.84    0.00       1    9.96    0.00       1   10.06    0.00       1
 482    3.44    1.22    1002    2.99    0.68    1002    3.17    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 483    9.41    0.00       1    9.63    0.00       1    9.72    0.00       1    9.82    0.00       1    9.92    0.00       1
 484    9.94    0.17    1002   10.11    0.17    1002   10.21    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 485    9.35    0.00       1    9.57    0.00       1    9.69    0.00       1    9.80    0.00       1    9.78    0.00       1
 486    9.57    0.17    1002    9.70    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 487    9.39    0.17    1002    9.50    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 488    9.49    0.00       1    9.75    0.00       1    9.88    0.00       1    9.99    0.00       1   10.11    0.00       1
 489    9.95    0.00       1    9.95    0.00       1   10.01    0.00       1   10.10    0.00       1   10.21    0.00       1
 490   10.23    0.17    1012   10.46    0.17    1012   10.57    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 491    9.75    0.00       1   10.00    0.00       1   10.12    0.00       1   10.23    0.00       1   10.32    0.00       1
 492    6.17    1.22    1002    5.97    0.68    1002    6.10    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 493    9.58    0.00       1    9.76    0.00       1    9.88    0.00       1    9.99    0.00       1   10.09    0.00       1
 494    9.27    0.00       1    9.50    0.00       1    9.61    0.00       1    9.71    0.00       1    9.82    0.00       1
 495    9.96    0.00       1   10.21    0.00       1   10.33    0.00       1   10.45    0.00       1   10.55    0.00       1
 496    9.68    0.00       1    9.90    0.00       1   10.01    0.00       1   10.13    0.00       1   10.22    0.00       1
 497    7.06    0.17    1002    6.95    0.68    1002    6.78    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 498    9.73    0.00       1   10.03    0.00       1   10.19    0.00       1   10.32    0.00       1   10.43    0.00       1
 499   10.01    0.17    1012   10.21    0.17    1012   10.35    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 500    9.78    0.00       1   10.00    0.00       1   10.11    0.00       1   10.22    0.00       1   10.31    0.00       1
 501    9.29    0.00       1    9.48    0.00       1    9.58    0.00       1    9.70    0.00       1    9.78    0.00       1
 502    9.71    0.00       1    9.70    0.00       1    9.77    0.00       1    9.28    0.00       1    9.92    0.00       1
 503    9.37    0.00       1    9.54    0.00       1    9.65    0.00       1    9.73    0.00       1    9.82    0.00       1
 504   10.57    0.17    1002   10.79    0.17    1002   10.89    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 505    9.32    0.00       1    9.36    0.00       1    9.36    0.00       1    9.42    0.00       1    9.48    0.00       1
 506    9.42    0.00       1    9.58    0.00       1    9.68    0.00       1    9.81    0.00       1    9.90    0.00       1
 507    9.77    0.00       1    9.64    0.00       1    9.67    0.00       1    9.69    0.00       1    9.77    0.00       1
 508    9.21    0.00       1    9.35    0.00       1    9.44    0.00       1    9.54    0.00       1    9.65    0.00       1
 509    3.77    1.22    1002    3.35    0.68    1002    3.64    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 510    8.50    0.17    1012    8.58    0.17    1012    8.39    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 511    9.56    0.00       1    9.65    0.00       1    9.67    0.00       1    9.71    0.00       1    9.81    0.00       1
 512    9.62    0.00       1    9.76    0.00       1    9.83    0.00       1    9.92    0.00       1   10.01    0.00       1
 513    4.35    1.22    1002    3.98    0.68    1002    4.14    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 514   10.13    0.00       1   10.34    0.00       1   10.47    0.00       1   10.60    0.00       1   10.68    0.00       1
 515    9.67    0.00       1    9.98    0.00       1   10.10    0.00       1   10.20    0.00       1   10.28    0.00       1
 516    9.90    0.00       1   10.15    0.00       1   10.30    0.00       1   10.43    0.00       1   10.53    0.00       1
 517    9.87    0.00       1   10.17    0.00       1   10.36    0.00       1   10.49    0.00       1   10.57    0.00       1
 518    9.90    0.00       1   10.16    0.00       1   10.32    0.00       1   10.41    0.00       1   10.54    0.00       1
 519    9.49    0.00       1    9.67    0.00       1    9.76    0.00       1    9.85    0.00       1    9.94    0.00       1
 520    5.90    1.22    1002    5.68    0.68    1002    5.50    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 521   -9.99   -9.99       0   -9.99   -9.99       0    6.55    0.50    1034    6.63    0.56    1004    6.65    0.60    1004
 522   -9.99   -9.99       0   -9.99   -9.99       0    6.30    0.50    1034    6.31    0.56    1004    6.32    0.60    1004
 523   -9.99   -9.99       0   -9.99   -9.99       0   10.23    0.17    1034   10.38    0.19    1004   10.52    0.21    1004
 524   -9.99   -9.99       0   -9.99   -9.99       0    6.48    0.50    1034    6.47    0.56    1004    6.49    0.60    1004
 525   -9.99   -9.99       0   -9.99   -9.99       0    9.37    0.17    1034    9.50    0.19    1004    9.61    0.21    1004
 526   -9.99   -9.99       0   -9.99   -9.99       0    6.59    0.50    1034    6.61    0.56    1004    6.63    0.60    1004
 527   -9.99   -9.99       0   -9.99   -9.99       0    6.57    0.50    1034    6.65    0.56    1004    6.67    0.60    1004
 528   -9.99   -9.99       0   -9.99   -9.99       0    5.90    0.50    1034    5.92    0.56    1004    5.92    0.60    1004
 529   -9.99   -9.99       0   -9.99   -9.99       0    6.13    0.50    1034    6.19    0.56    1004    6.20    0.60    1004
 530   -9.99   -9.99       0   -9.99   -9.99       0    6.49    0.50    1034    6.51    0.56    1004    6.52    0.60    1004
 531   -9.99   -9.99       0   -9.99   -9.99       0    6.30    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 532   -9.99   -9.99       0   -9.99   -9.99       0    9.24    0.17    1034    9.36    0.19    1004    9.47    0.21    1004
 533   -9.99   -9.99       0   -9.99   -9.99       0    6.27    0.50    1034    6.35    0.56    1004    6.36    0.60    1004
 534   -9.99   -9.99       0   -9.99   -9.99       0    6.67    0.50    1034    6.73    0.56    1004    6.76    0.60    1004
 535   -9.99   -9.99       0   -9.99   -9.99       0    7.74    0.17    1034    7.80    0.19    1004    7.86    0.21    1004
 536   -9.99   -9.99       0   -9.99   -9.99       0    6.52    0.50    1034    6.55    0.56    1004    6.57    0.60    1004
 537   -9.99   -9.99       0   -9.99   -9.99       0    6.48    0.50    1034    6.50    0.56    1004    6.51    0.60    1004
 538   -9.99   -9.99       0   -9.99   -9.99       0    6.53    0.50    1034    6.57    0.56    1004    6.59    0.60    1004
 539   -9.99   -9.99       0   -9.99   -9.99       0    8.05    0.17    1034    8.14    0.19    1004    8.21    0.21    1004
 540   -9.99   -9.99       0   -9.99   -9.99       0    6.47    0.50    1034    6.53    0.56    1004    6.54    0.60    1004
 541   -9.99   -9.99       0   -9.99   -9.99       0    5.86    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 542   -9.99   -9.99       0   -9.99   -9.99       0    9.72    0.17    1034    9.85    0.19    1004    9.98    0.21    1004
 543   -9.99   -9.99       0   -9.99   -9.99       0    6.48    0.50    1034    6.54    0.56    1004    6.56    0.60    1004
 544   -9.99   -9.99       0   -9.99   -9.99       0    6.34    0.50    1034    6.39    0.56    1004    6.40    0.60    1004
 545   -9.99   -9.99       0   -9.99   -9.99       0    7.42    0.17    1034    7.50    0.19    1004    7.55    0.21    1004
 546   -9.99   -9.99       0   -9.99   -9.99       0    9.60    0.17    1034    9.75    0.19    1004    9.87    0.21    1004
 547   -9.99   -9.99       0   -9.99   -9.99       0    6.85    0.50    1034    6.91    0.56    1004    6.94    0.60    1004
 548   -9.99   -9.99       0   -9.99   -9.99       0    6.73    0.50    1034    6.78    0.56    1004    6.81    0.60    1004
 549   -9.99   -9.99       0   -9.99   -9.99       0    6.78    0.50    1034    6.83    0.56    1004    6.85    0.60    1004
 550   -9.99   -9.99       0   -9.99   -9.99       0    6.56    0.50    1034    6.61    0.56    1004    6.63    0.60    1004
 551   -9.99   -9.99       0   -9.99   -9.99       0    7.43    0.17    1034    7.46    0.19    1004    7.51    0.21    1004
 552   -9.99   -9.99       0   -9.99   -9.99       0    6.29    0.50    1034    6.33    0.56    1004    6.34    0.60    1004
 553   -9.99   -9.99       0   -9.99   -9.99       0    6.49    0.50    1034    6.55    0.56    1004    6.56    0.60    1004
 554   -9.99   -9.99       0   -9.99   -9.99       0    7.19    0.17    1034    7.29    0.19    1004    7.33    0.21    1004
 555   -9.99   -9.99       0   -9.99   -9.99       0    6.24    0.50    1034    6.24    0.56    1004    6.25    0.60    1004
 556   -9.99   -9.99       0   -9.99   -9.99       0    8.86    0.17    1034    8.98    0.19    1004    9.07    0.21    1004
 557   -9.99   -9.99       0   -9.99   -9.99       0    5.90    0.50    1034    5.90    0.56    1004    5.90    0.60    1004
 558   -9.99   -9.99       0   -9.99   -9.99       0   10.42    0.17    1034   10.50    0.19    1004   10.64    0.21    1004
 559   -9.99   -9.99       0   -9.99   -9.99       0    6.65    0.50    1034    6.69    0.56    1004    6.72    0.60    1004
 560   -9.99   -9.99       0   -9.99   -9.99       0    7.24    0.17    1034    7.33    0.19    1004    7.37    0.21    1004
 561   -9.99   -9.99       0   -9.99   -9.99       0    6.39    0.50    1034    6.44    0.56    1004    6.45    0.60    1004
 562   -9.99   -9.99       0   -9.99   -9.99       0    6.39    0.50    1034    6.39    0.56    1004    6.40    0.60    1004
 563   -9.99   -9.99       0   -9.99   -9.99       0    6.89    0.50    1034    6.91    0.56    1004    6.94    0.60    1004
 564   -9.99   -9.99       0   -9.99   -9.99       0    6.47    0.50    1034    6.55    0.56    1004    6.57    0.60    1004
 565   -9.99   -9.99       0   -9.99   -9.99       0    6.09    0.50    1034    6.13    0.56    1004    6.13    0.60    1004
 566   -9.99   -9.99       0   -9.99   -9.99       0    7.27    0.17    1034    7.34    0.19    1004    7.39    0.21    1004
 567   -9.99   -9.99       0   -9.99   -9.99       0    6.42    0.50    1034    6.45    0.56    1004    6.47    0.60    1004
 568   -9.99   -9.99       0   -9.99   -9.99       0    6.04    0.50    1034    6.06    0.56    1004    6.06    0.60    1004
 569   -9.99   -9.99       0   -9.99   -9.99       0    7.78    0.17    1034    7.86    0.19    1004    7.93    0.21    1004
 570   -9.99   -9.99       0   -9.99   -9.99       0    7.23    0.17    1034    7.32    0.19    1004    7.36    0.21    1004
 571   -9.99   -9.99       0   -9.99   -9.99       0    6.51    0.50    1034    6.54    0.56    1004    6.56    0.60    1004
 572   -9.99   -9.99       0   -9.99   -9.99       0    9.71    0.17    1034    9.84    0.19    1004    9.97    0.21    1004
 573   -9.99   -9.99       0   -9.99   -9.99       0    7.45    0.17    1034    7.50    0.19    1004    7.55    0.21    1004
 574   -9.99   -9.99       0   -9.99   -9.99       0    6.87    0.50    1034    6.95    0.56    1004    6.98    0.60    1004
 575   -9.99   -9.99       0   -9.99   -9.99       0   10.71    0.17    1034   10.74    0.19    1004   10.89    0.21    1004
 576   -9.99   -9.99       0   -9.99   -9.99       0    8.54    0.17    1034    8.61    0.19    1004    8.70    0.21    1004
 577   -9.99   -9.99       0   -9.99   -9.99       0    7.69    0.17    1034    7.77    0.19    1004    7.83    0.21    1004
 578   -9.99   -9.99       0   -9.99   -9.99       0    7.36    0.17    1034    7.36    0.19    1004    7.41    0.21    1004
 579   -9.99   -9.99       0   -9.99   -9.99       0    7.17    0.17    1034    7.18    0.19    1004    7.22    0.21    1004
 580   -9.99   -9.99       0   -9.99   -9.99       0    6.71    0.50    1034    6.76    0.56    1004    6.79    0.60    1004
 581   -9.99   -9.99       0   -9.99   -9.99       0    7.17    0.17    1034    7.21    0.19    1004    7.25    0.21    1004
 582   -9.99   -9.99       0   -9.99   -9.99       0    9.65    0.17    1034    9.77    0.19    1004    9.89    0.21    1004
 583   -9.99   -9.99       0   -9.99   -9.99       0    6.99    0.50    1034    7.04    0.19    1004    7.08    0.21    1004
 584   -9.99   -9.99       0   -9.99   -9.99       0    7.22    0.17    1034    7.34    0.19    1004    7.38    0.21    1004
 585   -9.99   -9.99       0   -9.99   -9.99       0    6.58    0.50    1034    6.65    0.56    1004    6.67    0.60    1004
 586   -9.99   -9.99       0   -9.99   -9.99       0    7.85    0.17    1034    7.95    0.19    1004    8.01    0.21    1004
 587   -9.99   -9.99       0   -9.99   -9.99       0    7.73    0.17    1034    7.83    0.19    1004    7.89    0.21    1004
 588   -9.99   -9.99       0   -9.99   -9.99       0    6.58    0.50    1034    6.61    0.56    1004    6.63    0.60    1004
 589   -9.99   -9.99       0   -9.99   -9.99       0   11.02    0.17    1034   11.18    0.19    1004   11.35    0.21    1004
 590   -9.99   -9.99       0   -9.99   -9.99       0    6.89    0.50    1034    6.99    0.56    1004    7.02    0.21    1004
 591   -9.99   -9.99       0   -9.99   -9.99       0    6.58    0.50    1034    6.65    0.56    1004    6.67    0.60    1004
 592   -9.99   -9.99       0   -9.99   -9.99       0    8.08    0.17    1034    8.14    0.19    1004    8.21    0.21    1004
 593   -9.99   -9.99       0   -9.99   -9.99       0    8.74    0.17    1034    8.84    0.19    1004    8.94    0.21    1004
 594   -9.99   -9.99       0   -9.99   -9.99       0    6.31    0.50    1034    6.39    0.56    1004    6.40    0.60    1004
 595   -9.99   -9.99       0   -9.99   -9.99       0    7.95    0.17    1034    8.06    0.19    1004    8.13    0.21    1004
 596   -9.99   -9.99       0   -9.99   -9.99       0    7.80    0.17    1034    7.88    0.19    1004    7.94    0.21    1004
 597   -9.99   -9.99       0   -9.99   -9.99       0    6.31    0.50    1034    6.31    0.56    1004    6.32    0.60    1004
 598   -9.99   -9.99       0   -9.99   -9.99       0    8.18    0.17    1034    8.26    0.19    1004    8.34    0.21    1004
 599   -9.99   -9.99       0   -9.99   -9.99       0    6.23    0.50    1034    6.22    0.56    1004    6.23    0.60    1004
 600   -9.99   -9.99       0   -9.99   -9.99       0    7.09    0.17    1034    7.21    0.19    1004    7.25    0.21    1004
 601    9.82    0.00       1    9.98    0.00       1   10.09    0.00       1   10.19    0.00       1   10.27    0.00       1
 602   -9.99   -9.99       0   -9.99   -9.99       0    6.31    0.50    1034    6.32    0.56    1004    6.33    0.60    1004
 603   -9.99   -9.99       0   -9.99   -9.99       0    8.71    0.17    1034    8.81    0.19    1004    8.90    0.21    1004
 604   -9.99   -9.99       0   -9.99   -9.99       0    6.38    0.50    1034    6.41    0.56    1004    6.43    0.60    1004
 605   -9.99   -9.99       0   -9.99   -9.99       0    7.51    0.17    1034    7.60    0.19    1004    7.65    0.21    1004
 606   -9.99   -9.99       0   -9.99   -9.99       0    7.53    0.17    1034    7.57    0.19    1004    7.62    0.21    1004
 607   -9.99   -9.99       0   -9.99   -9.99       0    7.00    0.17    1034    7.06    0.19    1004    7.09    0.21    1004
 608   -9.99   -9.99       0   -9.99   -9.99       0    7.13    0.17    1034    7.19    0.19    1004    7.22    0.21    1004
 609   -9.99   -9.99       0   -9.99   -9.99       0    6.84    0.50    1034    6.88    0.56    1004    6.91    0.60    1004
 610   -9.99   -9.99       0   -9.99   -9.99       0    7.82    0.17    1034    7.88    0.19    1004    7.94    0.21    1004
 611   -9.99   -9.99       0   -9.99   -9.99       0    8.08    0.17    1034    8.14    0.19    1004    8.21    0.21    1004
 612   -9.99   -9.99       0   -9.99   -9.99       0    9.59    0.17    1034    9.71    0.19    1004    9.83    0.21    1004
 613    9.20    0.17    1002    9.30    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 614   -9.99   -9.99       0   -9.99   -9.99       0    7.18    0.17    1034    7.24    0.19    1004    7.28    0.21    1004
 615   -9.99   -9.99       0   -9.99   -9.99       0    9.84    0.17    1034    9.99    0.19    1004   10.12    0.21    1004
 616   -9.99   -9.99       0   -9.99   -9.99       0    8.46    0.17    1034    8.58    0.19    1004    8.66    0.21    1004
 617   -9.99   -9.99       0   -9.99   -9.99       0    7.12    0.17    1034    7.20    0.19    1004    7.24    0.21    1004
 618   -9.99   -9.99       0   -9.99   -9.99       0    6.20    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 619   -9.99   -9.99       0   -9.99   -9.99       0    7.23    0.17    1034    7.29    0.19    1004    7.34    0.21    1004
 620   -9.99   -9.99       0   -9.99   -9.99       0    6.64    0.50    1034    6.64    0.56    1004    6.66    0.60    1004
 621   -9.99   -9.99       0   -9.99   -9.99       0    8.25    0.17    1034    8.33    0.19    1004    8.41    0.21    1004
 622   -9.99   -9.99       0   -9.99   -9.99       0    7.52    0.17    1034    7.57    0.19    1004    7.62    0.21    1004
 623   -9.99   -9.99       0   -9.99   -9.99       0    6.89    0.50    1034    6.94    0.56    1004    6.97    0.60    1004
 624   -9.99   -9.99       0   -9.99   -9.99       0    6.09    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 625   -9.99   -9.99       0   -9.99   -9.99       0    7.09    0.17    1034    7.13    0.19    1004    7.17    0.21    1004
 626   -9.99   -9.99       0   -9.99   -9.99       0    6.09    0.50    1034    6.14    0.56    1004    6.15    0.60    1004
 627   -9.99   -9.99       0   -9.99   -9.99       0    6.85    0.50    1034    6.90    0.56    1004    6.93    0.60    1004
 628   -9.99   -9.99       0   -9.99   -9.99       0    7.76    0.17    1034    7.82    0.19    1004    7.88    0.21    1004
 629   -9.99   -9.99       0   -9.99   -9.99       0    7.09    0.17    1034    7.19    0.19    1004    7.23    0.21    1004
 630   -9.99   -9.99       0   -9.99   -9.99       0    6.74    0.50    1034    6.78    0.56    1004    6.81    0.60    1004
 631   -9.99   -9.99       0   -9.99   -9.99       0    6.07    0.50    1034    6.08    0.56    1004    6.08    0.60    1004
 632   -9.99   -9.99       0   -9.99   -9.99       0    6.45    0.50    1034    6.49    0.56    1004    6.50    0.60    1004
 633    9.63    0.17    1012    9.80    0.17    1012    9.86    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 634    9.66    0.00       1    9.91    0.00       1   10.02    0.00       1    8.78    0.00       1   10.25    0.00       1
 635    9.63    0.00       1    9.90    0.00       1   10.00    0.00       1    7.78    0.14       1   10.20    0.00       1
 636    3.80    1.22    1002    3.38    0.68    1002    3.54    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 637    9.28    0.00       1    9.45    0.00       1    9.53    0.00       1    9.64    0.00       1    9.75    0.00       1
 638    9.26    0.00       1    9.49    0.00       1    9.58    0.00       1    9.67    0.00       1    9.76    0.00       1
