Standard-system colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (12) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (U-B)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (U-B). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (U-B) and its uncertainty.
Column 5: The (B-V)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (B-V). The uncertainty, if available, comes from the same source as (B-V) itself.
Column 7: The sources for (B-V) and its uncertainty.
Column 8: The (V-I)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (V-I). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(V-I)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------
  id   (U-B)  d(U-B)       s.  (B-V)  d(B-V)       s.  (V-I)  d(V-I)       s.
       [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------
  69   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  70   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  71   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  72   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  73   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  74   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  75   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  76   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  77   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  78   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  79   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  80   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  81   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  82    0.45   -9.99       1    0.88   -9.99       1   -9.99   -9.99       0
  83   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  84    0.59   -9.99       1    0.93   -9.99       1   -9.99   -9.99       0
  85   -9.99   -9.99       0    0.93   -9.99       1   -9.99   -9.99       0
  86   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  87   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  88   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  89   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  90   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  91    0.48   -9.99       1    0.89   -9.99       1   -9.99   -9.99       0
  92   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  93   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  94   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  95   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  96   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  97   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  98   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  99   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 100   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 101   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 102   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 103    0.53   -9.99       1    0.95   -9.99       1   -9.99   -9.99       0
 104   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 105   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 106   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 107    0.53   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 108   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 109   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 110   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 111   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 112   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 113   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 114   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 115    0.46   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 116    0.46   -9.99       1    0.91   -9.99       1   -9.99   -9.99       0
 117    0.87   -9.99       1    0.87   -9.99       1   -9.99   -9.99       0
 118   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 119   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 120   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 121   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 122   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 123   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 124    0.53   -9.99       1    0.89   -9.99       1   -9.99   -9.99       0
 125    0.43   -9.99       1    0.90   -9.99       1   -9.99   -9.99       0
 126   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 127   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 128   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 129    0.56   -9.99       1    0.93   -9.99       1   -9.99   -9.99       0
 130   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 131   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 132   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
