SDSS colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (13) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (u-g)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (u-g). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (u-g) and its uncertainty.
Column 5: The (g-r)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (g-r). The uncertainty, if available, comes from the same source as (g-r) itself.
Column 7: The sources for (g-r) and its uncertainty.
Column 8: The (g-i)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (g-i). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(g-i)$ and its uncertainty.
Column 11: The (g-z)-colour of the galaxy, corrected for extinction and redshift. 
Column 12: The uncertainty of (g-z). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 13: The sources for $(g-z)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   (u-g)  d(u-g)       s.  (g-r)  d(g-r)       s.  (g-i)  d(g-i)       s.  (g-z)  d(g-z)       s.
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 247   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 248   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 249   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 250   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 251   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 252   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 253   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 254   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 255   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 256   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 257   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 258   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 259   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 260   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 261   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 262   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 263   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 264   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 265   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 266   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 267   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 268   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 269   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 270   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 271   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 272   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 273   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 274   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 275   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 276   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 277   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 278   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 279   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 280   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 281   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 282   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 283   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 284   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 285   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 286   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 287   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 288   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 289   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 290   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 291   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 292   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 293   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 294   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 295   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 296   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 297   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 298   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 299   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 300   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 301   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 302   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 303   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 304   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 305   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 306   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 307   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 308   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 309   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 310   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 311   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 312   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 313   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 314   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 315   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 316   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 317   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 318   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 319   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 320   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 321   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 322   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 323   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 324   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 325   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 326   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 327   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 328   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 329   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 330   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 331   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 332   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 333   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 334   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 335   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 336   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 337   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 338   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 339   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 340   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 341   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 342   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 343   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 344   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 345   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 346   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 347   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 348   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 349   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 350   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 351   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 352   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 353   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 354   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 355   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 356   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 357   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 358   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 359   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 360   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 361   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 362   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 363   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 364   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 365    1.63    0.01       1    0.70    0.00       1    1.06    0.00       1    1.34    0.00       1
 366   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 367   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 368   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 369   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 370   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 371   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 372   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 373   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 374   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 375   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 376   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 377   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 378   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 379   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 380   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 381   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 382   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 383   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 384   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 385   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 386   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 387   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 388   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 389   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 390   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 391   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 392   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 393   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 394   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 395   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 396   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 397   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 398   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 399   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 400   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 401   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 402   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 403   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 404   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 405   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 406   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 407   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 408   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 409   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 410    1.57    0.05       2    0.69    0.06       2    1.06    0.06       2   -9.99   -9.99       0
 411    1.52    0.04       2    0.73    0.04       2    1.07    0.04       2   -9.99   -9.99       0
 412    1.42    0.18       2    0.58    0.15       2    0.94    0.16       2   -9.99   -9.99       0
 413    1.23    0.18       2    0.62    0.08       2    0.91    0.07       2   -9.99   -9.99       0
 414    1.58    0.06       2    0.52    0.07       2    0.79    0.07       2   -9.99   -9.99       0
 415    1.54    0.04       2    0.71    0.04       2    1.06    0.04       2   -9.99   -9.99       0
 416    1.11    0.08       2    0.48    0.06       2    0.72    0.05       2   -9.99   -9.99       0
 417    1.53    0.12       2    0.67    0.11       2    0.99    0.12       2   -9.99   -9.99       0
 418    1.52    0.06       2    0.69    0.06       2    1.01    0.06       2   -9.99   -9.99       0
 419    1.32    0.10       2    0.68    0.16       2    0.90    0.08       2   -9.99   -9.99       0
 420    1.47    0.08       2    0.66    0.08       2    0.98    0.08       2   -9.99   -9.99       0
 421    1.43    0.08       2    0.49    0.08       2    0.75    0.08       2   -9.99   -9.99       0
 422    1.52    0.06       2    0.63    0.07       2    0.97    0.08       2   -9.99   -9.99       0
 423    1.24    0.09       2    0.60    0.09       2    0.91    0.08       2   -9.99   -9.99       0
 424    1.56    0.06       2    0.70    0.05       2    1.01    0.06       2   -9.99   -9.99       0
 425    1.63    0.06       2    0.78    0.06       2    1.18    0.06       2   -9.99   -9.99       0
 426    1.72    0.05       2    0.77    0.05       2    1.15    0.05       2   -9.99   -9.99       0
 427    1.54    0.04       2    0.73    0.04       2    1.07    0.04       2   -9.99   -9.99       0
 428    1.44    0.20       2    0.59    0.14       2    0.91    0.15       2   -9.99   -9.99       0
 429    1.67    0.07       2    0.93    0.08       2    1.30    0.10       2   -9.99   -9.99       0
 430    1.91    0.04       2    0.81    0.06       2    1.22    0.06       2   -9.99   -9.99       0
 431    1.60    0.22       2    0.82    0.14       2    1.15    0.15       2   -9.99   -9.99       0
 432    1.51    0.05       2    0.69    0.06       2    1.05    0.10       2   -9.99   -9.99       0
 433    1.80    0.06       2    0.85    0.06       2    1.28    0.05       2   -9.99   -9.99       0
 434    1.70    0.06       2    0.79    0.06       2    1.20    0.06       2   -9.99   -9.99       0
 435    1.66    0.07       2    0.73    0.04       2    1.02    0.04       2   -9.99   -9.99       0
 436    1.47    0.05       2    0.74    0.06       2    1.13    0.06       2   -9.99   -9.99       0
 437    1.48    0.04       2    0.73    0.04       2    1.10    0.05       2   -9.99   -9.99       0
 438    1.44    0.16       2    0.59    0.08       2    0.90    0.28       2   -9.99   -9.99       0
 439    1.46    0.08       2    0.63    0.07       2    0.99    0.08       2   -9.99   -9.99       0
 440    1.63    0.06       2    0.71    0.05       2    1.06    0.05       2   -9.99   -9.99       0
 441    1.56    0.07       2    0.71    0.05       2    1.02    0.08       2   -9.99   -9.99       0
 442    1.55    0.04       2    0.68    0.05       2    1.06    0.05       2   -9.99   -9.99       0
 443    1.38    0.14       2    0.61    0.13       2    0.93    0.13       2   -9.99   -9.99       0
 444    1.39    0.11       2    0.57    0.13       2    0.75    0.13       2   -9.99   -9.99       0
 445    1.41    0.07       2    0.68    0.06       2    1.04    0.06       2   -9.99   -9.99       0
 446    1.35    0.15       2    0.69    0.10       2    0.94    0.09       2   -9.99   -9.99       0
 447    1.20    0.04       2    0.56    0.05       2    0.89    0.05       2   -9.99   -9.99       0
 448    1.41    0.05       2    0.64    0.06       2    0.98    0.06       2   -9.99   -9.99       0
 449    1.53    0.04       2    0.75    0.04       2    1.09    0.04       2   -9.99   -9.99       0
 450    1.66    0.04       2    0.75    0.05       2    1.10    0.05       2   -9.99   -9.99       0
 451    1.37    0.13       2    0.69    0.16       2    0.99    0.18       2   -9.99   -9.99       0
 452    1.43    0.09       2    0.62    0.08       2    0.92    0.09       2   -9.99   -9.99       0
 453    1.62    0.04       2    0.70    0.04       2    1.09    0.04       2   -9.99   -9.99       0
 454    1.50    0.09       2    0.64    0.09       2    0.95    0.10       2   -9.99   -9.99       0
 455    0.64    0.06       2    0.14    0.08       2    0.27    0.08       2   -9.99   -9.99       0
 456    1.80    0.01       1    0.69    0.00       1    1.04    0.00       1    1.25    0.00       1
 457    1.86    0.01       1    0.78    0.00       1    1.17    0.00       1    1.45    0.00       1
 458    1.90    0.00       1    0.79    0.00       1    1.15    0.00       1    1.49    0.00       1
 459   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 460   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 461    1.63    0.01       1    0.70    0.00       1    1.06    0.00       1    1.25    0.00       1
 462    1.84    0.00       1    0.87    0.00       1    1.29    0.00       1    1.57    0.00       1
 463    1.86    0.01       1    0.81    0.00       1    1.19    0.00       1    1.45    0.00       1
 464    1.83    0.01       1    0.81    0.00       1    1.18    0.00       1    1.49    0.00       1
 465    1.91    0.00       1    0.78    0.00       1   -0.19    0.01       1    1.44    0.00       1
 466    1.76    0.01       1    0.78    0.00       1    1.13    0.00       1    1.40    0.00       1
 467    1.89    0.01       1    0.82    0.00       1    1.22    0.00       1    1.54    0.00       1
 468    1.00    0.01       1    0.49    0.00       1    0.70    0.00       1    0.92    0.01       1
 469    1.84    0.03       1    0.74    0.00       1    1.07    0.00       1    1.30    0.01       1
 470    1.88    0.01       1    0.80    0.00       1    1.18    0.00       1    1.55    0.00       1
 471    1.87    0.01       1    0.82    0.00       1    1.21    0.00       1    1.55    0.00       1
 472    1.97    0.01       1    0.81    0.00       1    1.23    0.00       1    1.54    0.00       1
 473    1.81    0.01       1    0.77    0.00       1    1.13    0.00       1    1.47    0.00       1
 474    1.87    0.01       1    0.83    0.00       1    1.17    0.00       1    1.45    0.00       1
 475    1.80    0.02       1    0.73    0.00       1    1.07    0.00       1    1.36    0.00       1
 476    1.88    0.00       1    0.81    0.00       1    1.24    0.00       1    1.52    0.00       1
 477    1.83    0.01       1    0.77    0.00       1    1.15    0.00       1    1.44    0.00       1
 478    1.68    0.01       1    0.77    0.00       1    1.12    0.00       1    1.38    0.00       1
 479    1.89    0.00       1    0.79    0.00       1    1.21    0.00       1    1.70    0.00       1
 480    1.66    0.01       1    0.80    0.00       1    1.14    0.00       1    1.46    0.00       1
 481    1.75    0.00       1    0.76    0.00       1    1.18    0.00       1    1.46    0.00       1
 482   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 483    1.81    0.01       1    0.72    0.00       1    1.07    0.00       1    1.33    0.00       1
 484   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 485    1.81    0.00       1    0.78    0.00       1    1.16    0.00       1    1.13    0.00       1
 486   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 487   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 488    1.92    0.01       1    0.80    0.00       1    1.18    0.00       1    1.49    0.00       1
 489    1.27    0.00       1    0.62    0.00       1    0.94    0.00       1    1.25    0.00       1
 490   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 491    1.88    0.00       1    0.78    0.00       1    1.17    0.00       1    1.42    0.00       1
 492   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 493    1.70    0.01       1    0.78    0.00       1    1.17    0.00       1    1.43    0.00       1
 494    1.85    0.01       1    0.75    0.00       1    1.10    0.00       1    1.40    0.00       1
 495    1.88    0.00       1    0.78    0.00       1    1.18    0.00       1    1.45    0.00       1
 496    1.83    0.00       1    0.76    0.00       1    1.15    0.00       1    1.39    0.00       1
 497   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 498    2.02    0.01       1    0.87    0.00       1    1.30    0.00       1    1.60    0.00       1
 499   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 500    1.81    0.00       1    0.73    0.00       1    1.12    0.00       1    1.38    0.00       1
 501    1.73    0.01       1    0.74    0.00       1    1.14    0.00       1    1.36    0.00       1
 502    1.24    0.00       1    0.63    0.00       1   -0.47    0.01       1    1.15    0.00       1
 503    1.68    0.01       1    0.76    0.00       1    1.07    0.00       1    1.32    0.00       1
 504   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 505    1.36    0.00       1    0.47    0.00       1    0.73    0.00       1    0.91    0.00       1
 506    1.64    0.00       1    0.73    0.00       1    1.17    0.00       1    1.41    0.00       1
 507    0.94    0.00       1    0.55    0.00       1    0.73    0.00       1    0.93    0.00       1
 508    1.62    0.01       1    0.72    0.00       1    1.06    0.00       1    1.36    0.00       1
 509   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 510   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 511    1.48    0.00       1    0.53    0.00       1    0.73    0.00       1    1.01    0.00       1
 512    1.61    0.00       1    0.66    0.00       1    1.01    0.00       1    1.25    0.00       1
 513   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 514    1.79    0.00       1    0.80    0.00       1    1.23    0.00       1    1.46    0.00       1
 515    2.03    0.01       1    0.77    0.00       1    1.13    0.00       1    1.35    0.00       1
 516    1.90    0.00       1    0.86    0.00       1    1.28    0.00       1    1.55    0.00       1
 517    2.02    0.00       1    0.96    0.00       1    1.37    0.00       1    1.60    0.00       1
 518    1.92    0.00       1    0.87    0.00       1    1.23    0.00       1    1.55    0.00       1
 519    1.70    0.00       1    0.70    0.00       1    1.04    0.00       1    1.28    0.00       1
 520   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
