Positions, redshifts and distances of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (2) in Dabringhausen & Fellhauer (2015).

The Table contains the following data:
Column 1: The running number that identifies the galaxies within this catalog. The galaxies are ordered by ascending right ascension.
Column 2: The right ascension for the epoch J2000.0.
Column 3: The declination for the epoch J2000.0.
Column 4: The origin of the data for right ascension and declination.
Column 5: The distance of the galaxies in Mpc.
Column 6: The origin of the distance estimate.
Column 7: The number of redshift-independent estimates from which the mean of the redshift-independent estimates quoted in this catalogue was calculated.
Column 8: The radial velocities of the galaxies.
Column 9: The source for the radial velocity of the galaxy.

For a detailed description of the data in this table, see Section (4) in Dabringhausen & Fellhauer (2015).

------------------------------------------------------------------
  id         asc       dec   s.       d   N_d     s.  v_rad     s.
         [h:m:s]   [d:m:s]        [Mpc]              [km/s]
------------------------------------------------------------------
 369  03:42:38.6 -35:52:04   1   18.967     0   105    1347   104
 370  03:42:45.3 -33:55:14   1   18.967     0   105    1347   104
 371  03:43:12.8 -34:38:35   1   18.967     0   105    1673   104
 372  03:43:22.6 -33:56:25   1   28.633     3     1    1189     1
 373  03:43:23.2 -34:41:43   1   18.967     0   105    1347   104
 374  03:43:54.3 -33:02:23   1   18.967     0   105    1347   104
 375  03:44:25.1 -35:51:24   1   18.967     0   105    1347   104
 376  03:44:27.1 -35:39:52   1   18.967     0   105    1347   104
 377  03:44:32.9 -35:11:45   1   18.967     0   105     695   104
 378  03:44:39.3 -35:58:57   1   18.967     0   105    1347   104
 379  03:44:44.4 -35:41:00   1   18.967     0   105    1719   104
 380  03:44:49.9 -21:55:14   1   25.238    13     1    1670     1
 381  03:44:59.9 -36:19:10   1   18.967     0   105    1347   104
 382  03:45:03.5 -35:58:21   1   20.367     6     1    1021     1
 383  03:45:14.1 -36:56:12   1   16.650     4     1    1929     1
 384  03:45:30.9 -34:30:18   1   18.967     0   105    1347   104
 385  03:45:33.7 -37:05:00   1   18.967     0   105    1228   104
 386  03:45:47.9 -35:03:38   1   18.967     0   105    1347   104
 387  03:46:08.2 -36:49:21   1   18.967     0   105    1347   104
 388  03:46:13.7 -36:41:47   1   21.325     4     1    1373     1
 389  03:46:33.4 -34:41:09   1   18.967     0   105    1347   104
 390  03:46:37.7 -37:09:34   1   18.967     0   105    1347   104
 391  03:47:01.5 -36:26:15   1   18.967     0   105    1546   104
 392  03:47:08.2 -36:19:36   1   17.050     2     1    1211   101
 393  03:47:09.0 -32:46:26   1   18.967     0   105    1347   104
 394  03:47:16.2 -32:18:11   1   18.967     0   105    1445   104
 395  03:47:33.9 -35:57:10   1   18.967     0   105    1347   104
 396  03:47:37.5 -36:21:47   1   18.967     0   105    1347   104
 397  03:47:52.7 -36:28:18   1   19.700     4     1    1856     1
 398  03:48:02.1 -35:01:36   1   18.967     0   105    1347   104
 399  03:48:04.3 -36:44:46   1   18.967     0   105    1347   104
 400  03:48:10.0 -37:31:32   1   18.967     0   105    1347   104
 401  03:48:22.0 -36:06:25   1   18.967     0   105    1347   104
 402  03:49:12.4 -36:58:27   1   18.967     0   105    1347   104
 403  03:49:49.0 -35:56:44   1   18.967     0   105    1326   104
 404  03:50:36.7 -35:54:34   1   16.600     5     1    1430     1
 405  03:50:52.7 -35:10:16   1   18.967     0   105    1956   104
 406  03:51:01.2 -36:41:00   1   18.967     0   105    1347   104
 407  03:52:00.9 -33:28:04   1   15.514     7     1    1574     1
 408  04:15:45.1 -55:35:32   1   15.983    12     1    1256     1
 409  04:31:39.9 -05:05:10   1   54.700     4     1    4681     1
 410  04:33:07.0 -13:12:39   2  133.000     0   104    8915     3
 411  04:33:08.8 -13:02:36   2  133.000     0   104   10862     3
 412  04:33:12.1 -13:04:49   2  133.000     0   104    9194     3
 413  04:33:17.8 -13:15:37   2  133.000     0   104   11064     3
 414  04:33:18.9 -13:17:27   2  133.000     0   104    8625     3
 415  04:33:20.3 -13:03:15   2  133.000     0   104    8765     3
 416  04:33:21.4 -13:04:17   2  133.000     0   104    7736     3
 417  04:33:24.6 -13:11:12   2  133.000     0   104    9593     3
 418  04:33:24.9 -13:13:43   2  133.000     0   104    9199     3
 419  04:33:25.1 -13:09:07   2  133.000     0   104   10413     3
 420  04:33:25.4 -13:14:15   2  133.000     0   104    8375     3
 421  04:33:25.5 -13:04:08   2  133.000     0   104   11093     3
 422  04:33:26.5 -13:17:18   2  133.000     0   104    8941     3
 423  04:33:29.8 -13:08:52   2  133.000     0   104    8641     3
 424  04:33:31.5 -13:16:55   2  133.000     0   104    9587     3
 425  04:33:32.1 -13:15:18   2  133.000     0   104    9954     3
 426  04:33:33.2 -13:17:13   2  133.000     0   104    9872     3
 427  04:33:33.5 -13:18:53   2  133.000     0   104   11705     3
 428  04:33:34.5 -13:11:37   2  133.000     0   104    8444     3
 429  04:33:37.3 -13:15:20   2  133.000     0   104    9755     3
 430  04:33:38.2 -13:15:01   2  133.000     0   104   10292     3
 431  04:33:39.1 -13:13:20   2  133.000     0   104   10814     3
 432  04:33:39.7 -13:14:25   2  133.000     0   104   10141     3
 433  04:33:41.7 -13:15:52   2  133.000     0   104    9771     3
 434  04:33:42.1 -13:16:54   2  133.000     0   104    9516     3
 435  04:33:42.1 -13:12:59   2  133.000     0   104   10348     3
 436  04:33:42.8 -13:08:47   2  133.000     0   104   10534     3
 437  04:33:43.0 -13:05:14   2  133.000     0   104    9682     3
 438  04:33:43.0 -12:59:24   2  133.000     0   104   10223     3
 439  04:33:45.7 -13:05:42   2  133.000     0   104    9689     3
 440  04:33:46.7 -13:17:56   2  133.000     0   104    8366     3
 441  04:33:48.6 -13:05:58   2  133.000     0   104    9777     3
 442  04:33:49.1 -13:05:20   2  133.000     0   104    9770     3
 443  04:33:50.2 -12:59:45   2  133.000     0   104   10377     3
 444  04:33:51.5 -13:11:36   2  133.000     0   104    9459     3
 445  04:33:52.8 -13:15:24   2  133.000     0   104    8926     3
 446  04:33:55.6 -13:10:25   2  133.000     0   104    8426     3
 447  04:33:56.2 -12:59:13   2  133.000     0   104   11203     3
 448  04:33:59.0 -13:06:27   2  133.000     0   104   10552     3
 449  04:34:01.6 -13:13:60   2  133.000     0   104   10283     3
 450  04:34:03.2 -13:13:11   2  133.000     0   104    8952     3
 451  04:34:08.5 -13:11:53   2  133.000     0   104    9762     3
 452  04:34:10.6 -13:07:57   2  133.000     0   104    8375     3
 453  04:34:13.0 -13:10:04   2  133.000     0   104   10835     3
 454  04:34:13.1 -13:12:32   2  133.000     0   104   10199     3
 455  04:34:15.4 -13:08:24   2  133.000     0   104    7747     3
 456  04:48:17.1 -05:25:39   1   37.500     1     2    2745     1
 457  04:48:34.4 -03:52:02   1   37.800     1     2    2764     1
 458  04:56:56.3 -04:51:57   1   41.078     9     1    3889     1
 459  06:41:36.7 -50:57:58   1    0.103    26     1     229     1
 460  07:32:20.0  85:42:34   1   34.800     5     1    1905     1
 461  07:40:22.7  23:16:30   1   33.200     1     2    2255     1
 462  07:57:13.7  23:46:04   1   32.000     1     2    2157     1
 463  08:16:33.9  21:24:36   1   76.233     6     1    4741     1
 464  08:17:35.0  20:54:11   1   66.268     0   103    4721     1
 465  08:18:58.3  57:48:11   1   14.700     4     1    1051     1
 466  08:19:00.8  20:56:13   1   66.268     0   103    4635     1
 467  08:19:10.7  21:26:09   1   72.150     2     1    4865     1
 468  08:19:19.8  21:03:32   1   76.022     9     1    4788     1
 469  08:19:24.3  21:00:13   1   66.268     0   103    3915     1
 470  08:19:51.9  20:59:06   1   66.268     0   103    4894     1
 471  08:20:23.6  21:07:53   1   66.268     0   103    4999     1
 472  08:20:35.7  21:04:04   1   69.875     4     1    4480     1
 473  08:20:51.2  21:03:18   1   66.268     0   103    4661     1
 474  08:21:21.1  20:52:03   1   66.268     0   103    5104     1
 475  08:21:26.4  21:07:51   1   66.268     0   103    4952     1
 476  08:22:43.4  22:33:11   1   36.900     3     1    2062     1
 477  08:22:53.0  21:04:41   1   66.268     0   103    4473     1
 478  08:23:41.4  21:26:06   1   74.000     2     1    5143     1
 479  08:27:08.0  25:58:13   1   45.833     3     1    1979     1
 480  08:27:17.1  25:52:44   1   35.100     1     2    2362     1
 481  08:44:05.9  49:47:38   1   28.000     1     2    1728     1
 482  08:51:30.0  63:07:48   1    0.034     4     1    -100     1
 483  08:51:32.9  30:51:55   1   30.500     2     1    2027     1
 484  08:54:27.1 -03:04:01   1   35.722     9     1    1833     1
 485  08:55:34.7  58:44:04   1   13.475     4     1     883     1
 486  08:55:36.5 -03:11:02   1   27.100     1     2    1900     1
 487  08:55:48.8 -03:07:39   1   26.220     5     1    1868     1
 488  08:56:59.2  51:19:55   1   71.684     0   101    5090     1
 489  09:08:17.4  21:26:36   1   37.400     1     1    2706     1
 490  09:11:37.5  60:02:14   1   20.067     9     1    1353     1
 491  09:12:24.4  35:01:39   1   37.750     6     1    2049     1
 492  09:16:02.2  52:50:24   1    1.253     3     1     -70     1
 493  09:19:02.2  26:16:12   1   40.700     1     2    2758     1
 494  09:23:14.6  40:09:50   1   29.300     1     1    1781     1
 495  09:24:18.5  34:30:49   1   27.333     3     1    1690     1
 496  09:29:34.5  62:29:26   1   24.075     4     1    1554     1
 497  09:34:53.4  17:03:05   1    0.411    11     1      35     1
 498  09:40:53.9  05:09:57   1   33.200    18     1    1967     1
 499  09:42:33.3 -03:41:57   1   24.730    10     1    1887     1
 500  09:42:35.1  58:51:05   1   19.975     4     1    1322     1
 501  09:45:53.4 -00:16:06   1   27.200     1     2    1853     1
 502  09:52:08.1  29:14:10   1   26.217     6     1    1562     1
 503  09:59:43.5  11:39:39   1   41.000     1     2    2833     1
 504  10:00:14.3 -19:38:13   1   52.525     4     1    3964     1
 505  10:00:52.1  55:37:08   1   24.520     5     1    1173     1
 506  10:02:16.7  24:42:40   1   20.267     3     1    1397     1
 507  10:03:51.9  59:26:10   1   45.800     1     2    2989     1
 508  10:05:51.2  12:57:41   1   40.900     1     2    2816     1
 509  10:07:04.0  16:04:55   1    0.023     2     1     208     1
 510  10:08:28.1  12:18:23   1    0.243    28     1     285     1
 511  10:12:41.2  03:07:46   1   21.970    10     1    1338     1
 512  10:12:48.6  43:08:44   1   35.300     1     2    2256     1
 513  10:13:02.9 -01:36:53   1    0.085    11     1     226     1
 514  10:18:24.9  21:53:38   1   29.310    10     1    1381     1
 515  10:19:33.0  58:12:21   1   34.000     1     2    2118     1
 516  10:23:27.0  19:53:55   1   29.837     8     1    1315     1
 517  10:23:43.9  12:34:04   1   40.800     1     2    2795     1
 518  10:27:18.4  28:30:27   1   23.525     4     1    1326     1
 519  10:27:45.4  22:50:50   1   24.600     1     2    1481     1
 520  10:34:52.8  51:55:12   1    0.101     6     1    1101     1
 521  10:36:21.3 -27:31:22   1   47.206     0   106    3352   105
 522  10:36:22.2 -27:33:08   1   47.206     0   106    3352   105
 523  10:36:22.4 -27:26:17   1   51.620     9     1    3554     1
 524  10:36:22.9 -27:35:41   1   47.206     0   106    3352   105
 525  10:36:23.0 -27:21:17   1   55.200     2     1    2973     1
 526  10:36:23.8 -27:13:19   1   47.206     0   106    3352   105
 527  10:36:24.0 -27:27:47   1   47.206     0   106    3352   105
 528  10:36:24.4 -27:35:31   1   47.206     0   106    3352   105
 529  10:36:24.5 -27:14:07   1   47.206     0   106    3352   105
 530  10:36:24.6 -27:11:44   1   47.206     0   106    3352   105
 531  10:36:24.6 -27:22:09   1   47.206     0   106    3352   105
 532  10:36:24.8 -27:34:55   1   47.206     0   106    2781     1
 533  10:36:25.0 -27:21:58   1   47.206     0   106    3352   105
 534  10:36:25.9 -27:17:24   1   47.206     0   106    3352   105
 535  10:36:26.0 -27:35:52   1   47.206     0   106    3352   105
 536  10:36:26.5 -27:32:16   1   47.206     0   106    3352   105
 537  10:36:26.5 -27:32:42   1   47.206     0   106    3352   105
 538  10:36:26.6 -27:27:13   1   47.206     0   106    3352   105
 539  10:36:26.9 -27:23:26   1   41.200     1     1    3349     1
 540  10:36:27.4 -27:31:28   1   47.206     0   106    3352   105
 541  10:36:27.5 -27:32:12   1   47.206     0   106    3352   105
 542  10:36:27.6 -27:19:11   1   55.200     2     1    3370     1
 543  10:36:28.0 -27:30:55   1   47.206     0   106    3352   105
 544  10:36:28.0 -27:29:37   1   47.206     0   106    3352   105
 545  10:36:28.7 -27:14:36   1   47.206     0   106    3989     1
 546  10:36:29.0 -27:29:02   1   55.200     2     1    4796     1
 547  10:36:29.3 -27:27:24   1   47.206     0   106    3352   105
 548  10:36:29.8 -27:33:27   1   47.206     0   106    3352   105
 549  10:36:31.0 -27:17:58   1   47.206     0   106    3352   105
 550  10:36:31.0 -27:15:15   1   47.206     0   106    3352   105
 551  10:36:32.5 -27:32:23   1   47.206     0   106    3352   105
 552  10:36:32.8 -27:15:15   1   47.206     0   106    3352   105
 553  10:36:33.5 -27:26:59   1   47.206     0   106    3352   105
 554  10:36:33.8 -27:27:41   1   47.206     0   106    3352   105
 555  10:36:35.4 -27:15:21   1   47.206     0   106    3352   105
 556  10:36:35.5 -27:28:14   1   55.200     2     1    3154     1
 557  10:36:35.5 -27:13:36   1   47.206     0   106    3352   105
 558  10:36:35.7 -27:31:06   1   52.222    14     1    4075     1
 559  10:36:35.8 -27:15:52   1   47.206     0   106    3352   105
 560  10:36:35.9 -27:19:36   1   47.206     0   106    3352   105
 561  10:36:36.4 -27:35:41   1   47.206     0   106    3352   105
 562  10:36:36.6 -27:12:41   1   47.206     0   106    3352   105
 563  10:36:37.2 -27:22:55   1   47.206     0   106    3352   105
 564  10:36:37.9 -27:11:41   1   47.206     0   106    3352   105
 565  10:36:38.0 -27:35:40   1   47.206     0   106    3352   105
 566  10:36:38.8 -27:25:08   1   47.206     0   106    3352   105
 567  10:36:39.0 -27:21:25   1   47.206     0   106    3352   105
 568  10:36:39.7 -27:32:41   1   47.206     0   106    3352   105
 569  10:36:40.4 -27:32:58   1   47.206     0   106    4605     1
 570  10:36:40.6 -27:25:19   1   47.206     0   106    3352   105
 571  10:36:40.8 -27:19:39   1   47.206     0   106    3352   105
 572  10:36:41.2 -27:33:40   1   55.200     2     1    4830     1
 573  10:36:41.3 -27:23:37   1   47.206     0   106    3352   105
 574  10:36:41.5 -27:16:37   1   47.206     0   106    3352   105
 575  10:36:42.8 -27:31:42   1   51.021    31     1    3825     1
 576  10:36:42.8 -27:35:10   1   55.200     1     1    3572     1
 577  10:36:43.1 -27:25:30   1   42.800     1     1    3937     1
 578  10:36:43.1 -27:35:44   1   47.206     0   106    3352   105
 579  10:36:43.7 -27:17:30   1   47.206     0   106    3352   105
 580  10:36:43.7 -27:32:58   1   47.206     0   106    3352   105
 581  10:36:44.4 -27:31:23   1   47.206     0   106    4252     1
 582  10:36:44.9 -27:28:10   1   55.200     2     1    2745     1
 583  10:36:44.9 -27:23:01   1   47.206     0   106    3352   105
 584  10:36:45.1 -27:14:29   1   47.206     0   106    3352   105
 585  10:36:45.6 -27:34:57   1   47.206     0   106    3352   105
 586  10:36:45.7 -27:30:32   1   36.700     1     1    4471     1
 587  10:36:46.0 -27:31:25   1   38.800     1     1    4225     1
 588  10:36:47.3 -27:24:13   1   47.206     0   106    3352   105
 589  10:36:47.3 -27:13:30   1   47.206     0   106    3352   105
 590  10:36:48.2 -27:28:52   1   47.206     0   106    3352   105
 591  10:36:48.3 -27:26:47   1   47.206     0   106    3352   105
 592  10:36:48.9 -27:30:01   1   34.300     1     1    4479     1
 593  10:36:49.0 -27:23:20   1   47.206     0   106    4462     1
 594  10:36:49.9 -27:19:47   1   47.206     0   106    3352   105
 595  10:36:50.2 -27:30:48   1   50.200     1     1    5270     1
 596  10:36:50.8 -27:23:02   1   35.100     1     1    4306     1
 597  10:36:52.1 -27:31:47   1   47.206     0   106    3352   105
 598  10:36:52.6 -27:32:16   1   38.500     1     1    5623     1
 599  10:36:53.8 -27:31:36   1   47.206     0   106    3352   105
 600  10:36:55.4 -27:35:55   1   47.206     0   106    3352   105
 601  10:36:56.0  21:52:56   1   25.150     2     1    1339     1
 602  10:36:56.5 -27:30:25   1   47.206     0   106    3352   105
 603  10:36:57.0 -27:34:06   1   39.000     1     1    4439     1
 604  10:36:57.3 -27:35:13   1   47.206     0   106    3352   105
 605  10:36:58.6 -27:34:26   1   47.206     0   106    4962     1
 606  10:37:00.2 -27:29:53   1   37.200     1     1    3275     1
 607  10:37:03.7 -27:35:48   1   47.206     0   106    3352   105
 608  10:37:11.3 -27:31:30   1   47.206     0   106    2876     1
 609  10:37:12.5 -27:29:52   1   47.206     0   106    3352   105
 610  10:37:13.7 -27:30:25   1   42.700     1     1    2879     1
 611  10:37:17.3 -27:35:34   1   42.100     1     1    3700     1
 612  10:37:20.0 -27:33:36   1   59.425     4     1    4069     1
 613  10:37:22.8 -35:21:37   1   33.085     0   101    2349     1
 614  10:37:23.1 -27:35:57   1   47.206     0   106    3352   105
 615  10:37:37.3 -27:35:39   1   61.400     4     1    3940     1
 616  10:37:38.1 -27:35:59   1   47.206     0   106    3995     1
 617  10:37:39.1 -27:33:42   1   47.206     0   106    3352   105
 618  10:37:39.5 -27:34:06   1   47.206     0   106    3352   105
 619  10:37:39.6 -27:35:33   1   47.206     0   106    2758     1
 620  10:37:41.6 -27:32:22   1   47.206     0   106    3352   105
 621  10:37:47.0 -27:34:23   1   47.206     0   106    5228     1
 622  10:37:48.9 -27:33:03   1   47.206     0   106    3352   105
 623  10:37:51.2 -27:32:39   1   47.206     0   106    3352   105
 624  10:37:52.4 -27:32:20   1   47.206     0   106    3352   105
 625  10:37:56.0 -27:32:42   1   47.206     0   106    3352   105
 626  10:37:58.5 -27:31:17   1   47.206     0   106    3352   105
 627  10:38:03.0 -27:35:47   1   47.206     0   106    3352   105
 628  10:38:04.6 -27:32:45   1   47.206     0   106    2418     1
 629  10:38:04.7 -27:32:22   1   47.206     0   106    3352   105
 630  10:38:06.3 -27:35:26   1   47.206     0   106    3352   105
 631  10:38:07.0 -27:32:04   1   47.206     0   106    3352   105
 632  10:38:11.9 -27:35:47   1   47.206     0   106    3352   105
 633  10:47:42.3  13:59:09   1   10.931    28     1     665     1
 634  10:47:49.6  12:34:54   1   10.537    41     1     911     1
 635  10:48:16.9  12:37:45   1   11.574    20     1     704     1
 636  10:49:21.0  51:03:00   1    0.042     4     1     -13     1
 637  10:50:45.5  28:28:09   1   24.700     1     2    1441     1
 638  10:50:53.3  13:24:44   1    9.850     9     1     841     1
 639  10:51:16.2  27:58:30   1   29.025     4     1    1470     1
 640  10:54:48.6  17:37:16   1   20.700     1     1    1148     1
 641  10:56:01.5  57:07:01   1   29.500     1     1    1877     1
 642  10:58:37.5  09:03:02   1   38.700     1     2    2634     1
 643  11:00:18.6  13:54:04   1    9.576     9     1     677     1
 644  11:03:11.0  56:13:18   1   26.400     1     2    1535     1
 645  11:06:40.4  20:05:08   1   25.500     1     1    1228     1
 646  11:07:24.7  21:39:26   1   40.100     1     2    2677     1
 647  11:08:40.4  57:13:49   1   31.200     1     2    1894     1
 648  11:09:57.6 -37:32:21   1   37.000     8     1    3088     1
 649  11:12:39.8  09:03:21   1   24.600     1     2    1429     1
 650  11:13:28.8  22:09:06   1    0.219    14     1      79     1
 651  11:15:25.5  47:26:49   1   34.700     1     2    2177     1
 652  11:15:26.9  18:06:37   1   19.657     7     1     839     1
 653  11:16:46.6  18:01:02   1   22.100    10     1     661     1
 654  11:16:54.6  18:03:06   1   21.367    12     1     942     1
 655  11:16:58.9  18:08:55   1   24.270    10     1    1226     1
 656  11:18:25.3  58:47:11   1   26.892    12     1    1707     1
 657  11:18:36.1  58:00:00   1   29.550    10     1    2051     1
 658  11:19:21.5  57:45:28   1   27.900     1     1    1560     1
 659  11:20:03.8  18:21:25   1   23.150     2     1    1493     1
 660  11:20:17.0  02:57:52   1   28.467     3     1    1499     1
 661  11:21:06.8  03:14:05   1   24.190    10     1    1298     1
 662  11:21:08.8  03:11:41   1   27.567     3     1    1780     1
 663  11:22:31.5  39:52:37   1   31.900     1     2    1970     1
 664  11:23:58.2  38:33:44   1   32.700     1     2    2039     1
 665  11:24:43.7  38:45:46   1   30.000     3     1    2069     1
 666  11:26:26.6  57:02:54   1   33.400     1     2    2055     1
 667  11:28:54.1  35:24:50   1   35.400     1     1    2243     1
 668  11:31:09.6  02:13:12   1    0.186     5     1     173     1
 669  11:32:57.0 -00:32:00   1    0.156     7     1     132     1
 670  11:34:27.5  33:10:45   1   39.000     1     2    2534     1
 671  11:36:28.4  19:48:41   1   90.254     0   103    6640     1
 672  11:36:51.5  20:00:18   1   90.254     0   103    6342     1
 673  11:37:02.8  58:24:56   1   22.600     1     2    1245     1
 674  11:37:04.9  19:55:26   1   90.254     0   103    6251     1
 675  11:39:50.9  20:23:42   1   90.254     0   103    6774     1
 676  11:39:59.0  20:09:35   1   90.254     0   103    6902     1
 677  11:40:18.5  09:00:36   1   28.567     3     1    1833     1
 678  11:40:31.1  60:17:56   1   22.700     1     2    1250     1
 679  11:40:41.7  20:20:35   1   98.700     2     1    6629     1
 680  11:40:55.1  20:19:29   1   90.254     0   103    6604     1
 681  11:41:22.3  19:57:46   1   90.254     0   103    6566     1
 682  11:41:48.0  20:06:13   1   90.254     0   103    5766     1
 683  11:41:52.5  20:14:57   1   90.254     0   103    6833     1
 684  11:41:57.3 -06:09:20   1   35.025    12     1    1701     1
 685  11:41:59.3  20:15:19   1   90.254     0   103    6715     1
 686  11:42:09.1  20:18:56   1   90.254     0   103    5764     1
 687  11:42:41.9  20:17:59   1   90.254     0   103    6306     1
 688  11:42:46.1  19:56:55   1   90.254     0   103    6216     1
 689  11:42:59.0  20:05:13   1   90.254     0   103    6063     1
 690  11:43:06.3  19:56:20   1   90.254     0   103    6396     1
 691  11:43:16.2  19:44:56   1   90.254     0   103    7542     1
 692  11:43:17.6  19:23:03   1   90.254     0   103    6531     1
 693  11:43:19.7  19:25:22   1   90.254     0   103    6757     1
 694  11:43:37.0  19:36:17   1   90.254     0   103    6628     1
 695  11:43:37.7  19:05:26   1   90.254     0   103    6814     1
 696  11:43:39.1  19:34:46   1   90.254     0   103    7574     1
 697  11:43:44.0  20:16:22   1   98.800     1     1    6920     1
 698  11:43:46.7  20:02:21   1   90.254     0   103    6299     1
 699  11:43:53.5  19:44:22   1   90.254     0   103    6158     1
 700  11:43:56.4  19:53:40   1   87.550     2     1    6130     1
 701  11:43:57.4  19:56:08   1   90.254     0   103    7055     1
 702  11:43:57.5  19:57:14   1   90.254     0   103    6214     1
 703  11:43:57.5  20:18:02   1   90.254     0   103    5840     1
 704  11:43:57.5  20:18:02   1   90.254     0   103    5840     1
 705  11:43:59.6  19:46:44   1   90.254     0   103    5623     1
 706  11:44:00.8  20:01:46   1   90.254     0   103    6779     1
 707  11:44:02.1  19:58:19   1  112.900     2     1    6356     1
 708  11:44:02.1  19:56:59   1   94.980     5     1    6316     1
 709  11:44:03.2  19:48:04   1   90.254     0   103    8039     1
 710  11:44:05.4  19:59:46   1   90.254     0   103    5692     1
 711  11:44:05.7  20:14:54   1   90.254     0   103    6593     1
 712  11:44:07.6  19:44:15   1   90.254     0   103    7765     1
 713  11:44:13.7  57:56:54   1   23.500     1     2    1308     1
 714  11:44:18.9  19:50:41   1   90.254     0   103    6406     1
 715  11:44:20.4  19:58:51   1   90.254     0   103    6405     1
 716  11:44:20.7  19:49:33   1   90.254     0   103    5543     1
 717  11:44:25.1  19:49:41   1   90.254     0   103    4444     1
 718  11:44:25.1  20:06:28   1   90.254     0   103    7242     1
 719  11:44:28.4  19:44:07   1   90.254     0   103    6749     1
 720  11:44:30.5  20:04:36   1   90.254     0   103    6723     1
 721  11:44:46.6  19:45:28   1   90.254     0   103    6439     1
 722  11:44:47.4  19:52:35   1   90.254     0   103    7812     1
 723  11:44:48.1  19:34:51   1   90.254     0   103    5914     1
 724  11:44:48.1  19:34:51   1   90.254     0   103    5914     1
 725  11:44:50.1  19:31:58   1   90.254     0   103    6285     1
 726  11:44:54.8  19:46:35   1   90.254     0   103    8225     1
 727  11:44:57.2  19:44:06   1   90.254     0   103    6892     1
 728  11:45:03.9  19:37:14   1   90.254     0   103    6511     1
 729  11:45:05.0  19:36:23   1   94.129     7     1    6511     1
 730  11:45:10.7  19:31:59   1   90.254     0   103    6459     1
 731  11:45:14.8  19:50:44   1   90.254     0   103    7739     1
 732  11:45:25.3  19:17:53   1   90.254     0   103    6445     1
 733  11:45:25.5  19:49:05   1  119.296     0   101    8470     1
 734  11:45:27.6  20:48:26   1   90.254     0   103    6935     1
 735  11:45:28.1  20:17:39   1   90.254     0   103    5733     1
 736  11:45:29.6  19:24:01   1   90.254     0   103    7520     1
 737  11:45:29.9  19:26:41   1   90.254     0   103    6401     1
 738  11:45:35.3  19:24:59   1   90.254     0   103    7431     1
 739  11:45:41.2  19:46:13   1   90.254     0   103    5449     1
 740  11:45:46.1  19:46:26   1   87.036    11     1    5434     1
 741  11:45:49.4  19:46:03   1   90.254     0   103    6958     1
 742  11:45:58.7  19:31:44   1   90.254     0   103    5486     1
 743  11:46:03.1  19:26:13   1   90.254     0   103    5196     1
 744  11:46:06.2  19:47:25   1   90.254     0   103    5685     1
 745  11:46:06.3  19:38:04   1   90.254     0   103    6282     1
 746  11:46:55.6 -05:11:16   1   37.100     1     2    2562     1
 747  11:47:05.6  19:50:14   1   96.350     2     1    5896     1
 748  11:48:03.3  20:00:23   1  105.000     1     1    7246     1
 749  11:49:13.2 -29:16:36   1   24.660    10     1    1576     1
 750  11:50:41.5  20:00:55   1   90.254     0   103    6195     1
 751  11:50:50.7  20:02:56   1   90.254     0   103    6491     1
 752  11:51:05.4  20:08:48   1   90.254     0   103    6235     1
 753  11:52:42.6  20:37:53   1  109.500     2     1    6668     1
 754  11:52:43.1  20:35:38   1   90.254     0   103    7102     1
 755  11:52:46.4  20:59:21   1   92.075     4     1    6420     1
 756  11:52:49.3  20:40:12   1   90.254     0   103    6760     1
 757  11:52:55.3  36:59:11   1   14.175     4     1     930     1
 758  11:53:01.9  20:41:11   1  205.915     0   101   14620     1
 759  11:53:11.0  20:39:32   1   97.423     0   103    6858     1
 760  11:53:13.7  60:40:32   1   21.767     3     1    1281     1
 761  11:53:27.9  20:41:40   1   90.254     0   103    6813     1
 762  11:53:28.6  20:29:08   1   90.254     0   103    6721     1
 763  11:57:56.1  55:27:13   1   21.925     4     1    1048     1
 764  11:59:25.2  50:57:42   1   15.175     4     1     715     1
 765  12:01:26.7  61:53:45   1   20.800     3     1    1385     1
 766  12:04:47.6  10:35:44   1   48.850     2     1    2546     1
 767  12:07:03.1  43:03:57   1   15.550     4     1     792     1
 768  12:08:06.0  65:10:27   1   24.422     9     1    1356     1
 769  12:08:09.6  10:22:44   1   17.803     3     1    1656     1
 770  12:09:22.2  13:59:33   1   18.100     6     1    1457     1
 771  12:09:36.0  42:32:03   1   17.900     5     1     946     1
 772  12:10:23.1  10:11:19   1   16.475     8     1    1716     1
 773  12:10:33.6  30:24:06   1   14.120     5     1     208     1
 774  12:11:02.7  12:06:14   1   16.500     1     4    1894     1
 775  12:11:07.7  14:16:29   1   19.800     5     1     485     1
 776  12:12:17.3  13:12:19   1   31.771     7     1    2286     1
 777  12:12:52.1  01:17:59   1   19.600     3     1    1300     1
 778  12:13:50.4  07:12:03   1   45.100     2     1    2646     1
 779  12:15:05.0  33:11:50   1   14.940     5     1    1086     1
 780  12:15:12.5  14:25:58   1   17.271     7     1     993     1
 781  12:15:54.5  06:24:04   1   28.900     2     1    2011     1
 782  12:15:56.3  14:25:59   1   15.050     2     1    1186     1
 783  12:16:33.7  13:01:54   1   21.817     6     1      16     1
 784  12:17:07.7  07:37:28   1   35.980     5     1    2306     1
 785  12:17:19.6  11:56:36   1   17.700     7     1    1429     1
 786  12:17:59.4  05:35:55   1   38.700     1     2    2618     1
