Positions, redshifts and distances of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (2) in Dabringhausen & Fellhauer (2015).

The Table contains the following data:
Column 1: The running number that identifies the galaxies within this catalog. The galaxies are ordered by ascending right ascension.
Column 2: The right ascension for the epoch J2000.0.
Column 3: The declination for the epoch J2000.0.
Column 4: The origin of the data for right ascension and declination.
Column 5: The distance of the galaxies in Mpc.
Column 6: The origin of the distance estimate.
Column 7: The number of redshift-independent estimates from which the mean of the redshift-independent estimates quoted in this catalogue was calculated.
Column 8: The radial velocities of the galaxies.
Column 9: The source for the radial velocity of the galaxy.

For a detailed description of the data in this table, see Section (4) in Dabringhausen & Fellhauer (2015).

------------------------------------------------------------------
  id         asc       dec   s.       d   N_d     s.  v_rad     s.
         [h:m:s]   [d:m:s]        [Mpc]              [km/s]
------------------------------------------------------------------
  87  01:23:24.1  09:26:01   1   32.300     1     2    2261     1
  88  01:23:27.9  33:12:16   1   64.600     2     1    4226     1
  89  01:23:28.1  33:04:59   1   71.704     0   103    5023     1
  90  01:23:28.4  33:19:54   1   71.704     0   103    5922     1
  91  01:23:39.9  33:15:22   1   62.700     4     1    4934     1
  92  01:23:40.6  33:16:49   1   87.350     2     1    5526     1
  93  01:23:43.2  33:24:59   1   71.704     0   103    5601     1
  94  01:23:47.8  33:03:19   1   71.704     0   103    4566     1
  95  01:23:49.5  33:09:23   1   71.704     0   103    4636     1
  96  01:23:58.5  33:18:48   1   71.704     0   103    5022     1
  97  01:24:08.1  09:33:06   1   34.700     1     2    2437     1
  98  01:24:10.9  32:45:58   1   71.704     0   103    6024     1
  99  01:24:25.8  33:24:25   1   71.704     0   103    4983     1
 100  01:24:38.6  33:28:22   1   78.600     2     1    5097     1
 101  01:24:39.5  33:14:09   1   71.704     0   103    5525     1
 102  01:24:43.8  33:25:46   1   57.650     2     1    4202     1
 103  01:24:47.7  09:32:20   1   27.471    14     1    2403     1
 104  01:24:52.9  09:42:12   1   30.700     1     2    2139     1
 105  01:25:33.6  33:40:18   1   71.200     2     1    4807     1
 106  01:25:36.1  34:44:11   1   71.704     0   103    4843     1
 107  01:25:40.4  34:42:48   1   67.950     2     1    4822     1
 108  01:25:42.7  33:05:16   1   71.704     0   103    4301     1
 109  01:25:55.4  33:26:14   1  206.493     0   101   14661     1
 110  01:26:12.6  33:24:18   1   71.704     0   103    5117     1
 111  01:26:18.9  34:45:14   1   71.704     0   103    4660     1
 112  01:26:30.9  34:40:31   1   71.704     0   103    4662     1
 113  01:27:40.0  28:05:25   1    0.904     3     1    -129     4
 114  01:29:21.8  38:43:08   1    0.749     3     1       0   107
 115  01:31:20.7 -06:52:05   1   19.930    10     1    1802     1
 116  01:39:06.5 -07:30:45   1   26.040    10     1    1860     1
 117  01:44:14.6  28:42:21   1   37.300     8     1    3815     1
 118  01:49:02.2  35:14:02   1   68.958     0   103    4423     1
 119  01:49:05.8  34:58:59   1   67.950     2     1    3855     1
 120  01:49:15.7  35:04:23   1   68.958     0   103    5005     1
 121  01:49:18.1  34:58:06   1   68.958     0   103    4014     1
 122  01:49:21.2  36:14:24   1   68.958     0   103    4041     1
 123  01:49:25.7  35:27:10   1   72.420     5     1    4146     1
 124  01:49:43.8  35:47:08   1   63.460     5     1    5049     1
 125  01:49:47.3  21:58:15   1   34.850     8     1    2928     1
 126  01:50:14.8  36:13:43   1   68.958     0   103    5175     1
 127  01:50:22.4  35:59:00   1  205.915     0   101   14620     1
 128  01:50:24.2  36:20:26   1   68.958     0   103    4932     1
 129  01:50:33.2  36:22:15   1   63.720     5     1    5091     1
 130  01:50:51.2  36:16:33   1   73.533     3     1    5171     1
 131  01:50:56.6  36:08:41   1  205.746     0   101   14608     1
 132  01:51:06.3 -44:26:41   1    0.418    23     1      56     1
 133  01:51:18.8  34:52:22   1   68.958     0   103    5048     1
 134  01:51:26.4  35:56:04   1  109.845     0   101    7799     1
 135  01:51:32.5  35:52:32   1   68.958     0   103    4933     1
 136  01:52:06.8  35:24:53   1   68.958     0   103    4877     1
 137  01:52:12.7  36:05:51   1   70.500     2     1    4268     1
 138  01:52:16.8  36:02:12   1   68.958     0   103    4576     1
 139  01:52:24.8  35:51:23   1   53.850     2     1    4064     1
 140  01:52:27.9  36:29:53   1   68.958     0   103    4550     1
 141  01:52:32.6  36:06:55   1   68.958     0   103    4293     1
 142  01:52:37.7  36:07:37   1   68.958     0   103    4728     1
 143  01:52:39.6  36:10:17   1   65.400     1     1    5580     1
 144  01:52:40.0  36:08:28   1   68.958     0   103    5425     1
 145  01:52:40.0  36:07:15   1   68.958     0   103    4730     1
 146  01:52:41.5  36:08:38   1   68.958     0   103    4514     1
 147  01:52:46.5  36:09:07   1   63.000    11     1    4855     1
 148  01:52:50.6  36:13:24   1   68.958     0   103    3576     1
 149  01:52:50.7  36:09:06   1   68.958     0   103    5517     1
 150  01:53:00.5 -13:44:19   1   23.738    13     1    1745     1
 151  01:53:08.4  36:49:11   1   71.400     3     1    5330     1
 152  01:53:09.4  36:20:46   1   68.958     0   103    5006     1
 153  01:53:14.7  36:20:02   1   68.958     0   103    4973     1
 154  01:53:21.7  36:21:37   1   68.958     0   103    4246     1
 155  01:53:22.9  36:57:19   1   68.958     0   103    5254     1
 156  01:53:23.8  36:00:44   1   68.958     0   103    4832     1
 157  01:53:29.6  36:13:17   1   68.958     0   103    4418     1
 158  01:53:41.5  36:18:49   1   68.958     0   103    4709     1
 159  01:53:50.1  36:21:01   1   68.958     0   103    4156     1
 160  01:53:55.1  36:13:46   1   68.958     0   103    4968     1
 161  01:53:56.9  36:38:28   1   68.958     0   103    5679     1
 162  01:54:11.3  35:55:20   1   68.958     0   103    4285     1
 163  01:54:53.6  37:31:44   1   68.958     0   103    4589     1
 164  01:55:10.8  36:15:39   1   68.958     0   103    4540     1
 165  01:55:21.2  36:18:25   1   68.958     0   103    4368     1
 166  01:55:29.4  36:33:43   1   66.100     2     1    5278     1
 167  01:56:27.7  36:48:08   1   68.958     0   103    5894     1
 168  01:56:43.9  36:23:04   1   68.958     0   103    4677     1
 169  01:57:37.7  37:27:23   1   68.958     0   103    5487     1
 170  01:57:38.9  36:15:19   1   68.958     0   103    4540     1
 171  01:57:50.3  36:20:35   1   71.500     5     1    4667     1
 172  01:58:05.6  37:34:41   1   68.958     0   103    4686     1
 173  01:59:13.6  18:57:17   1   32.300     1     1    2543     1
 174  02:00:11.5  38:01:17   1   61.550     2     1    4209     1
 175  02:00:14.9  31:25:46   1   62.250     4     1    5015     1
 176  02:08:21.1  10:59:42   1   23.975    12     1    1735     1
 177  02:19:16.0  20:10:31   1    0.035     1     1     -39     1
 178  02:27:37.4 -01:09:23   1   20.683     6     1    1430     1
 179  02:39:59.3 -34:26:57   1    0.139    42     1      53     1
 180  02:40:24.0  39:03:48   1   11.581    16     1     637     1
 181  02:41:04.8 -08:15:21   1   19.482    11     1    1510     1
 182  02:50:39.2 -01:44:03   1   35.300     1     2    2558     1
 183  03:08:56.7 -02:57:19   1   31.000     1     1    2422     1
 184  03:12:48.5 -05:13:29   1   30.400     1     2    2217     1
 185  03:16:00.7 -02:25:38   1   29.900     1     2    2170     1
 186  03:18:49.8 -01:58:24   1   30.250     2     1    2792     1
 187  03:22:22.7 -37:23:54   1   22.633     3     1    1407     1
 188  03:22:41.7 -37:12:30   1   20.229    93     1    1760     1
 189  03:23:33.4 -36:59:02   1   18.967     0   105    1347   104
 190  03:23:37.2 -35:46:42   1   17.275     4     1    1823     1
 191  03:24:17.7 -35:15:42   1   18.967     0   105    1542   104
 192  03:24:58.4 -37:00:34   1   16.900     1     1    1800     1
 193  03:25:09.5 -36:33:11   1   18.967     0   105    1347   104
 194  03:25:12.1 -32:54:09   1   18.967     0   105    2308   104
 195  03:25:24.6 -36:44:41   1   18.967     0   105    1347   104
 196  03:25:35.9 -32:57:35   1   18.967     0   105    1347   104
 197  03:25:46.2 -35:30:30   1   18.967     0   105    1347   104
 198  03:26:02.2 -32:53:40   1   19.233     9     1    1323     1
 199  03:26:07.4 -35:07:39   1   18.967     0   105    1232   104
 200  03:26:25.0 -37:07:41   1   31.268     0   101    2220     1
 201  03:26:32.2 -35:42:49   1   21.525     8     1    1418     1
 202  03:26:42.5 -34:32:50   1   18.967     0   105    1439   104
 203  03:26:43.4 -37:17:55   1   18.967     0   105    1347   104
 204  03:26:51.9 -36:47:55   1   18.967     0   105    1347   104
 205  03:26:54.1 -35:31:04   1   20.400     1     1    1448   101
 206  03:27:08.1 -34:23:59   1   18.967     0   105    1347   104
 207  03:27:18.0 -34:31:35   1   21.180     5     1    1279     1
 208  03:27:21.6 -36:08:47   1   18.967     0   105    1347   104
 209  03:27:27.9 -35:55:24   1   18.967     0   105    1347   104
 210  03:27:34.8 -37:30:18   1   18.967     0   105    1347   104
 211  03:27:46.6 -33:33:51   1   18.967     0   105    1347   104
 212  03:28:00.0 -33:39:45   1   18.967     0   105    1347   104
 213  03:28:06.6 -32:17:10   1   20.845    22     1    1392     1
 214  03:28:06.7 -35:14:12   1   18.967     0   105    1347   104
 215  03:28:28.2 -33:44:02   1   18.967     0   105    1347   104
 216  03:28:51.8 -33:50:40   1   18.967     0   105    2030   104
 217  03:28:56.8 -36:26:10   1   18.967     0   105    1347   104
 218  03:29:33.3 -35:51:59   1   18.967     0   105    1347   104
 219  03:29:42.0 -36:13:17   1   18.967     0   105    1347   104
 220  03:29:45.5 -35:22:42   1   18.967     0   105    1347   104
