SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
 395   18.35    0.43    1002   17.20    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 396   16.26    0.43    1002   14.91    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 397   19.09    0.43    1002   18.00    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 398   19.36    0.43    1002   18.31    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 399   18.27    0.43    1002   17.11    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 400   19.18    0.43    1002   18.10    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 401   17.99    0.43    1002   16.81    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 402   16.46    0.43    1002   15.12    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 403   18.48    0.43    1002   17.34    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 404   15.36    0.43    1012   13.82    0.43    1012   13.15    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 405   18.64    0.43    1002   17.51    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 406   15.41    0.43    1002   13.97    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 407   18.57    0.43    1002   17.48    0.43    1002   17.30    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 408   12.32    0.43    1012   10.53    0.43    1012    9.74    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 409   13.51    0.43    1012   11.61    0.43    1012   10.81    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 410   19.35    0.03       2   17.78    0.04       2   17.09    0.04       2   16.72    0.04       2   -9.99   -9.99       0
 411   18.48    0.02       2   16.96    0.03       2   16.24    0.03       2   15.89    0.03       2   -9.99   -9.99       0
 412   20.35    0.12       2   18.93    0.14       2   18.36    0.06       2   17.99    0.07       2   -9.99   -9.99       0
 413   20.13    0.17       2   18.91    0.06       2   18.29    0.06       2   17.99    0.04       2   -9.99   -9.99       0
 414   20.07    0.05       2   18.48    0.03       2   17.96    0.06       2   17.69    0.06       2   -9.99   -9.99       0
 415   18.26    0.02       2   16.72    0.03       2   16.01    0.03       2   15.66    0.03       2   -9.99   -9.99       0
 416   19.56    0.07       2   18.45    0.03       2   17.97    0.05       2   17.73    0.04       2   -9.99   -9.99       0
 417   21.33    0.08       2   19.80    0.09       2   19.14    0.06       2   18.81    0.08       2   -9.99   -9.99       0
 418   19.82    0.05       2   18.30    0.04       2   17.61    0.04       2   17.28    0.05       2   -9.99   -9.99       0
 419   20.88    0.09       2   19.56    0.04       2   18.88    0.15       2   18.66    0.07       2   -9.99   -9.99       0
 420   20.30    0.04       2   18.83    0.07       2   18.18    0.04       2   17.85    0.04       2   -9.99   -9.99       0
 421   20.83    0.07       2   19.40    0.04       2   18.90    0.07       2   18.65    0.07       2   -9.99   -9.99       0
 422   19.88    0.03       2   18.36    0.05       2   17.73    0.05       2   17.38    0.06       2   -9.99   -9.99       0
 423   20.23    0.05       2   18.99    0.07       2   18.40    0.06       2   18.08    0.04       2   -9.99   -9.99       0
 424   18.93    0.05       2   17.37    0.04       2   16.67    0.03       2   16.35    0.04       2   -9.99   -9.99       0
 425   19.38    0.03       2   17.75    0.05       2   16.97    0.04       2   16.57    0.03       2   -9.99   -9.99       0
 426   18.96    0.04       2   17.24    0.03       2   16.47    0.04       2   16.09    0.04       2   -9.99   -9.99       0
 427   18.87    0.03       2   17.33    0.03       2   16.61    0.03       2   16.26    0.03       2   -9.99   -9.99       0
 428   20.89    0.15       2   19.44    0.13       2   18.86    0.04       2   18.53    0.07       2   -9.99   -9.99       0
 429   20.21    0.03       2   18.54    0.06       2   17.61    0.06       2   17.24    0.08       2   -9.99   -9.99       0
 430   19.98    0.02       2   18.08    0.04       2   17.27    0.05       2   16.85    0.04       2   -9.99   -9.99       0
 431   21.48    0.20       2   19.88    0.10       2   19.07    0.10       2   18.74    0.11       2   -9.99   -9.99       0
 432   20.84    0.04       2   19.33    0.03       2   18.64    0.05       2   18.28    0.10       2   -9.99   -9.99       0
 433   18.84    0.04       2   17.03    0.04       2   16.18    0.04       2   15.75    0.03       2   -9.99   -9.99       0
 434   19.56    0.05       2   17.86    0.04       2   17.08    0.04       2   16.66    0.04       2   -9.99   -9.99       0
 435   20.24    0.06       2   18.58    0.04       2   17.85    0.02       2   17.56    0.02       2   -9.99   -9.99       0
 436   19.05    0.03       2   17.59    0.04       2   16.85    0.04       2   16.46    0.04       2   -9.99   -9.99       0
 437   19.57    0.03       2   18.09    0.03       2   17.37    0.03       2   16.99    0.04       2   -9.99   -9.99       0
 438   20.59    0.14       2   19.14    0.07       2   18.56    0.04       2   18.24    0.27       2   -9.99   -9.99       0
 439   19.63    0.06       2   18.17    0.06       2   17.54    0.03       2   17.18    0.06       2   -9.99   -9.99       0
 440   18.69    0.04       2   17.06    0.04       2   16.35    0.03       2   16.00    0.03       2   -9.99   -9.99       0
 441   19.97    0.06       2   18.41    0.04       2   17.70    0.03       2   17.38    0.07       2   -9.99   -9.99       0
 442   19.08    0.02       2   17.54    0.03       2   16.86    0.04       2   16.48    0.04       2   -9.99   -9.99       0
 443   20.79    0.11       2   19.41    0.09       2   18.80    0.10       2   18.47    0.09       2   -9.99   -9.99       0
 444   20.40    0.05       2   19.00    0.10       2   18.44    0.09       2   18.25    0.08       2   -9.99   -9.99       0
 445   19.17    0.06       2   17.77    0.04       2   17.09    0.05       2   16.73    0.04       2   -9.99   -9.99       0
 446   20.72    0.13       2   19.37    0.07       2   18.69    0.07       2   18.43    0.06       2   -9.99   -9.99       0
 447   18.72    0.02       2   17.52    0.04       2   16.96    0.03       2   16.63    0.03       2   -9.99   -9.99       0
 448   19.40    0.03       2   17.99    0.04       2   17.35    0.04       2   17.01    0.04       2   -9.99   -9.99       0
 449   18.69    0.03       2   17.16    0.03       2   16.42    0.03       2   16.08    0.03       2   -9.99   -9.99       0
 450   18.41    0.02       2   16.75    0.03       2   16.01    0.04       2   15.66    0.04       2   -9.99   -9.99       0
 451   20.20    0.05       2   18.82    0.12       2   18.14    0.10       2   17.83    0.14       2   -9.99   -9.99       0
 452   20.12    0.05       2   18.70    0.07       2   18.08    0.03       2   17.77    0.06       2   -9.99   -9.99       0
 453   18.88    0.02       2   17.25    0.03       2   16.55    0.03       2   16.16    0.03       2   -9.99   -9.99       0
 454   20.38    0.09       2   18.89    0.03       2   18.25    0.09       2   17.94    0.10       2   -9.99   -9.99       0
 455   18.59    0.03       2   17.96    0.05       2   17.81    0.06       2   17.68    0.06       2   -9.99   -9.99       0
 456   14.72    0.01       1   12.91    0.00       1   12.22    0.00       1   11.87    0.00       1   11.67    0.00       1
 457   15.96    0.01       1   14.10    0.00       1   13.32    0.00       1   12.93    0.00       1   12.65    0.00       1
 458   13.81    0.00       1   11.91    0.00       1   11.12    0.00       1   10.76    0.00       1   10.42    0.00       1
 459   14.54    3.05    1002   14.11    1.70    1002   13.32    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 460   13.53    0.43    1012   11.71    0.43    1012   10.81    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 461   15.56    0.01       1   13.93    0.00       1   13.23    0.00       1   12.88    0.00       1   12.69    0.00       1
 462   14.94    0.00       1   13.11    0.00       1   12.24    0.00       1   11.82    0.00       1   11.54    0.00       1
 463   15.91    0.01       1   14.06    0.00       1   13.25    0.00       1   12.87    0.00       1   12.60    0.00       1
 464   15.65    0.01       1   13.82    0.00       1   13.01    0.00       1   12.64    0.00       1   12.33    0.00       1
 465   13.71    0.00       1   11.80    0.00       1   11.02    0.00       1   11.99    0.01       1   10.36    0.00       1
 466   16.64    0.01       1   14.87    0.00       1   14.09    0.00       1   13.75    0.00       1   13.47    0.00       1
 467   15.41    0.01       1   13.52    0.00       1   12.70    0.00       1   12.30    0.00       1   11.98    0.00       1
 468   16.28    0.01       1   15.29    0.00       1   14.80    0.00       1   14.59    0.00       1   14.37    0.01       1
 469   17.60    0.03       1   15.76    0.00       1   15.01    0.00       1   14.69    0.00       1   14.45    0.01       1
 470   15.62    0.01       1   13.74    0.00       1   12.93    0.00       1   12.56    0.00       1   12.18    0.00       1
 471   15.28    0.01       1   13.41    0.00       1   12.59    0.00       1   12.20    0.00       1   11.86    0.00       1
 472   14.54    0.01       1   12.58    0.00       1   11.76    0.00       1   11.34    0.00       1   11.03    0.00       1
 473   17.34    0.01       1   15.53    0.00       1   14.76    0.00       1   14.41    0.00       1   14.06    0.00       1
 474   16.27    0.01       1   14.40    0.00       1   13.58    0.00       1   13.24    0.00       1   12.95    0.00       1
 475   17.42    0.02       1   15.63    0.00       1   14.90    0.00       1   14.56    0.00       1   14.26    0.00       1
 476   14.50    0.00       1   12.62    0.00       1   11.81    0.00       1   11.38    0.00       1   11.10    0.00       1
 477   16.61    0.01       1   14.78    0.00       1   14.01    0.00       1   13.63    0.00       1   13.34    0.00       1
 478   15.49    0.01       1   13.81    0.00       1   13.05    0.00       1   12.69    0.00       1   12.44    0.00       1
 479   14.69    0.00       1   12.80    0.00       1   12.01    0.00       1   11.59    0.00       1   11.10    0.00       1
 480   15.62    0.01       1   13.97    0.00       1   13.17    0.00       1   12.83    0.00       1   12.51    0.00       1
 481   14.79    0.00       1   13.05    0.00       1   12.29    0.00       1   11.87    0.00       1   11.59    0.00       1
 482   15.43    3.05    1002   15.31    1.70    1002   14.37    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 483   15.28    0.01       1   13.47    0.00       1   12.75    0.00       1   12.40    0.00       1   12.14    0.00       1
 484   14.29    0.43    1002   12.62    0.43    1002   11.87    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 485   13.65    0.00       1   11.85    0.00       1   11.07    0.00       1   10.69    0.00       1   10.72    0.00       1
 486   14.63    0.43    1002   13.04    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 487   15.00    0.43    1002   13.46    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 488   16.94    0.01       1   15.01    0.00       1   14.22    0.00       1   13.83    0.00       1   13.52    0.00       1
 489   14.37    0.00       1   13.10    0.00       1   12.48    0.00       1   12.16    0.00       1   11.86    0.00       1
 490   12.31    0.43    1012   10.48    0.43    1012    9.74    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 491   14.88    0.00       1   13.01    0.00       1   12.23    0.00       1   11.84    0.00       1   11.59    0.00       1
 492   16.45    3.05    1002   15.67    1.70    1002   14.89    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 493   15.47    0.01       1   13.77    0.00       1   12.99    0.00       1   12.60    0.00       1   12.33    0.00       1
 494   15.55    0.01       1   13.69    0.00       1   12.95    0.00       1   12.59    0.00       1   12.29    0.00       1
 495   13.65    0.00       1   11.78    0.00       1   10.99    0.00       1   10.60    0.00       1   10.33    0.00       1
 496   14.10    0.00       1   12.27    0.00       1   11.51    0.00       1   11.12    0.00       1   10.88    0.00       1
 497   11.80    0.43    1002   10.81    1.70    1002   10.75    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 498   14.67    0.01       1   12.65    0.00       1   11.77    0.00       1   11.35    0.00       1   11.05    0.00       1
 499   13.33    0.43    1012   11.55    0.43    1012   10.72    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 500   13.42    0.00       1   11.61    0.00       1   10.88    0.00       1   10.49    0.00       1   10.23    0.00       1
 501   15.33    0.01       1   13.60    0.00       1   12.85    0.00       1   12.45    0.00       1   12.23    0.00       1
 502   14.19    0.00       1   12.95    0.00       1   12.32    0.00       1   13.43    0.01       1   11.81    0.00       1
 503   16.02    0.01       1   14.34    0.00       1   13.57    0.00       1   13.27    0.00       1   13.02    0.00       1
 504   13.57    0.43    1002   11.74    0.43    1002   11.01    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 505   15.02    0.00       1   13.67    0.00       1   13.20    0.00       1   12.94    0.00       1   12.76    0.00       1
 506   14.35    0.00       1   12.71    0.00       1   11.97    0.00       1   11.54    0.00       1   11.29    0.00       1
 507   15.27    0.00       1   14.33    0.00       1   13.78    0.00       1   13.60    0.00       1   13.40    0.00       1
 508   16.42    0.01       1   14.80    0.00       1   14.09    0.00       1   13.74    0.00       1   13.44    0.00       1
 509   13.76    3.05    1002   13.56    1.70    1002   12.36    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 510    7.06    0.43    1012    5.59    0.43    1012    5.59    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 511   14.18    0.00       1   12.70    0.00       1   12.17    0.00       1   11.97    0.00       1   11.69    0.00       1
 512   15.08    0.00       1   13.47    0.00       1   12.81    0.00       1   12.46    0.00       1   12.22    0.00       1
 513   15.15    3.05    1002   14.81    1.70    1002   13.94    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 514   13.39    0.00       1   11.60    0.00       1   10.80    0.00       1   10.37    0.00       1   10.14    0.00       1
 515   14.85    0.01       1   12.83    0.00       1   12.06    0.00       1   11.70    0.00       1   11.48    0.00       1
 516   14.01    0.00       1   12.11    0.00       1   11.25    0.00       1   10.84    0.00       1   10.56    0.00       1
 517   14.76    0.00       1   12.74    0.00       1   11.78    0.00       1   11.37    0.00       1   11.14    0.00       1
 518   13.50    0.00       1   11.58    0.00       1   10.71    0.00       1   10.35    0.00       1   10.03    0.00       1
 519   14.60    0.00       1   12.90    0.00       1   12.20    0.00       1   11.86    0.00       1   11.62    0.00       1
 520   11.65    3.05    1002   10.94    1.70    1002   10.90    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 521   -9.99   -9.99       0   -9.99   -9.99       0   21.63    1.25    1034   21.31    1.40    1004   21.25    1.50    1004
 522   -9.99   -9.99       0   -9.99   -9.99       0   22.26    1.25    1034   22.12    1.40    1004   22.09    1.50    1004
 523   -9.99   -9.99       0   -9.99   -9.99       0   12.63    0.43    1034   12.14    0.47    1004   11.78    0.53    1004
 524   -9.99   -9.99       0   -9.99   -9.99       0   21.80    1.25    1034   21.70    1.40    1004   21.66    1.50    1004
 525   -9.99   -9.99       0   -9.99   -9.99       0   14.93    0.43    1034   14.48    0.47    1004   14.19    0.53    1004
 526   -9.99   -9.99       0   -9.99   -9.99       0   21.54    1.25    1034   21.35    1.40    1004   21.30    1.50    1004
 527   -9.99   -9.99       0   -9.99   -9.99       0   21.59    1.25    1034   21.26    1.40    1004   21.20    1.50    1004
 528   -9.99   -9.99       0   -9.99   -9.99       0   23.26    1.25    1034   23.07    1.40    1004   23.08    1.50    1004
 529   -9.99   -9.99       0   -9.99   -9.99       0   22.68    1.25    1034   22.41    1.40    1004   22.39    1.50    1004
 530   -9.99   -9.99       0   -9.99   -9.99       0   21.79    1.25    1034   21.61    1.40    1004   21.57    1.50    1004
 531   -9.99   -9.99       0   -9.99   -9.99       0   22.26    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 532   -9.99   -9.99       0   -9.99   -9.99       0   14.91    0.43    1034   14.49    0.47    1004   14.22    0.53    1004
 533   -9.99   -9.99       0   -9.99   -9.99       0   22.35    1.25    1034   22.01    1.40    1004   21.98    1.50    1004
 534   -9.99   -9.99       0   -9.99   -9.99       0   21.35    1.25    1034   21.05    1.40    1004   20.99    1.50    1004
 535   -9.99   -9.99       0   -9.99   -9.99       0   18.66    0.43    1034   18.38    0.47    1004   18.23    0.53    1004
 536   -9.99   -9.99       0   -9.99   -9.99       0   21.72    1.25    1034   21.51    1.40    1004   21.47    1.50    1004
 537   -9.99   -9.99       0   -9.99   -9.99       0   21.81    1.25    1034   21.64    1.40    1004   21.60    1.50    1004
 538   -9.99   -9.99       0   -9.99   -9.99       0   21.70    1.25    1034   21.44    1.40    1004   21.40    1.50    1004
 539   -9.99   -9.99       0   -9.99   -9.99       0   17.60    0.43    1034   17.23    0.47    1004   17.05    0.53    1004
 540   -9.99   -9.99       0   -9.99   -9.99       0   21.83    1.25    1034   21.57    1.40    1004   21.52    1.50    1004
 541   -9.99   -9.99       0   -9.99   -9.99       0   23.37    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 542   -9.99   -9.99       0   -9.99   -9.99       0   14.04    0.43    1034   13.58    0.47    1004   13.27    0.53    1004
 543   -9.99   -9.99       0   -9.99   -9.99       0   21.81    1.25    1034   21.52    1.40    1004   21.47    1.50    1004
 544   -9.99   -9.99       0   -9.99   -9.99       0   22.15    1.25    1034   21.90    1.40    1004   21.87    1.50    1004
 545   -9.99   -9.99       0   -9.99   -9.99       0   19.46    0.43    1034   19.14    0.47    1004   19.02    0.53    1004
 546   -9.99   -9.99       0   -9.99   -9.99       0   14.35    0.43    1034   13.84    0.47    1004   13.54    0.53    1004
 547   -9.99   -9.99       0   -9.99   -9.99       0   20.88    1.25    1034   20.59    1.40    1004   20.52    1.50    1004
 548   -9.99   -9.99       0   -9.99   -9.99       0   21.19    1.25    1034   20.93    1.40    1004   20.86    1.50    1004
 549   -9.99   -9.99       0   -9.99   -9.99       0   21.07    1.25    1034   20.82    1.40    1004   20.75    1.50    1004
 550   -9.99   -9.99       0   -9.99   -9.99       0   21.61    1.25    1034   21.36    1.40    1004   21.31    1.50    1004
 551   -9.99   -9.99       0   -9.99   -9.99       0   19.43    0.43    1034   19.23    0.47    1004   19.11    0.53    1004
 552   -9.99   -9.99       0   -9.99   -9.99       0   22.29    1.25    1034   22.05    1.40    1004   22.02    1.50    1004
 553   -9.99   -9.99       0   -9.99   -9.99       0   21.79    1.25    1034   21.52    1.40    1004   21.47    1.50    1004
 554   -9.99   -9.99       0   -9.99   -9.99       0   20.04    0.43    1034   19.65    0.47    1004   19.55    0.53    1004
 555   -9.99   -9.99       0   -9.99   -9.99       0   22.41    1.25    1034   22.29    1.40    1004   22.27    1.50    1004
 556   -9.99   -9.99       0   -9.99   -9.99       0   16.20    0.43    1034   15.78    0.47    1004   15.54    0.53    1004
 557   -9.99   -9.99       0   -9.99   -9.99       0   23.26    1.25    1034   23.12    1.40    1004   23.13    1.50    1004
 558   -9.99   -9.99       0   -9.99   -9.99       0   12.18    0.43    1034   11.85    0.47    1004   11.49    0.53    1004
 559   -9.99   -9.99       0   -9.99   -9.99       0   21.38    1.25    1034   21.15    1.40    1004   21.09    1.50    1004
 560   -9.99   -9.99       0   -9.99   -9.99       0   19.91    0.43    1034   19.55    0.47    1004   19.45    0.53    1004
 561   -9.99   -9.99       0   -9.99   -9.99       0   22.03    1.25    1034   21.78    1.40    1004   21.74    1.50    1004
 562   -9.99   -9.99       0   -9.99   -9.99       0   22.03    1.25    1034   21.90    1.40    1004   21.87    1.50    1004
 563   -9.99   -9.99       0   -9.99   -9.99       0   20.78    1.25    1034   20.60    1.40    1004   20.52    1.50    1004
 564   -9.99   -9.99       0   -9.99   -9.99       0   21.84    1.25    1034   21.51    1.40    1004   21.46    1.50    1004
 565   -9.99   -9.99       0   -9.99   -9.99       0   22.77    1.25    1034   22.56    1.40    1004   22.55    1.50    1004
 566   -9.99   -9.99       0   -9.99   -9.99       0   19.85    0.43    1034   19.52    0.47    1004   19.41    0.53    1004
 567   -9.99   -9.99       0   -9.99   -9.99       0   21.95    1.25    1034   21.75    1.40    1004   21.71    1.50    1004
 568   -9.99   -9.99       0   -9.99   -9.99       0   22.91    1.25    1034   22.73    1.40    1004   22.72    1.50    1004
 569   -9.99   -9.99       0   -9.99   -9.99       0   18.57    0.43    1034   18.22    0.47    1004   18.07    0.53    1004
 570   -9.99   -9.99       0   -9.99   -9.99       0   19.94    0.43    1034   19.59    0.47    1004   19.48    0.53    1004
 571   -9.99   -9.99       0   -9.99   -9.99       0   21.73    1.25    1034   21.52    1.40    1004   21.48    1.50    1004
 572   -9.99   -9.99       0   -9.99   -9.99       0   14.07    0.43    1034   13.61    0.47    1004   13.30    0.53    1004
 573   -9.99   -9.99       0   -9.99   -9.99       0   19.39    0.43    1034   19.12    0.47    1004   19.00    0.53    1004
 574   -9.99   -9.99       0   -9.99   -9.99       0   20.83    1.25    1034   20.52    1.40    1004   20.44    1.50    1004
 575   -9.99   -9.99       0   -9.99   -9.99       0   11.40    0.43    1034   11.20    0.47    1004   10.81    0.53    1004
 576   -9.99   -9.99       0   -9.99   -9.99       0   17.01    0.43    1034   16.69    0.47    1004   16.47    0.53    1004
 577   -9.99   -9.99       0   -9.99   -9.99       0   18.58    0.43    1034   18.23    0.47    1004   18.08    0.53    1004
 578   -9.99   -9.99       0   -9.99   -9.99       0   19.60    0.43    1034   19.47    0.47    1004   19.36    0.53    1004
 579   -9.99   -9.99       0   -9.99   -9.99       0   20.08    0.43    1034   19.93    0.47    1004   19.83    0.53    1004
 580   -9.99   -9.99       0   -9.99   -9.99       0   21.24    1.25    1034   20.98    1.40    1004   20.92    1.50    1004
 581   -9.99   -9.99       0   -9.99   -9.99       0   20.09    0.43    1034   19.84    0.47    1004   19.74    0.53    1004
 582   -9.99   -9.99       0   -9.99   -9.99       0   14.23    0.43    1034   13.80    0.47    1004   13.49    0.53    1004
 583   -9.99   -9.99       0   -9.99   -9.99       0   20.54    1.25    1034   20.27    0.47    1004   20.18    0.53    1004
 584   -9.99   -9.99       0   -9.99   -9.99       0   19.95    0.43    1034   19.54    0.47    1004   19.43    0.53    1004
 585   -9.99   -9.99       0   -9.99   -9.99       0   21.56    1.25    1034   21.26    1.40    1004   21.21    1.50    1004
 586   -9.99   -9.99       0   -9.99   -9.99       0   17.84    0.43    1034   17.46    0.47    1004   17.30    0.53    1004
 587   -9.99   -9.99       0   -9.99   -9.99       0   18.26    0.43    1034   17.89    0.47    1004   17.74    0.53    1004
 588   -9.99   -9.99       0   -9.99   -9.99       0   21.56    1.25    1034   21.35    1.40    1004   21.30    1.50    1004
 589   -9.99   -9.99       0   -9.99   -9.99       0   10.46    0.43    1034    9.93    0.47    1004    9.51    0.53    1004
 590   -9.99   -9.99       0   -9.99   -9.99       0   20.77    1.25    1034   20.41    1.40    1004   20.33    0.53    1004
 591   -9.99   -9.99       0   -9.99   -9.99       0   21.56    1.25    1034   21.26    1.40    1004   21.21    1.50    1004
 592   -9.99   -9.99       0   -9.99   -9.99       0   17.12    0.43    1034   16.83    0.47    1004   16.66    0.53    1004
 593   -9.99   -9.99       0   -9.99   -9.99       0   16.16    0.43    1034   15.77    0.47    1004   15.54    0.53    1004
 594   -9.99   -9.99       0   -9.99   -9.99       0   22.24    1.25    1034   21.91    1.40    1004   21.88    1.50    1004
 595   -9.99   -9.99       0   -9.99   -9.99       0   18.26    0.43    1034   17.87    0.47    1004   17.70    0.53    1004
 596   -9.99   -9.99       0   -9.99   -9.99       0   17.86    0.43    1034   17.53    0.47    1004   17.38    0.53    1004
 597   -9.99   -9.99       0   -9.99   -9.99       0   22.23    1.25    1034   22.10    1.40    1004   22.08    1.50    1004
 598   -9.99   -9.99       0   -9.99   -9.99       0   17.12    0.43    1034   16.78    0.47    1004   16.59    0.53    1004
 599   -9.99   -9.99       0   -9.99   -9.99       0   22.43    1.25    1034   22.33    1.40    1004   22.31    1.50    1004
 600   -9.99   -9.99       0   -9.99   -9.99       0   20.29    0.43    1034   19.84    0.47    1004   19.74    0.53    1004
 601   13.84    0.00       1   12.16    0.00       1   11.42    0.00       1   11.06    0.00       1   10.83    0.00       1
 602   -9.99   -9.99       0   -9.99   -9.99       0   22.25    1.25    1034   22.09    1.40    1004   22.06    1.50    1004
 603   -9.99   -9.99       0   -9.99   -9.99       0   15.82    0.43    1034   15.44    0.47    1004   15.21    0.53    1004
 604   -9.99   -9.99       0   -9.99   -9.99       0   22.06    1.25    1034   21.85    1.40    1004   21.81    1.50    1004
 605   -9.99   -9.99       0   -9.99   -9.99       0   19.23    0.43    1034   18.88    0.47    1004   18.74    0.53    1004
 606   -9.99   -9.99       0   -9.99   -9.99       0   18.68    0.43    1034   18.44    0.47    1004   18.32    0.53    1004
 607   -9.99   -9.99       0   -9.99   -9.99       0   20.51    0.43    1034   20.23    0.47    1004   20.14    0.53    1004
 608   -9.99   -9.99       0   -9.99   -9.99       0   20.19    0.43    1034   19.92    0.47    1004   19.82    0.53    1004
 609   -9.99   -9.99       0   -9.99   -9.99       0   20.90    1.25    1034   20.67    1.40    1004   20.60    1.50    1004
 610   -9.99   -9.99       0   -9.99   -9.99       0   18.24    0.43    1034   17.97    0.47    1004   17.82    0.53    1004
 611   -9.99   -9.99       0   -9.99   -9.99       0   17.57    0.43    1034   17.27    0.47    1004   17.09    0.53    1004
 612   -9.99   -9.99       0   -9.99   -9.99       0   14.53    0.43    1034   14.11    0.47    1004   13.80    0.53    1004
 613   15.97    0.43    1002   14.47    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 614   -9.99   -9.99       0   -9.99   -9.99       0   20.07    0.43    1034   19.78    0.47    1004   19.68    0.53    1004
 615   -9.99   -9.99       0   -9.99   -9.99       0   13.98    0.43    1034   13.49    0.47    1004   13.16    0.53    1004
 616   -9.99   -9.99       0   -9.99   -9.99       0   16.86    0.43    1034   16.44    0.47    1004   16.23    0.53    1004
 617   -9.99   -9.99       0   -9.99   -9.99       0   20.20    0.43    1034   19.87    0.47    1004   19.77    0.53    1004
 618   -9.99   -9.99       0   -9.99   -9.99       0   22.52    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 619   -9.99   -9.99       0   -9.99   -9.99       0   19.93    0.43    1034   19.64    0.47    1004   19.54    0.53    1004
 620   -9.99   -9.99       0   -9.99   -9.99       0   21.41    1.25    1034   21.28    1.40    1004   21.23    1.50    1004
 621   -9.99   -9.99       0   -9.99   -9.99       0   17.40    0.43    1034   17.05    0.47    1004   16.86    0.53    1004
 622   -9.99   -9.99       0   -9.99   -9.99       0   19.21    0.43    1034   18.95    0.47    1004   18.82    0.53    1004
 623   -9.99   -9.99       0   -9.99   -9.99       0   20.80    1.25    1034   20.52    1.40    1004   20.45    1.50    1004
 624   -9.99   -9.99       0   -9.99   -9.99       0   22.79    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
