Standard-system magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (5) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent U-band magnitude, m_U, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_U.
Column 4: The sources for the quoted values for m_U and their uncertainties.
Column 5: The apparent B-band magnitude, m_B, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_B.
Column 7: The sources for the quoted values for m_B and their uncertainties. 
Column 8: The apparent V-band magnitude, m_V, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_V.
Column 10: The sources for the quoted values for m_V and their uncertainties.
Column 11: The apparent I-band magnitude, m_I, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_I.
Column 13: The sources for the quoted values for m_I and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   m_U      dm_U       s.  m_B      dm_B       s.  m_V      dm_V       s.  m_I      dm_I      s. 
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 224   -9.99   -9.99       0   16.00   -9.99       1   15.23   -9.99       5   14.21   -9.99       3
 225   -9.99   -9.99       0   17.27   -9.99       1   16.70   -9.99       5   -9.99   -9.99       0
 226   -9.99   -9.99       0   18.38   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 227   -9.99   -9.99       0   14.53   -9.99       1   13.78   -9.99       5   12.76   -9.99       3
 228   -9.99   -9.99       0   17.78   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 229   -9.99   -9.99       0   19.06   -9.99       1   18.61   -9.99       5   16.78   -9.99       3
 230   -9.99   -9.99       0   14.42   -9.99       1   13.60   -9.99       5   12.45   -9.99       3
 231   -9.99   -9.99       0   16.37   -9.99       1   18.23   -9.99       5   -9.99   -9.99       0
 232   -9.99   -9.99       0   16.98   -9.99       1   16.16   -9.99       5   15.33   -9.99       3
 233   -9.99   -9.99       0   17.15   -9.99       1   16.14   -9.99       5   -9.99   -9.99       0
 234   -9.99   -9.99       0   15.21   -9.99       1   14.44   -9.99       5   13.32   -9.99       3
 235   -9.99   -9.99       0   19.07   -9.99       1   19.38   -9.99       5   17.95   -9.99       3
 236   -9.99   -9.99       0   16.94   -9.99       1   17.19   -9.99       5   15.79   -9.99       3
 237   -9.99   -9.99       0   16.75   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 238   -9.99   -9.99       0   18.05   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 239   -9.99   -9.99       0   14.81   -9.99       1   14.11   -9.99       5   13.00   -9.99       3
 240   -9.99   -9.99       0   18.86   -9.99       1   18.70   -9.99       5   17.72   -9.99       3
 241   -9.99   -9.99       0   17.45   -9.99       1   16.27   -9.99       5   14.85   -9.99       3
 242   -9.99   -9.99       0   16.99   -9.99       1   16.26   -9.99       5   15.33   -9.99       3
 243   -9.99   -9.99       0   16.64   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 244   -9.99   -9.99       0   15.80   -9.99       1   15.33   -9.99       5   14.28   -9.99       3
 245   -9.99   -9.99       0   17.22   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 246   -9.99   -9.99       0   17.37   -9.99       1   16.86   -9.99       5   16.05   -9.99       3
 247   -9.99   -9.99       0   14.91   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 248   -9.99   -9.99       0   17.05   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 249   -9.99   -9.99       0   18.46   -9.99       1   18.53   -9.99       5   16.88   -9.99       3
 250   -9.99   -9.99       0   17.78   -9.99       1   17.44   -9.99       5   16.57   -9.99       3
 251   -9.99   -9.99       0   18.46   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 252   -9.99   -9.99       0   18.17   -9.99       1   17.49   -9.99       5   16.46   -9.99       3
 253   -9.99   -9.99       0   17.27   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 254   -9.99   -9.99       0   17.25   -9.99       1   16.67   -9.99       5   15.56   -9.99       3
 255   -9.99   -9.99       0   15.35   -9.99       1   14.71   -9.99       6   18.76   -9.99       6
 256   -9.99   -9.99       0   15.45   -9.99       1   14.70   -9.99       5   13.60   -9.99       3
 257   -9.99   -9.99       0   16.77   -9.99       1   16.84   -9.99       5   16.02   -9.99       3
 258   -9.99   -9.99       0   18.77   -9.99       1   18.01   -9.99       5   16.56   -9.99       3
 259   -9.99   -9.99       0   18.27   -9.99       1   17.79   -9.99       5   16.61   -9.99       3
 260   14.34   -9.99       1   14.03   -9.99       1   13.20   -9.99       1   11.79   -9.99       3
 261   -9.99   -9.99       0   18.97   -9.99       1   18.40   -9.99       5   17.42   -9.99       3
 262   -9.99   -9.99       0   19.37   -9.99       1   18.58    0.02       6   17.54    0.08       4
 263   12.38   -9.99       1   11.93   -9.99       1   11.04   -9.99       1    9.42   -9.99       3
 264   -9.99   -9.99       0   12.90   -9.99       1   11.85   -9.99       6   10.64   -9.99       6
 265   -9.99   -9.99       0   14.94   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 266   -9.99   -9.99       0   17.78   -9.99       1   17.07   -9.99       5   15.87   -9.99       3
 267   -9.99   -9.99       0   18.97   -9.99       1   18.50    0.03       6   17.43    0.04       4
 268   11.22   -9.99       1   10.80   -9.99       1    9.92   -9.99       1    8.37   -9.99       6
 269   -9.99   -9.99       0   13.74   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 270   -9.99   -9.99       0   18.08   -9.99       1   17.80   -9.99       5   16.82   -9.99       3
 271   -9.99   -9.99       0   17.10   -9.99       1   17.57   -9.99       5   16.45   -9.99       3
 272   -9.99   -9.99       0   18.08   -9.99       1   16.48   -9.99       5   15.42   -9.99       3
 273   -9.99   -9.99       0   16.90   -9.99       1   15.86   -9.99       5   15.00   -9.99       3
 274   -9.99   -9.99       0   17.88   -9.99       1   17.75   -9.99       5   16.77   -9.99       3
 275   12.14   -9.99       1   11.77   -9.99       1   10.90   -9.99       1   -9.99   -9.99       0
 276   -9.99   -9.99       0   17.48   -9.99       1   16.48   -9.99       5   15.38   -9.99       3
 277   -9.99   -9.99       0   19.58   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 278   -9.99   -9.99       0   16.06   -9.99       1   15.42   -9.99       5   14.34   -9.99       3
 279   -9.99   -9.99       0   17.28   -9.99       1   16.68   -9.99       5   15.68   -9.99       3
 280   12.76   -9.99       1   12.34   -9.99       1   11.46   -9.99       1    9.84   -9.99       6
 281   -9.99   -9.99       0   18.47   -9.99       1   18.26   -9.99       5   16.83   -9.99       3
 282   13.46   -9.99       1   13.20   -9.99       1   12.38   -9.99       1   10.97   -9.99       6
 283   -9.99   -9.99       0   17.55   -9.99       1   17.73   -9.99       5   16.45   -9.99       3
 284   -9.99   -9.99       0   17.78   -9.99       1   17.27   -9.99       5   16.20   -9.99       3
 285   -9.99   -9.99       0   16.35   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 286   -9.99   -9.99       0   13.96   -9.99       1   13.07   -9.99       1   11.62   -9.99       6
 287   -9.99   -9.99       0   16.99   -9.99       1   16.34   -9.99       5   15.26   -9.99       3
 288   -9.99   -9.99       0   17.82   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 289   -9.99   -9.99       0   17.02   -9.99       1   16.35   -9.99       5   15.20   -9.99       3
 290   -9.99   -9.99       0   16.91   -9.99       1   16.61   -9.99       5   15.64   -9.99       3
 291   -9.99   -9.99       0   14.73   -9.99       1   13.65   -9.99       5   12.51   -9.99       3
 292   12.19   -9.99       1   11.70   -9.99       1   10.74   -9.99       1    8.97   -9.99       3
 293   -9.99   -9.99       0   19.26   -9.99       1   19.02   -9.99       5   17.78   -9.99       3
 294   -9.99   -9.99       0   15.45   -9.99       1   15.99   -9.99       5   14.09   -9.99       3
 295   -9.99   -9.99       0   17.27   -9.99       1   15.20   -9.99       5   15.19   -9.99       3
 296   13.95   -9.99       1   13.70   -9.99       1   12.79   -9.99       1   11.15   -9.99       3
 297   -9.99   -9.99       0   19.07   -9.99       1   18.83   -9.99       5   17.62   -9.99       3
 298   -9.99   -9.99       0   19.38   -9.99       1   19.22    0.08       6   18.15    0.21       4
 299   12.72   -9.99       1   12.36   -9.99       1   11.47   -9.99       1    9.89   -9.99       3
 300   -9.99   -9.99       0   17.95   -9.99       1   17.16   -9.99       5   16.25   -9.99       4
 301   -9.99   -9.99       0   16.46   -9.99       1   15.93   -9.99       5   14.78   -9.99       3
 302   -9.99   -9.99       0   17.59   -9.99       1   16.76   -9.99       5   15.78   -9.99       3
 303   -9.99   -9.99       0   18.86   -9.99       1   18.49   -9.99       5   18.11   -9.99       3
 304   -9.99   -9.99       0   17.77   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 305   -9.99   -9.99       0   16.49   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 306   -9.99   -9.99       0   17.19   -9.99       1   16.43   -9.99       5   15.31   -9.99       3
 307   -9.99   -9.99       0   14.74   -9.99       1   13.59   -9.99       5   -9.99   -9.99       0
 308   -9.99   -9.99       0   15.37   -9.99       1   14.37   -9.99       5   13.46   -9.99       3
 309   -9.99   -9.99       0   16.09   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 310   -9.99   -9.99       0   15.69   -9.99       1   14.96   -9.99       6   14.00   -9.99       6
 311   -9.99   -9.99       0   17.33   -9.99       1   16.17   -9.99       5   15.23   -9.99       3
 312   -9.99   -9.99       0   18.94   -9.99       1   18.38   -9.99       5   13.82   -9.99       3
 313   -9.99   -9.99       0   16.04   -9.99       1   15.35   -9.99       5   14.31   -9.99       3
 314   10.85   -9.99       1   10.35   -9.99       1    9.42   -9.99       1   -9.99   -9.99       0
 315   -9.99   -9.99       0   18.78   -9.99       1   18.54   -9.99       5   17.17   -9.99       3
 316   11.04   -9.99       1   10.48   -9.99       1    9.56   -9.99       1   -9.99   -9.99       0
 317   -9.99   -9.99       0   18.98   -9.99       1   19.04   -9.99       5   18.20   -9.99       3
 318   -9.99   -9.99       0   18.27   -9.99       1   17.73   -9.99       5   16.65   -9.99       3
 319   -9.99   -9.99       0   19.27   -9.99       1   17.70   -9.99       5   16.02   -9.99       3
 320   11.37   -9.99       1   10.81   -9.99       1    9.87   -9.99       1   -9.99   -9.99       0
 321   -9.99   -9.99       0   17.37   -9.99       1   16.72   -9.99       5   15.75   -9.99       3
 322   -9.99   -9.99       0   15.24   -9.99       1   13.62   -9.99       5   12.46   -9.99       3
 323   -9.99   -9.99       0   16.05   -9.99       1   15.41    0.02       6   14.35    0.04       4
 324   -9.99   -9.99       0   16.40   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 325   -9.99   -9.99       0   17.57   -9.99       1   17.92    0.29       6   16.95   -9.99       3
 326   -9.99   -9.99       0   18.57   -9.99       1   18.54   -9.99       5   17.95   -9.99       3
 327   -9.99   -9.99       0   19.08   -9.99       1   18.99   -9.99       5   16.95   -9.99       3
 328   -9.99   -9.99       0   18.88   -9.99       1   17.83   -9.99       5   17.29   -9.99       3
 329   -9.99   -9.99       0   16.92   -9.99       1   16.39   -9.99       5   15.44   -9.99       3
 330   -9.99   -9.99       0   18.19   -9.99       1   17.40   -9.99       5   16.50   -9.99       3
 331   -9.99   -9.99       0   17.16   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 332   -9.99   -9.99       0   17.14   -9.99       1   16.19   -9.99       5   15.40   -9.99       3
 333   -9.99   -9.99       0   17.71   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 334   -9.99   -9.99       0   10.38   -9.99       1    9.43   -9.99       1   -9.99   -9.99       0
 335   -9.99   -9.99       0   16.17   -9.99       1   15.80   -9.99       5   14.90   -9.99       3
 336   -9.99   -9.99       0   16.22   -9.99       1   15.40   -9.99       5   14.39   -9.99       3
 337   -9.99   -9.99       0   17.57   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 338   -9.99   -9.99       0   17.94   -9.99       1   17.29   -9.99       5   15.97   -9.99       3
 339   -9.99   -9.99       0   18.88   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 340   -9.99   -9.99       0   15.57   -9.99       1   15.31   -9.99       6   13.76   -9.99       6
 341   -9.99   -9.99       0   17.59   -9.99       1   17.26   -9.99       5   16.68   -9.99       3
 342   -9.99   -9.99       0   17.22   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 343   13.73   -9.99       1   13.41   -9.99       1   12.55   -9.99       1   -9.99   -9.99       0
 344   -9.99   -9.99       0   18.78   -9.99       1   18.38   -9.99       5   17.46   -9.99       3
 345   -9.99   -9.99       0   15.67   -9.99       1   14.91   -9.99       5   13.78   -9.99       3
 346   -9.99   -9.99       0   16.17   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 347   -9.99   -9.99       0   17.57   -9.99       1   16.18   -9.99       5   15.70   -9.99       3
 348   -9.99   -9.99       0   13.71   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 349   -9.99   -9.99       0   19.88   -9.99       1   18.82   -9.99       5   -9.99   -9.99       0
 350   -9.99   -9.99       0   19.38   -9.99       1   20.29   -9.99       5   17.78   -9.99       3
 351   -9.99   -9.99       0   17.58   -9.99       1   17.17   -9.99       5   16.84   -9.99       3
 352   -9.99   -9.99       0   16.96   -9.99       1   16.26   -9.99       5   15.39   -9.99       3
 353   -9.99   -9.99       0   15.53   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 354   -9.99   -9.99       0   17.59   -9.99       1   17.04   -9.99       5   15.62   -9.99       3
 355   -9.99   -9.99       0   16.45   -9.99       1   15.82   -9.99       5   14.77   -9.99       3
 356   -9.99   -9.99       0   17.91   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 357   -9.99   -9.99       0   15.34   -9.99       1   14.54   -9.99       6   13.41   -9.99       6
 358   -9.99   -9.99       0   18.09   -9.99       1   17.76   -9.99       5   16.84   -9.99       3
 359   -9.99   -9.99       0   18.49   -9.99       1   18.02   -9.99       5   16.84   -9.99       3
 360   -9.99   -9.99       0   19.33   -9.99       1   18.96    0.11       6   17.93    0.18       4
 361   -9.99   -9.99       0   16.25   -9.99       1   15.60   -9.99       5   14.62   -9.99       3
 362   -9.99   -9.99       0   19.08   -9.99       1   19.13    0.09       6   17.24   -9.99       3
 363   12.12   -9.99       1   11.70   -9.99       1   10.82   -9.99       1    9.24   -9.99       3
 364   -9.99   -9.99       0   16.47   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 365   13.65    0.50    1012   14.06   -9.99       1   13.20   -9.99       1   11.65    0.45    1045
 366   -9.99   -9.99       0   18.38   -9.99       1   17.83   -9.99       5   16.89   -9.99       3
 367   -9.99   -9.99       0   16.55   -9.99       1   15.87   -9.99       5   14.74   -9.99       3
 368   -9.99   -9.99       0   17.69   -9.99       1   17.18   -9.99       5   16.16   -9.99       3
 369   -9.99   -9.99       0   14.28   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 370   -9.99   -9.99       0   17.83   -9.99       1   17.28   -9.99       5   16.19   -9.99       3
 371   -9.99   -9.99       0   18.49   -9.99       1   17.70   -9.99       5   16.76   -9.99       3
 372   -9.99   -9.99       0   14.15   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 373   -9.99   -9.99       0   16.89   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 374   -9.99   -9.99       0   17.55   -9.99       1   16.70   -9.99       5   15.45   -9.99       3
 375   -9.99   -9.99       0   16.97   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 376   -9.99   -9.99       0   16.01   -9.99       1   15.35   -9.99       5   14.32   -9.99       3
 377   -9.99   -9.99       0   17.59   -9.99       1   -9.99   -9.99       0   16.05   -9.99       3
 378   -9.99   -9.99       0   16.25   -9.99       1   15.61   -9.99       5   14.52   -9.99       3
 379   -9.99   -9.99       0   15.68   -9.99       1   14.98   -9.99       5   13.90   -9.99       3
 380   12.51   -9.99       1   12.14   -9.99       1   11.30   -9.99       1   -9.99   -9.99       0
 381   -9.99   -9.99       0   14.94   -9.99       1   14.65   -9.99       5   13.59   -9.99       3
 382   -9.99   -9.99       0   15.46   -9.99       5   -9.99   -9.99       0   -9.99   -9.99       0
 383   -9.99   -9.99       0   18.60   -9.99       1   17.57   -9.99       5   16.86   -9.99       3
 384   -9.99   -9.99       0   15.55   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 385   -9.99   -9.99       0   17.50   -9.99       1   16.68   -9.99       5   15.54   -9.99       3
 386   -9.99   -9.99       0   17.29   -9.99       1   18.04   -9.99       5   16.29   -9.99       3
 387   -9.99   -9.99       0   13.41   -9.99       1   12.19   -9.99       5   10.96   -9.99       3
 388   -9.99   -9.99       0   17.16   -9.99       1   16.45   -9.99       5   15.36   -9.99       3
 389   -9.99   -9.99       0   16.65   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 390   -9.99   -9.99       0   16.09   -9.99       1   15.41   -9.99       5   14.35   -9.99       3
 391   -9.99   -9.99       0   17.49   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 392   -9.99   -9.99       0   16.33   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 393   -9.99   -9.99       0   15.99   -9.99       3   15.13   -9.99       5   14.20   -9.99       3
 394   -9.99   -9.99       0   18.58   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 395   -9.99   -9.99       0   17.28   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 396   -9.99   -9.99       0   15.09   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 397   -9.99   -9.99       0   17.99   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 398   -9.99   -9.99       0   18.38   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 399   -9.99   -9.99       0   17.19   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 400   -9.99   -9.99       0   18.18   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 401   -9.99   -9.99       0   16.89   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 402   -9.99   -9.99       0   15.22   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 403   -9.99   -9.99       0   17.42   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 404   11.15   -9.99       1   10.94   -9.99       1   10.06   -9.99       1   -9.99   -9.99       0
 405   -9.99   -9.99       0   17.59   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 406   -9.99   -9.99       0   13.64   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 407   -9.99   -9.99       0    3.83   -9.99       4    3.60    0.30       4   -9.99   -9.99       0
 408   11.10   -9.99       1   10.61   -9.99       1    9.70   -9.99       1   -9.99   -9.99       0
 409   12.20   -9.99       1   11.68   -9.99       1   10.76   -9.99       1   -9.99   -9.99       0
 410   18.07    0.50    1012   17.71    0.43    1012   16.96    0.47    1023   16.09    0.45    1040
 411   17.26    0.50    1012   16.88    0.43    1012   16.14    0.47    1023   15.29    0.45    1040
 412   19.12    0.50    1012   18.77    0.43    1012   18.16    0.47    1023   17.32    0.45    1040
 413   18.99    0.50    1012   18.64    0.43    1012   18.11    0.47    1023   17.31    0.45    1040
 414   18.76    0.50    1012   18.41    0.43    1012   17.74    0.47    1023   17.02    0.45    1040
 415   17.04    0.50    1012   16.66    0.43    1012   15.90    0.47    1023   15.07    0.45    1040
 416   18.50    0.50    1012   18.14    0.43    1012   17.74    0.47    1023   17.07    0.45    1040
 417   20.01    0.50    1012   19.68    0.43    1012   18.98    0.47    1023   18.10    0.45    1040
 418   18.55    0.50    1012   18.20    0.43    1012   17.48    0.47    1023   16.63    0.45    1040
 419   19.67    0.50    1012   19.34    0.43    1012   18.73    0.47    1023   17.95    0.45    1040
 420   19.04    0.50    1012   18.70    0.43    1012   18.02    0.47    1023   17.18    0.45    1040
 421   19.57    0.50    1012   19.23    0.43    1012   18.66    0.47    1023   17.94    0.45    1040
 422   18.61    0.50    1012   18.26    0.43    1012   17.57    0.47    1023   16.73    0.45    1040
 423   19.09    0.50    1012   18.74    0.43    1012   18.21    0.47    1023   17.40    0.45    1040
 424   17.67    0.50    1012   17.30    0.43    1012   16.55    0.47    1023   15.74    0.45    1040
 425   18.08    0.50    1012   17.71    0.43    1012   16.89    0.47    1023   15.95    0.45    1040
 426   17.63    0.50    1012   17.26    0.43    1012   16.39    0.47    1023   15.49    0.45    1040
 427   17.63    0.50    1012   17.26    0.43    1012   16.50    0.47    1023   15.65    0.45    1040
 428   19.62    0.50    1012   19.28    0.43    1012   18.66    0.47    1023   17.83    0.45    1040
 429   18.86    0.50    1012   18.51    0.43    1012   17.60    0.47    1023   16.59    0.45    1040
 430   18.53    0.50    1012   18.18    0.43    1012   17.20    0.47    1023   16.22    0.45    1040
 431   20.13    0.50    1012   19.80    0.43    1012   18.99    0.47    1023   18.03    0.45    1040
 432   19.54    0.50    1012   19.21    0.43    1012   18.50    0.47    1023   17.59    0.45    1040
 433   17.47    0.50    1012   17.10    0.43    1012   16.14    0.47    1023   15.17    0.45    1040
 434   18.22    0.50    1012   17.86    0.43    1012   17.00    0.47    1023   16.04    0.45    1040
 435   18.90    0.50    1012   18.55    0.43    1012   17.74    0.47    1023   16.90    0.45    1040
 436   17.84    0.50    1012   17.47    0.43    1012   16.75    0.47    1023   15.84    0.45    1040
 437   18.34    0.50    1012   17.98    0.43    1012   17.26    0.47    1023   16.35    0.45    1040
 438   19.33    0.50    1012   18.99    0.43    1012   18.36    0.47    1023   -9.99   -9.99       0
 439   18.40    0.50    1012   18.04    0.43    1012   17.38    0.47    1023   16.53    0.45    1040
 440   17.41    0.50    1012   17.03    0.43    1012   16.24    0.47    1023   15.40    0.45    1040
 441   18.68    0.50    1012   18.32    0.43    1012   17.58    0.47    1023   16.73    0.45    1040
 442   17.83    0.50    1012   17.46    0.43    1012   16.73    0.47    1023   15.86    0.45    1040
 443   19.55    0.50    1012   19.22    0.43    1012   18.61    0.47    1023   17.77    0.45    1040
 444   19.17    0.50    1012   18.83    0.43    1012   18.24    0.47    1023   17.56    0.45    1040
 445   17.98    0.50    1012   17.62    0.43    1012   16.96    0.47    1023   16.10    0.45    1040
 446   19.51    0.50    1012   19.17    0.43    1012   18.54    0.47    1023   17.73    0.45    1040
 447   17.64    0.50    1012   17.27    0.43    1012   16.77    0.47    1023   16.01    0.45    1040
 448   18.20    0.50    1012   17.84    0.43    1012   17.20    0.47    1023   16.38    0.45    1040
 449   17.46    0.50    1012   17.08    0.43    1012   16.33    0.47    1023   15.48    0.45    1040
 450   17.13    0.50    1012   16.75    0.43    1012   15.92    0.47    1023   15.07    0.45    1040
 451   18.99    0.50    1012   18.64    0.43    1012   18.00    0.47    1023   17.16    0.45    1040
 452   18.89    0.50    1012   18.54    0.43    1012   17.91    0.47    1023   17.10    0.45    1040
 453   17.59    0.50    1012   17.22    0.43    1012   16.43    0.47    1023   15.56    0.45    1040
 454   19.11    0.50    1012   18.77    0.43    1012   18.09    0.47    1023   17.27    0.45    1040
 455   17.78    0.50    1012   17.41    0.43    1012   17.40    0.47    1023   17.02    0.45    1040
 456   13.47    0.50    1012   13.56   -9.99       1   12.19    0.47    1023   11.47    0.45    1045
 457   14.65    0.50    1012   14.52   -9.99       1   13.33    0.47    1023   12.44    0.45    1045
 458   12.26   -9.99       1   11.78   -9.99       1   10.89   -9.99       1   10.37    0.45    1045
 459   -9.99   -9.99       0   14.73   -9.99       4   14.00    0.30       4   -9.99   -9.99       0
 460   12.34   -9.99       1   11.73   -9.99       1   10.76   -9.99       1   -9.99   -9.99       0
 461   14.36    0.50    1012   14.41   -9.99       1   13.20    0.47    1023   12.41    0.45    1045
 462   14.09   -9.99       1   13.13   -9.99       1   12.30    0.47    1023   11.37    0.45    1045
 463   14.66    0.50    1012   14.58   -9.99       1   13.29    0.47    1023   12.47    0.45    1045
 464   14.41    0.50    1012   14.30   -9.99       1   13.05    0.47    1023   12.22    0.45    1045
 465   12.19   -9.99       1   11.81   -9.99       1   10.97   -9.99       1   10.81    0.45    1045
 466   15.39    0.50    1012   15.27   -9.99       1   14.11    0.47    1023   13.28    0.45    1045
 467   14.16    0.50    1012   14.02   -9.99       1   12.75    0.47    1023   11.90    0.45    1045
 468   15.02   -9.99       1   15.19   -9.99       1   14.72   -9.99       1   14.12    0.45    1045
 469   16.28    0.50    1012   16.26   -9.99       1   15.00    0.47    1023   14.19    0.45    1045
 470   14.28   -9.99       1   13.83   -9.99       1   13.02   -9.99       1   12.11    0.45    1045
 471   14.25   -9.99       1   13.69   -9.99       1   12.78   -9.99       1   11.79    0.45    1045
 472   13.28    0.50    1012   13.09   -9.99       1   12.15   -9.99       1   11.00    0.45    1045
 473   16.05    0.50    1012   15.97   -9.99       1   14.76    0.47    1023   13.87    0.45    1045
 474   14.99    0.50    1012   15.01   -9.99       1   13.62    0.47    1023   12.79    0.45    1045
 475   16.14    0.50    1012   15.44   -9.99       1   14.88    0.47    1023   14.03    0.45    1045
 476   13.70   -9.99       1   13.16   -9.99       1   12.23   -9.99       1   10.97    0.45    1045
 477   15.34    0.50    1012   14.93   -9.99       1   14.02    0.47    1023   13.16    0.45    1045
 478   14.33    0.50    1012   14.58   -9.99       1   13.06    0.47    1023   12.30    0.45    1045
 479   13.43    0.50    1012   13.32   -9.99       1   12.04    0.47    1023   11.10    0.45    1045
 480   14.41    0.50    1012   14.65   -9.99       1   13.19    0.47    1023   12.31    0.45    1045
 481   13.68   -9.99       1   13.27   -9.99       1   12.42   -9.99       1   11.40    0.45    1045
 482   -9.99   -9.99       0   16.23   -9.99       4   15.40    0.90       4   -9.99   -9.99       0
 483   14.00    0.50    1012   13.83   -9.99       1   12.73    0.47    1023   11.92    0.45    1045
 484   -9.99   -9.99       0   12.74   -9.99       1   11.83   -9.99       1   -9.99   -9.99       0
 485   12.15   -9.99       1   11.88   -9.99       1   11.13   -9.99       1   10.34    0.45    1045
 486   -9.99   -9.99       0   13.16   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 487   -9.99   -9.99       0   13.57   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 488   15.68   -9.99       1   15.02   -9.99       1   14.06   -9.99       1   13.35    0.45    1045
 489   13.64   -9.99       1   13.45   -9.99       1   12.78   -9.99       1   11.69    0.45    1045
 490   11.02   -9.99       1   10.60   -9.99       1    9.69   -9.99       1   -9.99   -9.99       0
 491   13.72   -9.99       1   13.23   -9.99       1   12.34   -9.99       1   11.42    0.45    1045
 492   -9.99   -9.99       0   16.69   -9.99       1   15.90    0.20       4   -9.99   -9.99       0
 493   14.42   -9.99       1   14.05   -9.99       1   13.23   -9.99       1   12.14    0.45    1045
 494   14.24    0.50    1012   14.03   -9.99       1   12.94    0.47    1023   12.08    0.45    1045
 495   12.20   -9.99       1   11.75   -9.99       1   10.86   -9.99       1   10.20    0.45    1045
 496   13.44   -9.99       1   12.38   -9.99       1   12.64   -9.99       1   10.69    0.45    1045
 497   -9.99   -9.99       0   13.30   -9.99       1   13.20    0.20       4   -9.99   -9.99       0
 498   13.08   -9.99       1   12.63   -9.99       1   11.71   -9.99       1   10.92    0.45    1045
 499   12.13   -9.99       1   11.61   -9.99       1   10.68   -9.99       1   -9.99   -9.99       0
 500   12.30   -9.99       1   11.83   -9.99       1   10.98   -9.99       1   10.06    0.45    1045
 501   14.08    0.50    1012   13.75   -9.99       1   12.84    0.47    1023   11.97    0.45    1045
