6.697843566085157629e-01,1.781763858797299577e-42
1.201876932815581611e+00,1.029497100131568614e-41
2.156676469645430583e+00,5.948398702208066068e-41
3.869991400721874975e+00,3.436963224707832975e-40
6.944404342726255841e+00,1.985863024809385307e-39
1.246120383272164567e+01,1.147419884840569458e-38
2.236067966337277824e+01,6.629659094527874225e-38
4.012453385081730772e+01,3.830419273234469360e-37
7.200041505815924836e+01,2.212877083792378095e-36
1.291992522036890705e+02,1.277986132535528286e-35
2.318382019952101132e+02,7.372883085835462467e-35
4.160159674889891335e+02,4.239112664439380644e-34
7.465089174965913799e+02,2.410835969757144269e-33
