6.697843566085157629e-01,4.301997377507387190e-24
1.201876932815581611e+00,2.477141207155537066e-23
2.156676469645430583e+00,1.415513232179834964e-22
3.869991400721874975e+00,7.892144880305022625e-22
6.944404342726255841e+00,4.065185954686247048e-21
1.246120383272164567e+01,1.622605600583145639e-20
2.236067966337277824e+01,2.849221998255945270e-20
4.012453385081730772e+01,3.555831654909502032e-21
7.200041505815924836e+01,8.906051223721287016e-26
1.291992522036890705e+02,2.771620945462856911e-42
2.318382019952101132e+02,3.980721164195336099e-97
4.160159674889891335e+02,2.077379677564571530e-275
7.465089174965913799e+02,0.000000000000000000e+00
